,Unnamed: 0,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
30,30,2010,Jesse Davis," Department of Computer Science & Engineering, University of Washington, Seattle, WA",Pedro M. Domingos," Department of Computer Science & Engineering, University of Washington, Seattle, WA",ICML,bottom-up learning of markov network structure.,2,https://icml.cc/Conferences/2010/papers/537.pdf,https://dblp.org/rec/conf/icml/DavisD10
31,31,2010,Krzysztof Dembczynski," Mathematics and Computer Science, Marburg University, Marburg, Germany and Institute of Computing Science, Poznań University of Technology, Poznań, Poland",Eyke Hüllermeier," Mathematics and Computer Science, Marburg University, Marburg, Germany",ICML,bayes optimal multilabel classification via probabilistic classifier chains.,3,https://icml.cc/Conferences/2010/papers/589.pdf,https://dblp.org/rec/conf/icml/DembczynskiCH10
32,32,2010,Thomas Deselaers," Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland",Vittorio Ferrari," Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland",ICML,a conditional random field for multiple-instance learning.,2,https://icml.cc/Conferences/2010/papers/87.pdf,https://dblp.org/rec/conf/icml/DeselaersF10
33,33,2010,Joshua V. Dillon," College of Computing, Georgia Institute of Technology, Atlanta, Georgia",Guy Lebanon," College of Computing, Georgia Institute of Technology, Atlanta, Georgia",ICML,asymptotic analysis of generative semi-supervised learning.,3,https://icml.cc/Conferences/2010/papers/107.pdf,https://dblp.org/rec/conf/icml/DillonBL10
34,34,2010,Monica Dinculescu," McGill University, School of Computer Science, Montreal, QC, CANADA",Doina Precup," McGill University, School of Computer Science, Montreal, QC, CANADA",ICML,approximate predictive representations of partially observable systems.,2,https://icml.cc/Conferences/2010/papers/588.pdf,https://dblp.org/rec/conf/icml/DinculescuP10
35,35,2010,Frank Dondelinger," Biomathematics and Statistics Scotland, JCMB, Edinburgh, UK and Institute for Adaptive and Neural Computation, School of Informatics, University of Edinburgh",Dirk Husmeier," Biomathematics and Statistics Scotland, JCMB, Edinburgh, UK",ICML,heterogeneous continuous dynamic bayesian networks with flexible structure and inter-time segment information sharing.,3,https://icml.cc/Conferences/2010/papers/286.pdf,https://dblp.org/rec/conf/icml/DondelingerLH10
36,36,2010,Carlton Downey,,Scott Sanner,"Australian National University, Acton, USA",ICML,temporal difference bayesian model averaging - a bayesian perspective on adapting lambda.,2,https://icml.cc/Conferences/2010/papers/295.pdf,https://dblp.org/rec/conf/icml/DowneyS10
37,37,2010,Gregory Druck," University of Massachusetts Amherst, Amherst, MA",Andrew McCallum," University of Massachusetts Amherst, Amherst, MA",ICML,high-performance semi-supervised learning using discriminatively constrained generative models.,2,https://icml.cc/Conferences/2010/papers/643.pdf,https://dblp.org/rec/conf/icml/DruckM10
38,38,2010,John C. Duchi," Computer Science Division, University of California, Berkeley, CA",Michael I. Jordan," Computer Science Division and Department of Statistics, University of California, Berkeley, CA",ICML,on the consistency of ranking algorithms.,3,https://icml.cc/Conferences/2010/papers/421.pdf,https://dblp.org/rec/conf/icml/DuchiMJ10
39,39,2010,Tal El-Hay," School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel",Raz Kupferman," Institute of Mathematics, Hebrew University, Jerusalem, Israel",ICML,continuous-time belief propagation.,4,https://icml.cc/Conferences/2010/papers/378.pdf,https://dblp.org/rec/conf/icml/El-HayCFK10
40,40,2010,Lev Faivishevsky,,Jacob Goldberger,,ICML,nonparametric information theoretic clustering algorithm.,2,https://icml.cc/Conferences/2010/papers/168.pdf,https://dblp.org/rec/conf/icml/FaivishevskyG10
41,41,2010,Pedro F. Felzenszwalb, University of Chicago,Deva Ramanan, UC Irvine,ICML,discriminative latent variable models for object detection.,4,https://icml.cc/Conferences/2010/papers/907.pdf,https://dblp.org/rec/conf/icml/FelzenszwalbGMR10
42,42,2010,Romaric Gaudel,"LRI, CNRS UMR 8623 & INRIA-Saclay, Orsay, FRANCE",Michèle Sebag,"LRI, CNRS UMR 8623 & INRIA-Saclay, Orsay, FRANCE",ICML,feature selection as a one-player game.,2,https://icml.cc/Conferences/2010/papers/247.pdf,https://dblp.org/rec/conf/icml/GaudelS10
43,43,2010,Matan Gavish,,Ronald R. Coifman,,ICML,"multiscale wavelets on trees, graphs and high dimensional data - theory and applications to semi supervised learning.",3,https://icml.cc/Conferences/2010/papers/137.pdf,https://dblp.org/rec/conf/icml/GavishNC10
44,44,2010,Sean Gerrish," Department of Computer Science, Princeton University, Princeton, NJ",David M. Blei," Department of Computer Science, Princeton University, Princeton, NJ",ICML,a language-based approach to measuring scholarly impact.,2,https://icml.cc/Conferences/2010/papers/384.pdf,https://dblp.org/rec/conf/icml/GerrishB10
45,45,2010,Noam Goldberg," Faculty of IE&M, Technion - Israel Institute of Technology, Haifa, Israel",Jonathan Eckstein,"MSIS Department and RUTCOR, Rutgers University, 640 Bartholomew Road, Piscataway NJ",ICML,boosting classifiers with tightened l0-relaxation penalties.,2,https://icml.cc/Conferences/2010/papers/23.pdf,https://dblp.org/rec/conf/icml/GoldbergE10
46,46,2010,Ryan Gomes,,Andreas Krause 0001,"ETH Zurich, Switzerland",ICML,budgeted nonparametric learning from data streams.,2,https://icml.cc/Conferences/2010/papers/433.pdf,https://dblp.org/rec/conf/icml/GomesK10
47,47,2010,Thore Graepel," Microsoft Research Ltd., Cambridge, UK",Ralf Herbrich," Microsoft Research Ltd., Cambridge, UK",ICML,web-scale bayesian click-through rate prediction for sponsored search advertising in microsoft's bing search engine.,4,https://icml.cc/Conferences/2010/papers/901.pdf,https://dblp.org/rec/conf/icml/GraepelCBH10
48,48,2010,Karol Gregor," Courant Institute, New York University, New York, NY",Yann LeCun," Courant Institute, New York University, New York, NY",ICML,learning fast approximations of sparse coding.,2,https://icml.cc/Conferences/2010/papers/449.pdf,https://dblp.org/rec/conf/icml/GregorL10
49,49,2010,Alexander Grubb," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",J. Andrew Bagnell," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",ICML,boosted backpropagation learning for training deep modular networks.,2,https://icml.cc/Conferences/2010/papers/451.pdf,https://dblp.org/rec/conf/icml/GrubbB10
50,50,2010,Andrew Guillory," University of Washington, Seattle, WA",Jeff A. Bilmes," University of Washington, Seattle, WA",ICML,interactive submodular set cover.,2,https://icml.cc/Conferences/2010/papers/436.pdf,https://dblp.org/rec/conf/icml/GuilloryB10
51,51,2010,Bharath Hariharan," Department of Computer Science and Engineering, Indian Institute of Technology, Delhi, India",Manik Varma," Microsoft Research India, Bangalore, India",ICML,large scale max-margin multi-label classification with priors.,4,https://icml.cc/Conferences/2010/papers/344.pdf,https://dblp.org/rec/conf/icml/HariharanZVV10
52,52,2010,Abhay Harpale," Carnegie Mellon Univeresity, Pittsburgh, PA",Yiming Yang," Carnegie Mellon Univeresity, Pittsburgh, PA",ICML,active learning for multi-task adaptive filtering.,2,https://icml.cc/Conferences/2010/papers/620.pdf,https://dblp.org/rec/conf/icml/HarpaleY10
53,53,2010,Matthew D. Hoffman,Adobe Research,Perry R. Cook,"Princeton University, Departments of Computer Science and Music, NJ, USA",ICML,bayesian nonparametric matrix factorization for recorded music.,3,https://icml.cc/Conferences/2010/papers/523.pdf,https://dblp.org/rec/conf/icml/HoffmanBC10
54,54,2010,Jean Honorio," Stony Brook University, Stony Brook, NY",Dimitris Samaras," Stony Brook University, Stony Brook, NY",ICML,multi-task learning of gaussian graphical models.,2,https://icml.cc/Conferences/2010/papers/35.pdf,https://dblp.org/rec/conf/icml/HonorioS10
55,55,2010,Jonathan Huang,,Carlos Guestrin,"University of Washington, Seattle, WA, USA",ICML,learning hierarchical riffle independent groupings from rankings.,2,https://icml.cc/Conferences/2010/papers/605.pdf,https://dblp.org/rec/conf/icml/HuangG10
56,56,2010,Martial Hue,"Mines ParisTech, Centre for Computational Biology, Fontainebleau, France and Institut Curie, Paris, France and INSERM, U900, Paris, France",Jean-Philippe Vert,"Mines ParisTech, Centre for Computational Biology, Fontainebleau, France and Institut Curie, Paris, France and INSERM, U900, Paris, France",ICML,on learning with kernels for unordered pairs.,2,https://icml.cc/Conferences/2010/papers/520.pdf,https://dblp.org/rec/conf/icml/HueV10
57,57,2010,Martin Jaggi," Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland",Marek Sulovský," Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland",ICML,a simple algorithm for nuclear norm regularized problems.,2,https://icml.cc/Conferences/2010/papers/196.pdf,https://dblp.org/rec/conf/icml/JaggiS10
58,58,2010,Dominik Janzing," Max Planck Institute for Biological Cybernetics, Tübingen, Germany",Bernhard Schölkopf," Max Planck Institute for Biological Cybernetics, Tübingen, Germany",ICML,telling cause from effect based on high-dimensional observations.,3,https://icml.cc/Conferences/2010/papers/576.pdf,https://dblp.org/rec/conf/icml/JanzingHS10
59,59,2010,Rodolphe Jenatton,"INRIA - WILLOW Project, Laboratoire d'Informatique de l'Ecole Normale Supérieure (INRIA/ENS/CNRS UMR 8548) Paris. France",Francis R. Bach,"INRIA - WILLOW Project, Laboratoire d'Informatique de l'Ecole Normale Supérieure (INRIA/ENS/CNRS UMR 8548) Paris. France",ICML,proximal methods for sparse hierarchical dictionary learning.,4,https://icml.cc/Conferences/2010/papers/416.pdf,https://dblp.org/rec/conf/icml/JenattonMOB10
60,60,2010,Shuiwang Ji," Arizona State University, Tempe, AZ",Kai Yu 0001," NEC Laboratories America, Inc., Cupertino, CA",ICML,3d convolutional neural networks for human action recognition.,4,https://icml.cc/Conferences/2010/papers/100.pdf,https://dblp.org/rec/conf/icml/JiXYY10
61,61,2010,Vladimir Jojic," Computer Science Department, Stanford University, Stanford, CA",Daphne Koller," Computer Science Department, Stanford University, Stanford, CA",ICML,accelerated dual decomposition for map inference.,3,https://icml.cc/Conferences/2010/papers/628.pdf,https://dblp.org/rec/conf/icml/JojicGK10
62,62,2010,Shivaram Kalyanakrishnan,,Peter Stone,"University of Texas at Austin, USA",ICML,efficient selection of multiple bandit arms - theory and practice.,2,https://icml.cc/Conferences/2010/papers/410.pdf,https://dblp.org/rec/conf/icml/KalyanakrishnanS10
63,63,2010,Dongmin Kim," Dept. of Computer Science, University of Texas, Austin, TX",Inderjit S. Dhillon," Dept. of Computer Science, University of Texas, Austin, TX",ICML,a scalable trust-region algorithm with application to mixed-norm regression.,3,https://icml.cc/Conferences/2010/papers/562.pdf,https://dblp.org/rec/conf/icml/KimSD10
64,64,2010,Minyoung Kim," Robotics Institute, Carnegie Mellon University, PA",Fernando De la Torre," Robotics Institute, Carnegie Mellon University, PA",ICML,local minima embedding.,2,https://icml.cc/Conferences/2010/papers/374.pdf,https://dblp.org/rec/conf/icml/KimT10
65,65,2010,Minyoung Kim," Robotics Institute, Carnegie Mellon University, PA",Fernando De la Torre," Robotics Institute, Carnegie Mellon University, PA",ICML,gaussian processes multiple instance learning.,2,https://icml.cc/Conferences/2010/papers/412.pdf,https://dblp.org/rec/conf/icml/KimT10a
66,66,2010,Seyoung Kim," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",Eric P. Xing," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",ICML,tree-guided group lasso for multi-task regression with structured sparsity.,2,https://icml.cc/Conferences/2010/papers/352.pdf,https://dblp.org/rec/conf/icml/KimX10
67,67,2010,Stanley Kok," Department of Computer Science & Engineering, University of Washington, Seattle, WA",Pedro M. Domingos," Department of Computer Science & Engineering, University of Washington, Seattle, WA",ICML,learning markov logic networks using structural motifs.,2,https://icml.cc/Conferences/2010/papers/502.pdf,https://dblp.org/rec/conf/icml/KokD10
68,68,2010,Mladen Kolar,,Eric P. Xing,"Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA",ICML,on sparse nonparametric conditional covariance selection.,3,https://icml.cc/Conferences/2010/papers/197.pdf,https://dblp.org/rec/conf/icml/KolarPX10
69,69,2010,Andreas Krause 0001," California Institute of Technology, Computer Science Department",Volkan Cevher," Ecole Polytechnique Federale de Lausanne, STI-IEL-LIONS & Idiap Research Institute",ICML,submodular dictionary selection for sparse representation.,2,https://icml.cc/Conferences/2010/papers/366.pdf,https://dblp.org/rec/conf/icml/KrauseC10
70,70,2010,Krishnamurthy Dvijotham," Computer Science & Engineering and Applied Mathematics, University of Washington, Seattle",Emanuel Todorov," Computer Science & Engineering and Applied Mathematics, University of Washington, Seattle",ICML,inverse optimal control with linearly-solvable mdps.,2,https://icml.cc/Conferences/2010/papers/571.pdf,https://dblp.org/rec/conf/icml/KrishnamurthyT10
71,71,2010,Brian Kulis,,Peter L. Bartlett,"University of California at Berkeley, Department of Statistics, CA, USA",ICML,implicit online learning.,2,https://icml.cc/Conferences/2010/papers/429.pdf,https://dblp.org/rec/conf/icml/KulisB10
72,72,2010,Tobias Lang 0001," TU Berlin, Machine Learning and Robotics Group, Berlin, Germany",Marc Toussaint," TU Berlin, Machine Learning and Robotics Group, Berlin, Germany",ICML,probabilistic backward and forward reasoning in stochastic relational worlds.,2,https://icml.cc/Conferences/2010/papers/77.pdf,https://dblp.org/rec/conf/icml/LangT10
73,73,2010,Nathan Lay," Department of Scientific Computing, Florida State University, Tallahassee, Florida",Adrian Barbu," Department of Statistics, Florida State University, Tallahassee, Florida",ICML,supervised aggregation of classifiers using artificial prediction markets.,2,https://icml.cc/Conferences/2010/papers/99.pdf,https://dblp.org/rec/conf/icml/LayB10
74,74,2010,Alessandro Lazaric," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",Mohammad Ghavamzadeh," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",ICML,bayesian multi-task reinforcement learning.,2,https://icml.cc/Conferences/2010/papers/269.pdf,https://dblp.org/rec/conf/icml/LazaricG10
75,75,2010,Alessandro Lazaric,,Rémi Munos,,ICML,analysis of a classification-based policy iteration algorithm.,3,https://icml.cc/Conferences/2010/papers/303.pdf,https://dblp.org/rec/conf/icml/LazaricGM10
76,76,2010,Alessandro Lazaric," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",Rémi Munos," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",ICML,finite-sample analysis of lstd.,3,https://icml.cc/Conferences/2010/papers/598.pdf,https://dblp.org/rec/conf/icml/LazaricGM10a
77,77,2010,Mu Li," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",Bao-Liang Lu," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China and MOE-MS Key Lab. for Intel. Comp. and Intel. Sys., Shanghai Jiao Tong University, Shanghai, China",ICML,making large-scale nyström approximation possible.,3,https://icml.cc/Conferences/2010/papers/242.pdf,https://dblp.org/rec/conf/icml/LiKL10
78,78,2010,Liuyang Li," Department of Computing Science, University of Alberta, AB, Canada",Russell Greiner," Department of Computing Science, University of Alberta, AB, Canada",ICML,budgeted distribution learning of belief net parameters.,4,https://icml.cc/Conferences/2010/papers/406.pdf,https://dblp.org/rec/conf/icml/LiPSG10
79,79,2010,Percy Liang,"Stanford University, Computer Science Department",Dan Klein,,ICML,learning programs - a hierarchical bayesian approach.,3,https://icml.cc/Conferences/2010/papers/568.pdf,https://dblp.org/rec/conf/icml/LiangJK10
80,80,2010,Percy Liang,"Stanford University, Computer Science Department",Nati Srebro,,ICML,on the interaction between norm and dimensionality - multiple regimes in learning.,2,https://icml.cc/Conferences/2010/papers/601.pdf,https://dblp.org/rec/conf/icml/LiangS10
81,81,2010,Frank Lin," Carnegie Mellon University, Pittsburgh, PA",William W. Cohen," Carnegie Mellon University, Pittsburgh, PA",ICML,power iteration clustering.,2,https://icml.cc/Conferences/2010/papers/387.pdf,https://dblp.org/rec/conf/icml/LinC10
82,82,2010,Wei Liu 0005," Department of Electrical Engineering, Columbia University, New York, NY",Shih-Fu Chang," Department of Electrical Engineering, Columbia University, New York, NY",ICML,large graph construction for scalable semi-supervised learning.,3,https://icml.cc/Conferences/2010/papers/16.pdf,https://dblp.org/rec/conf/icml/LiuHC10
83,83,2010,Guangcan Liu," Shanghai Jiao Tong University, Shanghai, China",Yong Yu 0001," Shanghai Jiao Tong University, Shanghai, China",ICML,robust subspace segmentation by low-rank representation.,3,https://icml.cc/Conferences/2010/papers/521.pdf,https://dblp.org/rec/conf/icml/LiuLY10
84,84,2010,Yan Liu 0002," IBM T.J. Watson Research Center, Yorktown Heights, NY",Yong Lu," Harvard Medical School, Harvard University, Boston, MA",ICML,learning temporal causal graphs for relational time-series analysis.,4,https://icml.cc/Conferences/2010/papers/235.pdf,https://dblp.org/rec/conf/icml/LiuNLL10
85,85,2010,Hairong Liu," Department of Electrical and Computer Engineering, National University of Singapore, Singapore",Shuicheng Yan," Department of Electrical and Computer Engineering, National University of Singapore, Singapore",ICML,robust graph mode seeking by graph shift.,2,https://icml.cc/Conferences/2010/papers/132.pdf,https://dblp.org/rec/conf/icml/LiuY10
86,86,2010,Daniel J. Lizotte," University of Michigan, Ann Arbor, MI",Susan A. Murphy," University of Michigan, Ann Arbor, MI",ICML,efficient reinforcement learning with multiple reward functions for randomized controlled trial analysis.,3,https://icml.cc/Conferences/2010/papers/464.pdf,https://dblp.org/rec/conf/icml/LizotteBM10
87,87,2010,Philip M. Long," Google, Mountain View, CA",Rocco A. Servedio," Computer Science Department, Columbia University, New York",ICML,restricted boltzmann machines are hard to approximately evaluate or simulate.,2,https://icml.cc/Conferences/2010/papers/115.pdf,https://dblp.org/rec/conf/icml/LongS10
88,88,2010,Lester W. Mackey," Computer Science Division, University of California, Berkeley, CA",Michael I. Jordan," Computer Science Division and Department of Statistics, University of California, Berkeley, CA",ICML,mixed membership matrix factorization.,3,https://icml.cc/Conferences/2010/papers/553.pdf,https://dblp.org/rec/conf/icml/MackeyWJ10
89,89,2010,Hamid Reza Maei," Department of Computing Science, University of Alberta, Edmonton, Canada",Richard S. Sutton," Department of Computing Science, University of Alberta, Edmonton, Canada",ICML,toward off-policy learning control with function approximation.,4,https://icml.cc/Conferences/2010/papers/627.pdf,https://dblp.org/rec/conf/icml/MaeiSBS10
90,90,2010,M. M. Hassan Mahmud," School of Computer Science, The Australian National University, Canberra, Australia",M. M. Hassan Mahmud," School of Computer Science, The Australian National University, Canberra, Australia",ICML,constructing states for reinforcement learning.,1,https://icml.cc/Conferences/2010/papers/593.pdf,https://dblp.org/rec/conf/icml/Mahmud10
91,91,2010,James Martens," University of Toronto, Ontario, Canada",James Martens," University of Toronto, Ontario, Canada",ICML,deep learning via hessian-free optimization.,1,https://icml.cc/Conferences/2010/papers/458.pdf,https://dblp.org/rec/conf/icml/Martens10
92,92,2010,James Martens," University of Toronto, Ontario, Canada",James Martens," University of Toronto, Ontario, Canada",ICML,learning the linear dynamical system with asos.,1,https://icml.cc/Conferences/2010/papers/532.pdf,https://dblp.org/rec/conf/icml/Martens10a
