,Unnamed: 0,year,first-author,first-author-affiliation,first-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
40,40,2011,Morteza Alamgir,Max Planck Institute for Intelligent Systems,,Ulrike von Luxburg,Max Planck Institute for Intelligent Systems,,NIPS,phase transition in the family of p-resistances.,2,https://proceedings.neurips.cc/paper/2011/hash/07cdfd23373b17c6b337251c22b7ea57-Abstract.html,https://dblp.org/rec/conf/nips/AlamgirL11
41,41,2011,Bogdan Alexe,ETH ZURICH,,Vittorio Ferrari,ETH Zurich,,NIPS,exploiting spatial overlap to efficiently compute appearance distances between image windows.,3,https://proceedings.neurips.cc/paper/2011/hash/729c68884bd359ade15d5f163166738a-Abstract.html,https://dblp.org/rec/conf/nips/AlexePF11
42,42,2011,Armen E. Allahverdyan,Yerevan Physics Institute,,Aram Galstyan,USC Information Sciences Institute,,NIPS,comparative analysis of viterbi training and maximum likelihood estimation for hmms.,2,https://proceedings.neurips.cc/paper/2011/hash/c8c41c4a18675a74e01c8a20e8a0f662-Abstract.html,https://dblp.org/rec/conf/nips/AllahverdyanG11
43,43,2011,Animashree Anandkumar,UC Irvine,,Tong Zhang 0001,Rutgers University,,NIPS,spectral methods for learning multivariate latent tree structure.,6,https://proceedings.neurips.cc/paper/2011/hash/208e43f0e45c4c78cafadb83d2888cb6-Abstract.html,https://dblp.org/rec/conf/nips/AnandkumarCHKSZ11
44,44,2011,Animashree Anandkumar,University of California,,Alan S. Willsky,Massachusetts Institute of Technology,,NIPS,high-dimensional graphical model selection - tractable graph families and necessary conditions.,3,https://proceedings.neurips.cc/paper/2011/hash/5055cbf43fac3f7e2336b27310f0b9ef-Abstract.html,https://dblp.org/rec/conf/nips/AnandkumarTW11
45,45,2011,C�dric Archambeau,Xerox Research Centre Europe,,Onno Zoeter,Xerox Research Centre Europe,,NIPS,sparse bayesian multi-task learning.,3,https://proceedings.neurips.cc/paper/2011/hash/4fac9ba115140ac4f1c22da82aa0bc7f-Abstract.html,https://dblp.org/rec/conf/nips/ArchambeauGZ11
46,46,2011,Artin Armagan,Duke University,,Merlise Clyde,Duke University,,NIPS,generalized beta mixtures of gaussians.,3,https://proceedings.neurips.cc/paper/2011/hash/ad972f10e0800b49d76fed33a21f6698-Abstract.html,https://dblp.org/rec/conf/nips/ArmaganDC11
47,47,2011,Joseph L. Austerweil,University of California,,Thomas L. Griffiths,University of California,,NIPS,an ideal observer model for identifying the reference frame of objects.,3,https://proceedings.neurips.cc/paper/2011/hash/ffd52f3c7e12435a724a8f30fddadd9c-Abstract.html,https://dblp.org/rec/conf/nips/AusterweilFG11
48,48,2011,Mohammad Gheshlaghi Azar,Radboud University Nijmegen,,Hilbert J. Kappen,Radboud University Nijmegen,,NIPS,speedy q-learning.,4,https://proceedings.neurips.cc/paper/2011/hash/ab1a4d0dd4d48a2ba1077c4494791306-Abstract.html,https://dblp.org/rec/conf/nips/AzarMGK11
49,49,2011,Javad Azimi,Oregon State University,,Xiaoli Z. Fern,Oregon State University,,NIPS,budgeted optimization with concurrent stochastic-duration experiments.,3,https://proceedings.neurips.cc/paper/2011/hash/3a066bda8c96b9478bb0512f0a43028c-Abstract.html,https://dblp.org/rec/conf/nips/AzimiFF11
50,50,2011,Francis R. Bach,INRIA - Sierra Project Team,,Francis R. Bach,INRIA - Sierra Project Team,,NIPS,shaping level sets with submodular functions.,1,https://proceedings.neurips.cc/paper/2011/hash/c20ad4d76fe97759aa27a0c99bff6710-Abstract.html,https://dblp.org/rec/conf/nips/Bach11
51,51,2011,Francis R. Bach,INRIA - Sierra Project-team,,Eric Moulines,LTCI,,NIPS,non-asymptotic analysis of stochastic approximation algorithms for machine learning.,2,https://proceedings.neurips.cc/paper/2011/hash/40008b9a5380fcacce3976bf7c08af5b-Abstract.html,https://dblp.org/rec/conf/nips/BachM11
52,52,2011,Sivaraman Balakrishnan,Carnegie Mellon University,,Aarti Singh,Carnegie Mellon University,,NIPS,noise thresholds for spectral clustering.,4,https://proceedings.neurips.cc/paper/2011/hash/dbe272bab69f8e13f14b405e038deb64-Abstract.html,https://dblp.org/rec/conf/nips/BalakrishnanXKS11
53,53,2011,Andre da Motta Salles Barreto,McGill University,,Joelle Pineau,McGill University,,NIPS,reinforcement learning using kernel-based stochastic factorization.,3,https://proceedings.neurips.cc/paper/2011/hash/b534ba68236ba543ae44b22bd110a1d6-Abstract.html,https://dblp.org/rec/conf/nips/BarretoPP11
54,54,2011,Alessandro Bergamo,Dartmouth College,,Andrew W. Fitzgibbon,Microsoft Research,,NIPS,picodes - learning a compact code for novel-category recognition.,3,https://proceedings.neurips.cc/paper/2011/hash/1896a3bf730516dd643ba67b4c447d36-Abstract.html,https://dblp.org/rec/conf/nips/BergamoTF11
55,55,2011,James Bergstra,Harvard University,,Balas Kegl,Universite Paris-Su,,NIPS,algorithms for hyper-parameter optimization.,4,https://proceedings.neurips.cc/paper/2011/hash/86e8f7ab32cfd12577bc2619bc635690-Abstract.html,https://dblp.org/rec/conf/nips/BergstraBBK11
56,56,2011,Gilles Blanchard,Universit _at Potsdam,,Clayton Scott,University of Michigan,,NIPS,generalizing from several related classification tasks to a new unlabeled sample.,3,https://proceedings.neurips.cc/paper/2011/hash/b571ecea16a9824023ee1af16897a582-Abstract.html,https://dblp.org/rec/conf/nips/BlanchardLS11
57,57,2011,Liefeng Bo,University of Washington,,Dieter Fox,University of Washington,,NIPS,hierarchical matching pursuit for image classification - architecture and fast algorithms.,3,https://proceedings.neurips.cc/paper/2011/hash/f8151fdd6026f82036ab63052b97505b-Abstract.html,https://dblp.org/rec/conf/nips/BoRF11
58,58,2011,Jasmina Bogojeska,Max-Planck Institute for Computer Science,,Jasmina Bogojeska,Max-Planck Institute for Computer Science,,NIPS,history distribution matching method for predicting effectiveness of hiv combination therapies.,1,https://proceedings.neurips.cc/paper/2011/hash/3fe94a002317b5f9259f82690aeea4cd-Abstract.html,https://dblp.org/rec/conf/nips/Bogojeska11
59,59,2011,Nicolas Boumal,Universite catholique de Louvai,,P.-A. Absil,Universite catholique de Louvai,,NIPS,rtrmc - a riemannian trust-region method for low-rank matrix completion.,2,https://proceedings.neurips.cc/paper/2011/hash/37bc2f75bf1bcfe8450a1a41c200364c-Abstract.html,https://dblp.org/rec/conf/nips/BoumalA11
60,60,2011,Christos Boutsidis,IBM T. J. Watson Research Center,,Malik Magdon-Ismail,Rensselaer Polytechnic Institute,,NIPS,sparse features for pca-like linear regression.,3,https://proceedings.neurips.cc/paper/2011/hash/b3ba8f1bee1238a2f37603d90b58898d-Abstract.html,https://dblp.org/rec/conf/nips/BoutsidisDM11
61,61,2011,Levi Boyles,Univeristy of California,,Max Welling,University of California,,NIPS,statistical tests for optimization efficiency.,4,https://proceedings.neurips.cc/paper/2011/hash/b24d516bb65a5a58079f0f3526c87c57-Abstract.html,https://dblp.org/rec/conf/nips/BoylesBRW11
62,62,2011,Johanni Brea,University of Bern,,Jean-Pascal Pfister,University of Bern,,NIPS,sequence learning with hidden units in spiking neural networks.,3,https://proceedings.neurips.cc/paper/2011/hash/795c7a7a5ec6b460ec00c5841019b9e9-Abstract.html,https://dblp.org/rec/conf/nips/BreaSP11
63,63,2011,Wieland Brendel,Champalimaud Neuroscience Programme,,Christian K. Machens,Champalimaud Neuroscience Programme,,NIPS,demixed principal component analysis.,3,https://proceedings.neurips.cc/paper/2011/hash/f4a331b7a22d1b237565d8813a34d8ac-Abstract.html,https://dblp.org/rec/conf/nips/BrendelRM11
64,64,2011,Guy Van den Broeck,Katholieke Universiteit Leuven,,Guy Van den Broeck,Katholieke Universiteit Leuven,,NIPS,on the completeness of first-order knowledge compilation for lifted probabilistic inference.,1,https://proceedings.neurips.cc/paper/2011/hash/846c260d715e5b854ffad5f70a516c88-Abstract.html,https://dblp.org/rec/conf/nips/Broeck11
65,65,2011,Loc Bui,Stanford University,,Shie Mannor,Technion,,NIPS,committing bandits.,3,https://proceedings.neurips.cc/paper/2011/hash/d56b9fc4b0f1be8871f5e1c40c0067e7-Abstract.html,https://dblp.org/rec/conf/nips/BuiJM11
66,66,2011,Ricardo Silveira Cabral,Instituto Superior T�cnico,,Alexandre Bernardino,Instituto Superior T�cnico,,NIPS,matrix completion for multi-label image classification.,4,https://proceedings.neurips.cc/paper/2011/hash/65a99bb7a3115fdede20da98b08a370f-Abstract.html,https://dblp.org/rec/conf/nips/CabralTCB11
67,67,2011,Alexandra Carpentier,INRIA Lille ,,Remi Munos,INRIA Lille ,,NIPS,finite time analysis of stratified sampling for monte carlo.,2,https://proceedings.neurips.cc/paper/2011/hash/872488f88d1b2db54d55bc8bba2fad1b-Abstract.html,https://dblp.org/rec/conf/nips/CarpentierM11
68,68,2011,Alexandra Carpentier,INRIA Lille ,,Remi Munos,INRIA Lille ,,NIPS,sparse recovery with brownian sensing.,3,https://proceedings.neurips.cc/paper/2011/hash/2387337ba1e0b0249ba90f55b2ba2521-Abstract.html,https://dblp.org/rec/conf/nips/CarpentierMM11
69,69,2011,Nicolo Cesa-Bianchi,Universita degli Studi di Milano,,Ohad Shamir,Microsoft Research New England,,NIPS,efficient online learning via randomized rounding.,2,https://proceedings.neurips.cc/paper/2011/hash/3cec07e9ba5f5bb252d13f5f431e4bbb-Abstract.html,https://dblp.org/rec/conf/nips/Cesa-BianchiS11
70,70,2011,Olivier Chapelle,Yahoo! Research,,Lihong Li 0001,Yahoo! Research,,NIPS,an empirical evaluation of thompson sampling.,2,https://proceedings.neurips.cc/paper/2011/hash/e53a0a2978c28872a4505bdb51db06dc-Abstract.html,https://dblp.org/rec/conf/nips/ChapelleL11
71,71,2011,Bo Chen,Duke University,,Lawrence Carin,Duke University,,NIPS,on the analysis of multi-channel neural spike data.,3,https://proceedings.neurips.cc/paper/2011/hash/08b255a5d42b89b0585260b6f2360bdd-Abstract.html,https://dblp.org/rec/conf/nips/ChenCC11
72,72,2011,Bo Chen,Caltech,,Pietro Perona,Caltech,,NIPS,predicting response time and error rates in visual search.,3,https://proceedings.neurips.cc/paper/2011/hash/78b9cab19959e4af8ff46156ee460c74-Abstract.html,https://dblp.org/rec/conf/nips/ChenNP11
73,73,2011,Ke Chen 0001,The University of Manchester,,Ahmad Salman,The University of Manchester,,NIPS,extracting speaker-specific information with a regularized siamese deep network.,2,https://proceedings.neurips.cc/paper/2011/hash/45fbc6d3e05ebd93369ce542e8f2322d-Abstract.html,https://dblp.org/rec/conf/nips/ChenS11
74,74,2011,Minmin Chen,Washington University in St. Louis,,John Blitzer,Google Research,,NIPS,co-training for domain adaptation.,3,https://proceedings.neurips.cc/paper/2011/hash/93fb9d4b16aa750c7475b6d601c35c2c-Abstract.html,https://dblp.org/rec/conf/nips/ChenWB11
75,75,2011,Flavio Chierichetti,Cornell University,,David Liben-Nowell,Carleton College,,NIPS,reconstructing patterns of information diffusion from incomplete observations.,3,https://proceedings.neurips.cc/paper/2011/hash/f4be00279ee2e0a53eafdaa94a151e2c-Abstract.html,https://dblp.org/rec/conf/nips/ChierichettiKL11
76,76,2011,Jaedeug Choi,KAIST,,Kee-Eung Kim,KAIST,,NIPS,map inference for bayesian inverse reinforcement learning.,2,https://proceedings.neurips.cc/paper/2011/hash/3a15c7d0bbe60300a39f76f8a5ba6896-Abstract.html,https://dblp.org/rec/conf/nips/ChoiK11
77,77,2011,David S. Choi,Carnegie Mellon University,,Edoardo M. Airoldi,Harvard University,,NIPS,confidence sets for network structure.,3,https://proceedings.neurips.cc/paper/2011/hash/a7d8ae4569120b5bec12e7b6e9648b86-Abstract.html,https://dblp.org/rec/conf/nips/ChoiWA11
78,78,2011,Stephan Clemencon,Institut Telecom,,Stephan Clemencon,Institut Telecom,,NIPS,on u-processes and clustering performance.,1,https://proceedings.neurips.cc/paper/2011/hash/a1d0c6e83f027327d8461063f4ac58a6-Abstract.html,https://dblp.org/rec/conf/nips/Clemencon11
79,79,2011,Adam Coates,Stanford University,,Andrew Y. Ng,Stanford University,,NIPS,selecting receptive fields in deep networks.,2,https://proceedings.neurips.cc/paper/2011/hash/6c1da886822c67822bcf3679d04369fa-Abstract.html,https://dblp.org/rec/conf/nips/CoatesN11
80,80,2011,Andrew Cotter,TTI Chicago,,Karthik Sridharan,University of Pennsylvania,,NIPS,better mini-batch algorithms via accelerated gradient methods.,4,https://proceedings.neurips.cc/paper/2011/hash/b55ec28c52d5f6205684a473a2193564-Abstract.html,https://dblp.org/rec/conf/nips/CotterSSS11
81,81,2011,Dong Dai 0004,Rutgers University,,Tong Zhang 0001,Tencent,,NIPS,greedy model averaging.,2,https://proceedings.neurips.cc/paper/2011/hash/aba3b6fd5d186d28e06ff97135cade7f-Abstract.html,https://dblp.org/rec/conf/nips/DaiZ11
82,82,2011,Andreas C. Damianou,University of Sheffield,,Neil D. Lawrence,Amazon,,NIPS,variational gaussian process dynamical systems.,3,https://proceedings.neurips.cc/paper/2011/hash/af4732711661056eadbf798ba191272a-Abstract.html,https://dblp.org/rec/conf/nips/DamianouTL11
83,83,2011,Vincent Delaitre,Ecole Normale Superieure,,Ivan Laptev,INRIA Paris,,NIPS,learning person-object interactions for action recognition in still images.,3,https://proceedings.neurips.cc/paper/2011/hash/a67f096809415ca1c9f112d96d27689b-Abstract.html,https://dblp.org/rec/conf/nips/DelaitreSL11
84,84,2011,Olivier Delalleau,Facebook AI Research,,Yoshua Bengio,University of Montreal,,NIPS,shallow vs. deep sum-product networks.,2,https://proceedings.neurips.cc/paper/2011/hash/8e6b42f1644ecb1327dc03ab345e618b-Abstract.html,https://dblp.org/rec/conf/nips/DelalleauB11
85,85,2011,Krzysztof Dembczynski,Poznan University of Technology,,Eyke Hullermeier,Philipps-Universitat Marburg,,NIPS,an exact algorithm for f-measure maximization.,4,https://proceedings.neurips.cc/paper/2011/hash/71ad16ad2c4d81f348082ff6c4b20768-Abstract.html,https://dblp.org/rec/conf/nips/DembczynskiWCH11
86,86,2011,Jia Deng 0001,,,Fei-Fei Li 0001,,,NIPS,fast and balanced - efficient label tree learning for large scale object recognition.,4,https://proceedings.neurips.cc/paper/2011/hash/5a4b25aaed25c2ee1b74de72dc03c14e-Abstract.html,https://dblp.org/rec/conf/nips/DengSBL11
87,87,2011,Guillaume Desjardins,Universite de Montreal,,Yoshua Bengio,University of Montreal,,NIPS,on tracking the partition function.,3,https://proceedings.neurips.cc/paper/2011/hash/861dc9bd7f4e7dd3cccd534d0ae2a2e9-Abstract.html,https://dblp.org/rec/conf/nips/DesjardinsCB11
88,88,2011,Julie Dethier,University of Liege,,Kwabena Boahen,Stanford University,,NIPS,a brain-machine interface operating with a real-time spiking neural network control algorithm.,7,https://proceedings.neurips.cc/paper/2011/hash/25df35de87aa441b88f22a6c2a830a17-Abstract.html,https://dblp.org/rec/conf/nips/DethierNESESB11
89,89,2011,Paramveer S. Dhillon,University of Pennsylvania,,Lyle H. Ungar,University of Pennsylvania,,NIPS,multi-view learning of word embeddings via cca.,3,https://proceedings.neurips.cc/paper/2011/hash/6c4b761a28b734fe93831e3fb400ce87-Abstract.html,https://dblp.org/rec/conf/nips/DhillonFU11
90,90,2011,Inderjit S. Dhillon,UT Austin & Amazon,,Ambuj Tewari,University of Michigan,,NIPS,nearest neighbor based greedy coordinate descent.,3,https://proceedings.neurips.cc/paper/2011/hash/160c88652d47d0be60bfbfed25111412-Abstract.html,https://dblp.org/rec/conf/nips/DhillonRT11
91,91,2011,Onur Dikmen,University of Helsinki,,Cédric Févotte,CNRS,,NIPS,nonnegative dictionary learning in the exponential noise model for adaptive music signal representation.,2,https://proceedings.neurips.cc/paper/2011/hash/81dc9bdb52d04dc20036dbd8313ed055-Abstract.html,https://dblp.org/rec/conf/nips/DikmenF11
92,92,2011,Nan Ding,Google,,Yuan (Alan) Qi,Purdue university,,NIPS,t-divergence based approximate inference.,3,https://proceedings.neurips.cc/paper/2011/hash/8c235f89a8143a28a1d6067e959dd858-Abstract.html,https://dblp.org/rec/conf/nips/DingVQ11
93,93,2011,Shilin Ding,University of Wisconsin-Madison,,Xiaojin (Jerry) Zhu,University of Wisconsin-Madison,,NIPS,learning higher-order graph structure with features by structure penalty.,3,https://proceedings.neurips.cc/paper/2011/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html,https://dblp.org/rec/conf/nips/DingWZ11
94,94,2011,Charles Dubout,IDIAP,,François Fleuret,University of Geneva,,NIPS,boosting with maximum adaptive sampling.,2,https://proceedings.neurips.cc/paper/2011/hash/8c6744c9d42ec2cb9e8885b54ff744d0-Abstract.html,https://dblp.org/rec/conf/nips/DuboutF11
