,Unnamed: 0,Unnamed: 0.1,first-author-affiliation,last-author-affiliation,title
90,90,14.0," Artificial Intelligence Research Institute (IIIA-CSIC), Bellaterra, (Spain)"," Artificial Intelligence Research Institute (IIIA-CSIC), Bellaterra, (Spain)",multiagent inductive learning: an argumentation-based approach.
91,91,15.0," Department of ECE, Duke University, Durham, NC"," Department of ECE, Duke University, Durham, NC",a stick-breaking construction of the beta process.
92,92,16.0," The University of Texas at Austin, Austin, TX"," The University of Texas at Austin, Austin, TX",boosting for regression transfer.
93,93,17.0," Department of Computer Science, University of Massachusetts, Amherst, MA"," Department of Computer Science, University of Massachusetts, Amherst, MA",feature selection using regularization in approximate linear programs for markov decision processes.
94,94,18.0," Department of Computing Science, University of Alberta, AB, Canada"," Department of Computing Science, University of Alberta, AB, Canada",budgeted distribution learning of belief net parameters.
95,95,19.0," McGill University, School of Computer Science, Montreal, QC, CANADA"," McGill University, School of Computer Science, Montreal, QC, CANADA",approximate predictive representations of partially observable systems.
96,96,20.0," Department of Computer Science, University of Texas, Austin, TX"," Department of Computer Science, University of Texas, Austin, TX",spherical topic models.
97,97,21.0," INRIA Lille, Villeneuve d'Ascq, France"," INRIA Lille, Villeneuve d'Ascq, France",clustering processes.
98,98,22.0," University of Cambridge, Cambridge, United Kingdom"," University of Cambridge, UK & Max Planck Institute for Biological Cybernetics, Tubingen, Germany",gaussian process change point models.
99,99,23.0," University of Tsukuba, Tsukuba, Ibaraki, Japan and Japan Science and Technology Agency, Kawaguchi, Saitama, Japan"," University of Tsukuba, Tsukuba, Ibaraki, Japan",online prediction with privacy.
100,100,24.0," Brain and Cognitive Sciences and CSAIL, MIT, Cambridge, MA"," Brain and Cognitive Sciences and CSAIL, MIT, Cambridge, MA",learning deep boltzmann machines using adaptive mcmc.
101,101,0.0," University of Potsdam, Department of Computer Science, Potsdam, Germany"," University of Potsdam, Department of Computer Science, Potsdam, Germany",active risk estimation.
102,102,1.0," LORIA - INRIA Lorraine - Campus Scientifique - Vandœuvre-lès-Nancy, FRANCE"," LORIA - INRIA Lorraine - Campus Scientifique - Vandœuvre-lès-Nancy, FRANCE",should one compute the temporal difference fix point or minimize the bellman residual? the unified oblique projection view.
103,103,2.0," Massachusetts Institute of Technology, Cambridge, Massachusetts"," Massachusetts Institute of Technology, Cambridge, Massachusetts",application of machine learning to epileptic seizure detection.
104,104,3.0," Microsoft Research, Mountain View CA"," Microsoft Research, Mountain View CA",learning optimally diverse rankings over large document collections.
105,105,4.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," Yahoo! Research, Santa Clara, CA",hilbert space embeddings of hidden markov models.
106,106,5.0," Berlin Institute of Technology, Berlin, Germany and Friedrich Miescher Laboratory, Tübingen, Germany"," Czech Technical University in Prague, Praha, Czech Republic",coffin: a computational framework for linear svms.
107,107,6.0," Computer Science & Engineering, University of Michigan, Ann Arbor, MI"," Department of Psychology, University of Michigan, Ann Arbor, MI",internal rewards mitigate agent boundedness.
108,108,7.0," California Institute of Technology, Pasadena, CA"," Saarland University, Saarbrücken, Germany",gaussian process optimization in the bandit setting: no regret and experimental design.
109,109,8.0," University of Alberta, Edmonton, Canada"," University of Alberta, Edmonton, Canada",model-based reinforcement learning with nearly tight exploration complexity bounds.
110,110,9.0," School of Computer Engineering, Nanyang Technological University, Singapore"," School of Computer Engineering, Nanyang Technological University, Singapore",learning sparse svm for feature selection on very high dimensional datasets.
111,111,10.0," Centre for Theoretical Neuroscience, University of Waterloo, Waterloo ON, CANADA"," Centre for Theoretical Neuroscience, University of Waterloo, Waterloo ON, CANADA",deep networks for robust visual recognition.
112,112,11.0," Laboratory of Mathematics LMI, INSA de Rouen, Saint-Etienne-du-Rouvray, FRANCE"," Laboratory of Theoretical and Applied Computer Science, UFR MIM, Metz University, Metz, FRANCE",a dc programming approach for sparse eigenvalue problem.
113,113,12.0, LORIA - INRIA Lorraine - Vandœuvre-lès-Nancy - FRANCE, LORIA - INRIA Lorraine - Vandœuvre-lès-Nancy - FRANCE,least-squares a policy iteration: bias-variance trade-off in control problems.
114,114,13.0," Department of Statistics, University of California, Berkeley, CA"," Department of EECS and Department of Statistics, University of California, Berkeley, CA",an analysis of the convergence of graph laplacians.
115,115,14.0," Department of Mathematical Informatics, The University of Tokyo, Bunkyo-ku, Tokyo, Japan"," Department of Mathematical Informatics, The University of Tokyo, Bunkyo-ku, Tokyo, Japan",a fast augmented lagrangian algorithm for learning low-rank matrices.
116,116,15.0," Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"," Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",one-sided support vector regression for multiclass cost-sensitive classification.
117,117,16.0," Computer Science Department, University of Basel, Basel, Switzerland"," Computer Science Department, University of Basel, Basel, Switzerland",the translation-invariant wishart-dirichlet process for clustering distance data.
118,118,17.0," Rutgers University, Piscataway, NJ"," Princeton University, Princeton, NJ",generalizing apprenticeship learning across hypothesis classes.
119,119,18.0," National Key Laboratory for Novel Software Technology, Nanjing University, China"," National Key Laboratory for Novel Software Technology, Nanjing University, China",a new analysis of co-training.
120,120,19.0," Department of Computer and Information Sciences, Temple University, Philadelphia, PA"," Department of Computer and Information Sciences, Temple University, Philadelphia, PA",multi-class pegasos on a budget.
121,121,20.0," Department of Engineering, University of Cambridge, Cambridge, UK"," Department of Computer Science, Princeton University, Princeton, NJ",the ibp compound dirichlet process and its application to focused topic modeling.
122,122,21.0," Department of Computer Science, Hefei University of Technology, Hefei, Anhui, China and Department of Computer Science, University of Vermont, Burlington, VT"," Department of Computer Science, University of Massachusetts Boston, Boston, MA",online streaming feature selection.
123,123,22.0," RL Laboratory, Department of Computer Science, Rutgers University, Piscataway, NJ"," RL Laboratory, Department of Computer Science, Rutgers University, Piscataway, NJ",classes of multiagent q-learning dynamics with ε-greedy exploration.
124,124,23.0," Cluster of Excellence MMCI, Saarland University and MPI Informatics, Saarbruecken, Germany"," Department of Computer Science & Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",simple and efficient multiple kernel learning by group lasso.
125,125,0.0," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",online learning for group lasso.
126,126,1.0," Department of Computer Science and Engineering, Michigan State University, East Lansing, MI"," Department of Computer Science and Engineering, Michigan State University, East Lansing, MI",learning from noisy side information by generalized maximum entropy model.
127,127,2.0," Department of Computer Science, University of Helsinki, Finland"," Department of Computer Science, University of Helsinki, Finland",convergence of least squares temporal difference methods under general conditions.
128,128,3.0," NEC Laboratories America, Cupertino, CA"," Rutgers University, Piscataway, NJ",improved local coordinate coding using local tangents.
129,129,4.0," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA"," The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",projection penalties: dimension reduction without loss.
130,130,5.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",conditional topic random fields.
131,131,6.0," Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI"," Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI",cognitive models of test-item effects in human category learning.
132,132,7.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",modeling interaction via the principle of maximum causal entropy.
133,133,0.0," Department of Electrical Engineering, Columbia University, New York, NY"," Department of Electrical Engineering, Columbia University, New York, NY",hashing with graphs.
134,134,1.0," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",efficient sparse modeling with automatic feature grouping.
135,135,2.0," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",multi-label classification on tree- and dag-structured hierarchies.
136,136,3.0, IBM T.J. Watson Research Center, IBM T.J. Watson Research Center,a graph-based framework for multi-task multi-view learning.
137,137,4.0," Centre for Quantum Computation & Intelligent Systems, FEIT, University of Technology, Sydney, NSW, Australia"," Centre for Quantum Computation & Intelligent Systems, FEIT, University of Technology, Sydney, NSW, Australia",godec: randomized low-rank & sparse matrix decomposition in noisy case.
138,138,5.0," Ecole Normale Supérieure, HEC Paris, CNRS, France"," Department of Electrical Engineering, Technion, Haifa, Israel",unimodal bandits.
139,139,6.0," Max Planck Institute for Intelligent Systems, Tübingen, Germany"," Department of Information Engineering, University of Padova, Padova, Italy",learning output kernels with block coordinate descent.
140,140,7.0," Department of Computer Science, Tokyo Institute of Technology, Tokyo, Japan"," Department of Computer Science, Tokyo Institute of Technology, Tokyo, Japan",on information-maximization clustering: tuning parameter selection and analytic solution.
141,141,8.0," CEREGMIA — Univ. Antilles-Guyane, Schoelcher, Martinique, France"," Sony Computer Science Laboratories, Inc., Shinagawa-Ku, Tokyo, Japan","on tracking portfolios with certainty equivalents on a generalization of markowitz model: the fool, the wise and the adaptive."
142,142,9.0," University of California, San Diego, CA"," University of California, San Diego, CA",multiple instance learning with manifold bags.
143,143,10.0," School of Information Technology and Engineering, University of Ottawa, Canada"," School of Information Technology and Engineering, University of Ottawa, Canada and Institute for Computer Science, Polish Academy of Sciences, Warsaw, Poland",large scale text classification using semi-supervised multinomial naive bayes.
144,144,11.0," Department of Mathematics, Stanford University, Stanford, CA"," Computer Science Division, UC Berkeley, Berkeley, CA",implementing regularization implicitly via approximate eigenvector computation.
145,145,12.0," Computer Science Department, Stanford University, Stanford, CA"," Computer Science Department, Stanford University, Stanford, CA",parsing natural scenes and natural language with recursive neural networks.
146,146,13.0," Department of Computer Science, University of Massachusetts, Amherst, MA"," Department of Computer Science, University of Massachusetts, Amherst, MA",conjugate markov decision processes.
147,147,14.0," Department of Computer Science, University of Toronto"," Department of Computer Science, University of Toronto",learning mallows models with pairwise preferences.
148,148,15.0," Dept. of Electrical Engineering and Computer Science, and of Statistics, University of Michigan, Ann Arbor, MI"," Dept. of Electrical Engineering and Computer Science, and of Statistics, University of Michigan, Ann Arbor, MI",surrogate losses and regret bounds for cost-sensitive classification with example-dependent costs.
149,149,16.0," Dept. of CSE, IIT-Bombay, Mumbai, INDIA"," Dept. of CSE, IIT-Bombay, Mumbai, INDIA",efficient rule ensemble learning using hierarchical kernels.
150,150,17.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA and Instituto de Telecomunicações, Instituto Superior Técnico, Lisboa, Portugal"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",an augmented lagrangian approach to constrained map inference.
151,151,18.0," Computer Science Department, Carnegie Mellon University, Pittsburgh, PA"," Computer Science Department, Carnegie Mellon University, Pittsburgh, PA",time series clustering: complex is simpler!.
152,152,19.0," Department of Computer Science, Royal Holloway University of London, Egham, United Kingdom"," Department of Computer Science, Royal Holloway University of London, Egham, United Kingdom",inference of inversion transduction grammars.
153,153,20.0," Department of Mathematics, Yunnan Normal University, Kunming, Yunnan, China"," Department of Computer Science & Engineering, Nanjing University of Aeronautics & Astronautics, China",bcdnpkl: scalable non-parametric kernel learning using block coordinate descent.
154,154,21.0," School of Computer Engineering, Nanyang Technological University, Singapore"," Department of Computer Science and Engineering, Michigan State University, East Lansing, MI",online auc maximization.
155,155,0.0," H. John Heinz III College, Carnegie Mellon University, Pittsburgh, PA"," Department of Computer Science, Cornell University, Ithaca, NY",beat the mean bandit.
156,156,1.0," DSI, Università degli Studi di Milano, Milano, Italy"," Idiap Research Institute, Centre du Parc, Martigny, Switzerland and École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland",ultra-fast optimization algorithm for sparse multi kernel learning.
157,157,2.0," University of Kansas, Lawrence, KS"," University of Kansas, Lawrence, KS",estimating the bayes point using linear knapsack problems.
158,158,3.0," Computer Science Department, UC Santa Cruz", Google,on the necessity of irrelevant variables.
159,159,4.0," Modelling of Cognitive Processes, Bernstein Center for Computational Neuroscience and TU Berlin. Franklinstr. Berlin, Germany"," ENSAE-CREST, Malakoff, France",abc-ep: expectation propagation for likelihood-free bayesian computation.
160,160,5.0," Departement d'informatique et de genie logiciel, Universite Laval, Quebec, Canada"," Departement d'informatique et de genie logiciel, Universite Laval, Quebec, Canada",a pac-bayes sample compression approach to kernel methods.
161,161,6.0," Department of Electrical Engineering, The Technion - Israel Institute of Technology, Haifa, Israel"," Department of Electrical Engineering, The Technion - Israel Institute of Technology, Haifa, Israel",integrating partial model knowledge in model free rl algorithms.
162,162,7.0," Universidad Autónoma de Madrid and Instituto de Ingeniería del Conocimiento, Madrid, Spain"," MPI for Intelligent Systems, Tubingen, Germany",fast newton-type methods for total variation regularization.
163,163,8.0," Carnegie Mellon University, Pittsburgh, PA"," Carnegie Mellon University, Pittsburgh, PA",parallel coordinate descent for l1-regularized loss minimization.
164,164,9.0," Duke University, Durham, NC"," Duke University, Durham, NC",approximate dynamic programming for storage problems.
