,first-author,first-author-affiliation,last-author,last-author-affiliation,title
57,Renata Khasanova,Ecole Polytechnique Federale de Lausanne (EPFL),Pascal Frossard,EPFL,Graph-based Isometry Invariant Representation Learning
58,Augustus Odena,Google Brain,Jon Shlens,Google Brain,Conditional Image Synthesis with Auxiliary Classifier GANs
59,Hoai An Le Thi,"Theoretical and Applied Computer Science Laboratory, University of Lorraine",Bach Tran,University of Lorraine,Stochastic DCA for the Large-sum of Non-convex Functions Problem and its Application to Group Variable Selection in Classification
60,Nikhil Mishra,UC Berkeley,Igor Mordatch,OpenAI,Prediction and Control with Temporal Segment Models
61,John C Urschel,Massachusetts Institute of Technology,Victor-Emmanuel Brunel,Massachusetts Institute of Technology,Learning Determinantal Point Processes with Moments and Cycles
62,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Follow the Compressed Leader: Faster Online Learning of Eigenvectors and Faster MMWU
63,Xueyu Mao,University of Texas at Austin,Deepayan Chakrabarti,"University of Texas, Austin",On Mixed Memberships and Symmetric Nonnegative Matrix Factorizations
64,Charbel Sakr,University of Illinois at Urbana-Champaign,Naresh Shanbhag,University of Illinois,Analytical Guarantees on Numerical Precision of Deep Neural Networks
65,Haim Avron,Tel Aviv University,Amir Zandieh,EPFL,Random Fourier Features for Kernel Ridge Regression: Approximation Bounds and Statistical Guarantees
66,Tao Lei,MIT CSAIL,Tommi Jaakkola,MIT,Deriving Neural Architectures from Sequence and Graph Kernels
67,Taeksoo Kim,SK T-Brain,Jiwon Kim,SK T-Brain,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks
68,Junqi Tang,the University of Edinburgh,Mike E Davies,University of Edinburgh,Gradient Projection Iterative Sketch for Large-Scale Constrained Least-Squares
69,Kavosh Asadi,Brown University,Michael L. Littman,Brown University,An Alternative Softmax Operator for Reinforcement Learning
70,Yarin Gal,University of Cambridge,Zoubin Ghahramani,University of Cambridge & Uber,Deep Bayesian Active Learning with Image Data
71,Sayak Ray Chowdhury,Indian Institute of Science,Aditya Gopalan,Indian Institute of Science,On Kernelized Multi-armed Bandits
72,Jiali Mei,EDF R&D & Université Paris-Sud,Georges Hébrail,EDF Lab Paris-Saclay,Nonnegative Matrix Factorization for Time Series Recovery From a Few Temporal Aggregates
73,Shuai Zheng,Hong Kong University of Science and Technology,James Kwok,Hong Kong University of Science and Technology,Follow the Moving Leader in Deep Learning
74,Hal Daumé,University of Maryland,Paul Mineiro,Microsoft,Logarithmic Time One-Against-Some
75,Piotr Bojanowski,Facebook,Armand Joulin,Facebook,Unsupervised Learning by Predicting Noise
76,Martin Arjovsky,New York University,Léon Bottou,Facebook,Wasserstein Generative Adversarial Networks
77,Cem Aksoylar,,Venkatesh Saligrama,Boston University,Connected Subgraph Detection with Mirror Descent on SDPs
78,Mehrdad Farajtabar,Georgia Tech,Hongyuan Zha,Georgia Institute of Technology,Fake News Mitigation via Point Process Based Intervention
79,Tammo Rukat,University of Oxford,Christopher Yau,University of Birmingham,Bayesian Boolean Matrix Factorisation
80,Daniele Calandriello,INRIA Lille,Michal Valko,Inria Lille - Nord Europe,Second-Order Kernel Online Convex Optimization with Adaptive Sketching
81,Sebastian Mair,Leuphana University Lüneburg,Ulf Brefeld,Leuphana University,Frame-based Data Factorizations
82,Liang Zhao,The City University of New York,Bo Yuan,"City College of New York, CUNY",Theoretical Properties for Neural Networks with Weight Matrices of Low Displacement Rank
83,Pang Wei Koh,Stanford University,Percy Liang,Stanford University,Understanding Black-box Predictions via Influence Functions
84,Mingsheng Long,Tsinghua University,Michael Jordan,UC Berkeley,Deep Transfer Learning with Joint Adaptation Networks
85,Shengjia Zhao,Stanford University,Stefano Ermon,Stanford University,Learning Hierarchical Features from Deep Generative Models
86,Mingyi Hong,Iowa State University,Ming-Min Zhao,Zhejiang University,Prox-PDA: The Proximal Primal-Dual Algorithm for Fast Distributed Nonconvex Optimization and Learning Over Networks
87,Deepak Pathak,UC Berkeley,Prof. Darrell,University of California at Berkeley,Curiosity-driven Exploration by Self-supervised Prediction
88,Stephen Bach,Stanford University,Christopher Re,Stanford,Learning the Structure of Generative Models without Labeled Data
89,Bangrui Chen,Cornell University,Peter I Frazier,Cornell University,Dueling Bandits with Weak Regret
90,Yeshwanth Cherapanamjeri,Microsoft Research,Kartik Gupta,Microsoft Research,Nearly Optimal Robust Matrix Completion
91,Alon Brutzkus,Tel Aviv University,Amir Globerson,Tel Aviv University,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs
92,Chenzi Zhang,HKU,Hubert Chan,University of Hong Kong,Re-revisiting Learning on Hypergraphs: Confidence Interval and Subgradient Method
93,Tsendsuren Munkhdalai,University of Massachusetts,Hong Yu,University of Massachusetts,Meta Networks
94,Rui Shu,Stanford University,Mohammad Ghavamzadeh,Adobe Research & INRIA,Bottleneck Conditional Density Estimation
95,Jialei Wang,University of Chicago,Lin Xiao,Microsoft Research,Exploiting Strong Convexity from Data with Primal-Dual First-Order Algorithms
96,James MacGlashan,Cogitai,Michael L. Littman,Brown University,Interactive Learning from Policy-Dependent Human Feedback
97,Eugene Belilovsky,CentraleSupelec,Matthew B Blaschko,KU Leuven,Learning to Discover Sparse Graphical Models
98,Claudio Gentile,Universita dell'Insubria,Evans Etrue Howard,University of Insubria,On Context-Dependent Clustering of Bandits
99,Yuanzhi Li,Princeton University,Yingyu Liang,Princeton University,Provable Alternating Gradient Descent for Non-negative Matrix Factorization with Strong Correlations
100,Yuchen Zhang,Stanford,Martin Wainwright,University of California at Berkeley,Convexified Convolutional Neural Networks
101,Fan Ma,Xian Jiaotong University,Xuanyi Dong,University of Technology Sydney,Self-Paced Co-training
102,Juyong Kim,Seoul National University,Sung Ju Hwang,UNIST / AItrics,SplitNet: Learning to Semantically Split Deep Networks for Parameter Reduction and Model Parallelization
103,Matthew Hoffman,Google Research,Matthew Hoffman,Google Research,Learning Deep Latent Gaussian Models with Markov Chain Monte Carlo
104,Qi Lei,University of Texas at Austin,Pradeep Ravikumar,Carnegie Mellon University,Doubly Greedy Primal-Dual Coordinate Descent for Sparse Empirical Risk Minimization
105,Nir Baram,Technion - Israel Institute of Technology,Shie Mannor,Technion,End-to-End Differentiable Adversarial Imitation Learning
106,Tian Gao,IBM Research,Murray Campbell,IBM,Local-to-Global Bayesian Network Structure Learning
107,Lihong Li,Microsoft Research,Dengyong Zhou,Microsoft Research,Provably Optimal Algorithms for Generalized Linear Contextual Bandits
108,Rong Ge,Duke University,Yi Zheng,Duke University,No Spurious Local Minima in Nonconvex Low Rank Problems: A Unified Geometric Analysis
109,Maithra Raghu,Google Brain / Cornell University,Jascha Sohl-Dickstein,Google Brain,On the Expressive Power of Deep Neural Networks
110,Tomoya Sakai,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Semi-Supervised Classification Based on Classification from Positive and Unlabeled Data
111,Chelsea Finn,UC Berkeley,Sergey Levine,Berkeley,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
112,Liping Liu,Columbia University,David Blei,Columbia University,Zero-Inflated Exponential Family Embeddings
113,Tianbao Yang,The University of Iowa,Lijun Zhang,Nanjing University,A Richer Theory of Convex Constrained Optimization with Reduced Projections and Improved Rates
114,Sammie Katt,Northeastern University,Chris Amato,Northeastern University,Learning in POMDPs with Monte Carlo Tree Search
115,XIUYAN NI,"THE GRADUATE CENTER, CUNY",Chao Chen,City University of New York (CUNY),Composing Tree Graphical Models with Persistent Homology Features for Clustering Mixed-Type Data
116,Wen Sun,Carnegie Mellon University,Ashish Kapoor,Microsoft Research,Safety-Aware Algorithms for Adversarial Contextual Bandit
117,Mostafa Rahmani,University of Central Florida,George Atia,University of Central Florida,"Coherence Pursuit: Fast, Simple, and Robust Subspace Recovery"
118,Itay Safran,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Depth-Width Tradeoffs in Approximating Natural Functions With Neural Networks
119,Weiyang Liu,Georgia Tech,Le Song,Georgia Institute of Technology,Iterative Machine Teaching
120,Corinna Cortes,Google Research,Scott Yang,Courant Institute,AdaNet: Adaptive Structural Learning of Artificial Neural Networks
121,Tom Goldstein,University of Maryland,Christoph Studer,Cornell University,Convex Phase Retrieval without Lifting via PhaseMax
122,Irina Higgins,DeepMind,Alexander Lerchner,DeepMind,DARLA: Improving Zero-Shot Transfer in Reinforcement Learning
123,Arthur Choi,UCLA,Adnan Darwiche,UCLA,On Relaxing Determinism in Arithmetic Circuits
124,Jiecao (Jack) Chen,Indiana University Bloomington,Yuan Zhou,Indiana University Bloomington,Adaptive Multiple-Arm Identification
125,Masaaki Imaizumi,Institute of Statistical Mathematics,Kohei Hayashi,AIST / RIKEN,Tensor Decomposition with Smoothness
126,Alex Graves,DeepMind,koray kavukcuoglu,DeepMind,Automated Curriculum Learning for Neural Networks
127,Pranav Shyam,R. V. College of Engineering & Indian Institute of Science,Ambedkar Dukkipati,Indian Institute of Science,Attentive Recurrent Comparators
128,Colin Dawson,Oberlin College,Clayton T. Morrison,University of Arizona,An Infinite Hidden Markov Model With Similarity-Biased Transitions
129,Shali Jiang,Washington University in St. Louis,Roman Garnett,Washington University in St. Louis,Efficient Nonmyopic Active Search
130,Kuniaki Saito,The University of Tokyo,Tatsuya Harada,The Univ. of Tokyo / RIKEN,Asymmetric Tri-training for Unsupervised Domain Adaptation
131,Hao Hu,University of Central Florida,Guo-Jun Qi,University of Central Florida,State-Frequency Memory Recurrent Neural Networks
132,Zi Wang,MIT,Pushmeet Kohli,Microsoft Research,Batched High-dimensional Bayesian Optimization via Structural Kernel Learning
133,John Lipor,University of Michigan,Laura Balzano,University of Michigan,Leveraging Union of Subspace Structure to Improve Constrained Clustering
134,PENGFEI WEI,"Nanyang Technological University, Singapore",CHI GOH,,Source-Target Similarity Modelings for Multi-Source Transfer Gaussian Process Regression
135,Daniel Neil,Institute of Neuroinformatics,Shih-Chii Liu,Institute of Neuroinformatics,Delta Networks for Optimized Recurrent Network Computation
136,Geng Ji,Brown University,Erik Sudderth,"University of California, Irvine",From Patches to Images: A Nonparametric Generative Model
137,Kamalika Chaudhuri,University of California at San Diego,Nagarajan Natarajan,Microsoft Research,Active Heteroscedastic Regression
138,Anastasia Pentina,IST Austria,Christoph H. Lampert,IST Austria,Multi-task Learning with Labeled and Unlabeled Tasks
139,Julian Zilly,ETH Zurich,Jürgen Schmidhuber,Swiss AI Lab,Recurrent Highway Networks
140,Christian Walder,CSIRO Data61,Adrian N Bishop,Data61/ANU/UTS,Fast Bayesian Intensity Estimation for the Permanental Process
141,Akshay Krishnamurthy,UMass,John Langford,Microsoft Research,Active Learning for Cost-Sensitive Classification
142,Ken Kansky,Vicarious AI,Dileep George,Vicarious AI,Schema Networks: Zero-shot Transfer with a Generative Causal Model of Intuitive Physics
143,Konstantina Palla,Oxford,Zoubin Ghahramani,University of Cambridge & Uber,A Birth-Death Process for Feature Allocation
144,Chris Tosh,"University of California, San Diego",Sanjoy Dasgupta,UCSD,Diameter-Based Active Learning
145,Daniel McNamara,Australian National University and Data61,Nina Balcan,Carnegie Mellon University,Risk Bounds for Transferring Representations With and Without Fine-Tuning
146,Quynh Nguyen,Saarland University,Matthias Hein,Saarland University,The loss surface of deep and wide neural networks
147,David Balduzzi,Victoria University Wellington,Tony Butler-Yeoman,Victoria University of Wellington,Neural Taylor Approximations: Convergence and Exploration in Rectifier Networks
148,Laurent Dinh,University of Montreal,Yoshua Bengio,U. Montreal,Sharp Minima Can Generalize For Deep Nets
149,Jeffrey Pennington,Google Brain,Yasaman Bahri,Google Brain,Geometry of Neural Network Loss Surfaces via Random Matrix Theory
150,David Balduzzi,Victoria University Wellington,J.P. Lewis,Frostbite Labs and Victoria University,"The Shattered Gradients Problem: If resnets are the answer, then what is the question?"
151,Yutian Chen,DeepMind,Nando de Freitas,DeepMind,Learning to Learn without Gradient Descent by Gradient Descent
152,Alnur Ali,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University,"A Semismooth Newton Method for Fast, Generic Convex Programming"
153,Martha White,University of Alberta/Indiana University,Martha White,University of Alberta/Indiana University,Unifying task specification in reinforcement learning
154,Alina Beygelzimer,Yahoo Research,Chicheng Zhang,UCSD,Efficient Online Bandit Multiclass Learning with O(sqrt{T}) Regret
155,Vatsal Sharan,Stanford University,Gregory Valiant,Stanford University,Orthogonalized ALS: A Theoretically Principled Tensor Decomposition Algorithm for Practical Use
156,Olga Wichrowska,Google Brain,Jascha Sohl-Dickstein,Google Brain,Learned Optimizers that Scale and Generalize
157,Haishan Ye,Shanghai Jiao Tong University,Zhihua Zhang,Peking University,Approximate Newton Methods and Their Local Convergence
158,Marc Bellemare,DeepMind,Remi Munos,DeepMind,A Distributional Perspective on Reinforcement Learning
159,Carlos Riquelme Ruiz,Stanford University,Alessandro Lazaric,FACEBOOK,Active Learning for Accurate Estimation of Linear Models
160,Poan Wang,Academia sinica,Chi-Jen Lu,Academia Sinica,Tensor Decomposition via Simultaneous Power Iteration
161,Kaifeng Lyu,Tsinghua University,Jian Li,IIIS,Learning Gradient Descent: Better Generalization and Longer Horizons
162,Chaoxu Zhou,Columbia University,Donald Goldfarb,Columbia University,Stochastic Adaptive Quasi-Newton Methods for Minimizing Expected Values
163,Andrew Saxe,Harvard University,Benjamin Rosman,Council for Scientific and Industrial Research (CSIR),Hierarchy Through Composition with Multitask LMDPs
164,Satyen Kale,Google Research,David Pal,Yahoo,Adaptive Feature Selection: Computationally Efficient Online Sparse Linear Regression under RIP
165,Lingxiao Wang,University of Virginia,Quanquan Gu,University of Virginia,A Unified Variance Reduction-Based Framework for Nonconvex Low-Rank Matrix Recovery
166,Philip Bachman,Maluuba,Adam Trischler,Maluuba,Learning Algorithms for Active Learning
167,Alex Botev,University College London,David Barber,University College London,Practical Gauss-Newton Optimisation for Deep Learning
168,Marlos C. Machado,University of Alberta,Michael Bowling,University of Alberta,A Laplacian Framework for Option Discovery in Reinforcement Learning
169,Sebastian Pokutta,Georgia Tech,Oskar Schneider,,Emulating the Expert: Inverse Optimization through Online Learning
170,Dave Anderson,UC Berkeley,Ming Gu,University of California at Berkeley,"An Efficient, Sparsity-Preserving, Online Algorithm for Low-Rank Approximation"
171,Mahito Sugiyama,National Institute of Informatics,Koji Tsuda,University of Tokyo / RIKEN,Tensor Balancing on Statistical Manifold
172,Jacob Andreas,UC Berkeley,Sergey Levine,Berkeley,Modular Multitask Reinforcement Learning with Policy Sketches
173,Mahesh Chandra Mukkamala,Saarland University,Matthias Hein,Saarland University,Variants of RMSProp and Adagrad with Logarithmic Regret Bounds
174,Flavio Chierichetti,Sapienza University of Rome,David Woodruff,,Algorithms for $\ell_p$ Low-Rank Approximation
175,Ke Sun,KAUST,Frank Nielsen,École Polytechnique,Relative Fisher Information and Natural Gradient for Learning Large Modular Models
176,Zakaria mhammedi,The University of Melbourne,Ashfaqur Rahman,CSIRO,Efficient Orthogonal Parametrisation of Recurrent Neural Networks Using Householder Reflections
177,Gábor Braun,Georgia Institute of Technology,Daniel Zink,,Lazifying Conditional Gradient Algorithms
178,Josiah Hanna,University of Texas at Austin,Scott Niekum,University of Texas at Austin,Data-Efficient Policy Evaluation Through Behavior Policy Search
179,Erik Lindgren,University of Texas at Austin,Adam Klivans,University of Texas at Austin,Exact MAP Inference by Avoiding Fractional Vertices
180,He Zhao,"FIT, Monash University",Wray Buntine,Monash University,Leveraging Node Attributes for Incomplete Relational Data
181,Andreas Loukas,EPFL,Andreas Loukas,EPFL,How Close Are the Eigenvectors of the Sample and Actual Covariance Matrices?
182,Olivier Bachem,ETH Zurich,Andreas Krause,ETH Zurich,Distributed and Provably Good Seedings for k-Means in Constant Rounds
183,Ping Luo,The Chinese University of Hong Kong,Ping Luo,The Chinese University of Hong Kong,Learning Deep Architectures via Generalized Whitened Neural Networks
184,Eugene Vorontsov,MILA,Samuel Kadoury,Ecole Polytechnique de Montreal,On orthogonality and learning RNNs with long term dependencies
185,Guanghui ,George,Daniel Zink,,Conditional Accelerated Lazy Stochastic Gradient Descent
186,Simon Du,Carnegie Mellon University,Dengyong Zhou,Microsoft Research,Stochastic Variance Reduction Methods for Policy Evaluation
187,Kevin Winner,"University of Massachusetts, Amherst",Daniel Sheldon,University of Massachusetts Amherst,Exact Inference for Integer Latent-Variable Models
188,Juho Lee,POSTECH,Seungjin Choi,POSTECH,Bayesian inference on random simple graphs with power law degree distributions
189,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Faster Principal Component Regression and Stable Matrix Chebyshev Approximation
190,Silvio Lattanzi,Google,Sergei Vassilvitskii,Google,Consistent k-Clustering
191,Friedemann Zenke,Stanford,Surya Ganguli,Stanford,Continual Learning Through Synaptic Intelligence
192,Li Jing,Massachusetts Institute of Technology,Marin Solja\v{c}i\'{c},MIT,Tunable Efficient Unitary Neural Networks (EUNN) and their application to RNNs
193,Lam Nguyen,Lehigh University,Martin Takac,Lehigh University,SARAH: A Novel Method for Machine Learning Problems Using Stochastic Recursive Gradient
194,Yu-Xiang Wang,Carnegie Mellon University / Amazon AWS,Miro Dudik,Microsoft Research,Optimal and Adaptive Off-policy Evaluation in Contextual Bandits
195,Arturs Backurs,MIT,Christos Tzamos,MIT,Improving Viterbi is Hard: Better Runtimes Imply Faster Clique Algorithms
196,Hanxiao Liu,CMU/Google DeepMind,Yiming Yang,Carnegie Mellon University,Analogical Inference for Multi-relational Embeddings
197,Borja de Balle Pigem,Amazon Research Cambridge,Odalric Maillard,,Spectral Learning from a Single Trajectory under Finite-State Policies
198,Bo Yang,University of Minnesota,Mingyi Hong,Iowa State University,Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering
199,Tolga Bolukbasi,Boston University,Venkatesh Saligrama,Boston University,Adaptive Neural Networks for Efficient Inference
200,Junier Oliva,Carnegie Mellon University,Jeff Schneider,CMU/Uber,The Statistical Recurrent Unit
201,Sebastian Stich,EPFL,Martin Jaggi,EPFL,Approximate Steepest Coordinate Descent
202,Assaf Hallak,Technion,Shie Mannor,Technion,Consistent On-Line Off-Policy Evaluation
203,John Ingraham,Harvard University,Debora Marks,Harvard Medical School,Variational Inference for Sparse and Undirected Models
204,Rakshit Trivedi,Georgia Institute of Technology,Le Song,Georgia Institute of Technology,Know-Evolve: Deep Temporal Reasoning for Dynamic Knowledge Graphs
205,Di Wang,UC Berkeley,Satish Rao,UC Berkeley,Capacity Releasing Diffusion for Speed and Locality.
206,Manolis Tsakiris,Johns Hopkins University,Rene Vidal,Johns Hopkins University,Hyperplane Clustering Via Dual Principal Component Pursuit
207,jaehong yoon,UNIST,Sung Ju Hwang,UNIST / AItrics,Combined Group and Exclusive Sparsity for Deep Neural Networks
208,Jakob Foerster,University of Oxford,David Sussillo,"Google Brain, Google Inc.",Input Switched Affine Networks: An RNN Architecture Designed for Interpretability
209,Tyler Johnson,University of Washington,Carlos Guestrin,,StingyCD: Safely Avoiding Wasteful Updates in Coordinate Descent
210,Nan Jiang,Microsoft Research,Robert Schapire,Microsoft Research,Contextual Decision Processes with low Bellman rank are PAC-Learnable
211,Andrew Wrigley,Australian National University,Nan Ye,Queensland University of Technology,Tensor Belief Propagation
212,Changwei Hu,Duke University,Lawrence Carin,Duke,Deep Generative Models for Relational Data with Side Information
213,Zeyuan Allen-Zhu,Microsoft Research / Princeton / IAS,Yuanzhi Li,Princeton University,Doubly Accelerated Methods for Faster CCA and Generalized Eigendecomposition
214,Nhat Ho,University of Michigan,Dinh Phung,Deakin University,Multilevel Clustering via Wasserstein Means
215,Colin Raffel,Google Brain,Douglas Eck,Google Brain,Online and Linear-Time Attention by Enforcing Monotonic Alignments
216,Qianxiao Li,"Institute of High Performance Computing, A*STAR",Weinan E,Princeton University,Stochastic modified equations and adaptive stochastic gradient algorithms
217,Ron Appel,caltech.edu,Pietro Perona,caltech.edu,A Simple Multi-Class Boosting Framework with Theoretical Guarantees and Empirical Proficiency
218,Insu Han,Korea Advanced Institute of Science and Technology,Jinwoo Shin,KAIST,Faster Greedy MAP Inference for Determinantal Point Processes
219,lum Maystre,EPFL,Matt Grossglauser,EPFL,ChoiceRank: Identifying Preferences from Node Traffic in Networks
220,Jie Shen,Rutgers University,Ping Li,Rugters University,On the Iteration Complexity of Support Recovery via Hard Thresholding Pursuit
221,Olivier Bachem,ETH Zurich,Andreas Krause,ETH Zurich,Uniform Deviation Bounds for k-Means Clustering
222,Natasha Jaques,Massachusetts Institute of Technology,Douglas Eck,Google Brain,Sequence Tutor: Conservative fine-tuning of sequence generation models with KL-control
223,Bin Hu,University of Wisconsin,Laurent Lessard,University of Wisconsin-Madison,Dissipativity Theory for Nesterov's Accelerated Method
