,year,first-author,first-author-affiliation,first-author-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
30,2011,Wolfgang Woerndl,,,Florian Schulze,,,Activity Context Representation,"Capturing, Analyzing and Utilizing Context-Based Information About User Activities on Smartphones.",2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3823,https://dblp.org/rec/conf/aaai/WoerndlS11
31,2011,Bruce Cahan,,,Bruce Cahan,,,Artificial Intelligence and Smarter Living,Making Cities Smarter than Their Bankers.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3809,https://dblp.org/rec/conf/aaai/Cahan11
32,2011,Chao Chen,,,Diane J. Cook,,,Artificial Intelligence and Smarter Living,Energy Outlier Detection in Smart Environments.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3837,https://dblp.org/rec/conf/aaai/ChenC11a
33,2011,Yi Chu,,,Richard Levinson,,,Artificial Intelligence and Smarter Living,When Did You Start Doing that Thing that You Do? Interactive Activity Recognition and Prompting.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3890,https://dblp.org/rec/conf/aaai/ChuSHL11
34,2011,Robert Anthony Edgell,,,Roland Vogl,,,Artificial Intelligence and Smarter Living,A Network View of Human Ingestion and Health - Instrumental Artificial Intelligence.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3886,https://dblp.org/rec/conf/aaai/EdgellV11
35,2011,Michael Freed,,,Ciaran O'Reilly,,,Artificial Intelligence and Smarter Living,Interactive Bootstrapped Learning for End-User Programming.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3945,https://dblp.org/rec/conf/aaai/FreedBSO11
36,2011,Vikramaditya R. Jakkula,,,Diane J. Cook,,,Artificial Intelligence and Smarter Living,Detecting Anomalous Sensor Events in Smart Home Data for Enhancing the Living Experience.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3889,https://dblp.org/rec/conf/aaai/JakkulaC11
37,2011,Harry Thomas Rose,,,Enrico H. Gerding,,,Artificial Intelligence and Smarter Living,Mechanism Design for Aggregated Demand Prediction in the Smart Grid.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3924,https://dblp.org/rec/conf/aaai/RoseRG11
38,2011,Anika Schumann,,,Olivier Verscheure,,,Artificial Intelligence and Smarter Living,Adaptable Fault Identification for Smart Buildings.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3943,https://dblp.org/rec/conf/aaai/SchumannHPV11
39,2011,Oswaldo Aguirre,,,Christopher Kiekintveld,,,Applied Adversarial Reasoning and Risk Modeling,Towards the Integration of Multi-Attribute Optimization and Game Theory for Border Security Patrolling Strategies.,6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3853,https://dblp.org/rec/conf/aaai/AguirreLGTEK11
40,2011,Muhammad Aurangzeb Ahmad,,,Noshir S. Contractor,,,Applied Adversarial Reasoning and Risk Modeling,Towards Analyzing Adversarial Behavior in Clandestine Networks.,6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3959,https://dblp.org/rec/conf/aaai/AhmadKSWSC11
41,2011,Boris A. Galitsky,,,Josep Lluís de la Rosa,,,Applied Adversarial Reasoning and Risk Modeling,Learning Adversarial Reasoning Patterns in Customer Complaints.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3976,https://dblp.org/rec/conf/aaai/GalitskyR11
42,2011,Sam Ganzfried,,,Kevin Waugh,,,Applied Adversarial Reasoning and Risk Modeling,Strategy Purification.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3873,https://dblp.org/rec/conf/aaai/GanzfriedSW11
43,2011,Manish Jain,,,Fernando Ordóñez,,,Applied Adversarial Reasoning and Risk Modeling,Addressing Execution and Observation Error in Security Games.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3908,https://dblp.org/rec/conf/aaai/JainYTO11
44,2011,Daniel Keep,,,Anthony Green,,,Applied Adversarial Reasoning and Risk Modeling,Application of Microsimulation Towards Modelling of Behaviours in Complex Environments.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3871,https://dblp.org/rec/conf/aaai/KeepBPG11
45,2011,Maciej M. Latek,,,Seyed M. Mussavi Rizi,,,Applied Adversarial Reasoning and Risk Modeling,Robust Decision Making under Strategic Uncertainty in Multiagent Environments.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3963,https://dblp.org/rec/conf/aaai/LatekR11
46,2011,Octavio Lerma,,,Christopher Kiekintveld,,,Applied Adversarial Reasoning and Risk Modeling,Linear-Time Resource Allocation in Security Games with Identical Fully Protective Resources.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3978,https://dblp.org/rec/conf/aaai/LermaKK11
47,2011,Joshua Letchford,,,Yevgeniy Vorobeychik,,,Applied Adversarial Reasoning and Risk Modeling,Computing Randomized Security Strategies in Networked Domains.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3868,https://dblp.org/rec/conf/aaai/LetchfordV11
48,2011,James Pita,,,Richard John,,,Applied Adversarial Reasoning and Risk Modeling,Toward Addressing Human Behavior with Observational Uncertainty in Security Games.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3894,https://dblp.org/rec/conf/aaai/PitaYTJ11
49,2011,Thomas J. Walsh,,,Paul R. Cohen,,,Applied Adversarial Reasoning and Risk Modeling,Leadership Games and their Application in Super-Peer Networks.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3910,https://dblp.org/rec/conf/aaai/WalshTWC11
50,2011,Alessandro D'Ausilio,,,Luciano Fadiga,,,Language-Action Tools for Cognitive Artificial Agents,The Common Origins of Language and Action.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3851,https://dblp.org/rec/conf/aaai/DAusilioF11
51,2011,Judith L. Klavans,,,Robert Stein,,,Language-Action Tools for Cognitive Artificial Agents,Beyond Flickr - Not All Image Tagging Is Created Equal.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3997,https://dblp.org/rec/conf/aaai/KlavansGLBS11
52,2011,Katerina Pastra,,,Giorgos Karakatsiotis,,,Language-Action Tools for Cognitive Artificial Agents,Embodied Language Processing - A New Generation of Language Technology.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/4003,https://dblp.org/rec/conf/aaai/PastraBDK11
53,2011,Agnes Swadzba,,,Sven Wachsmuth,,,Language-Action Tools for Cognitive Artificial Agents,Aligned Scene Modeling of a Robot's Vista Space - An Evaluation.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3801,https://dblp.org/rec/conf/aaai/SwadzbaW11
54,2011,Ching Lik Teo,,,Yiannis Aloimonos,,,Language-Action Tools for Cognitive Artificial Agents,A Corpus-Guided Framework for Robotic Visual Perception.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3921,https://dblp.org/rec/conf/aaai/TeoYDFA11
55,2011,Evelyne Tzoukermann,,,Gautam Singh,,,Language-Action Tools for Cognitive Artificial Agents,Language Models for Semantic Extraction and Filtering in Video Action Recognition.,9,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3919,https://dblp.org/rec/conf/aaai/TzoukermannNKFPFSCS11
56,2011,Xiaodong Yu,,,Yiannis Aloimonos,,,Language-Action Tools for Cognitive Artificial Agents,Visual Scene Interpretation as a Dialogue between Vision and Language.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3989,https://dblp.org/rec/conf/aaai/YuFA11
57,2011,Susan Leigh Anderson,,,Michael Anderson 0001,,,Human-Robot Interaction in Elder Care,A Prima Facie Duty Approach to Machine Ethics and Its Application to Elder Care.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3812,https://dblp.org/rec/conf/aaai/AndersonA11
58,2011,Timothy James Becker,,,Timothy James Becker,,,Human-Robot Interaction in Elder Care,A General Perceptual Model for Eldercare Robots.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3965,https://dblp.org/rec/conf/aaai/Becker11
59,2011,Elizabeth Broadbent,,,Bruce A. MacDonald,,,Human-Robot Interaction in Elder Care,Human-Robot Interaction Research to Improve Quality of Life in Elder Care - An Approach and Issues.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3875,https://dblp.org/rec/conf/aaai/BroadbentJKSM11
60,2011,Christopher James Calo,,,Ted Metzler,,,Human-Robot Interaction in Elder Care,"Ethical Implications of Using the Paro Robot, with a Focus on Dementia Patient Care.",4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3808,https://dblp.org/rec/conf/aaai/CaloHLM11
61,2011,Tatsuya Nomura,,,Saori Takeuchi,,,Human-Robot Interaction in Elder Care,The Elderly and Robots - From Experiments based on Comparison with Younger People.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3811,https://dblp.org/rec/conf/aaai/NomuraT11
62,2011,Marjorie Skubic,,,Jared Miller,,,Human-Robot Interaction in Elder Care,Human-Driven Spatial Language for Human-Robot Interaction.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3799,https://dblp.org/rec/conf/aaai/SkubicHCLM11
63,2011,Paolo Cremonesi,,,Stefano Gualandi,,,AI for Data Center Management and Cloud Computing,On the Cooling-Aware Workload Placement Problem.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3911,https://dblp.org/rec/conf/aaai/CremonesiSG11
64,2011,Ian P. Gent,,,Lars Kotthoff,,,AI for Data Center Management and Cloud Computing,Reliability of Computational Experiments on Virtualised Hardware.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3806,https://dblp.org/rec/conf/aaai/GentK11
65,2011,Yuxiong He,,,Sameh Elnikety,,,AI for Data Center Management and Cloud Computing,Position Paper - Embracing Heterogeneity - Improving Energy Efficiency for Interactive Services on Heterogeneous Data Center Hardware.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3897,https://dblp.org/rec/conf/aaai/HeE11
66,2011,Yannick Le Nir,,,Peio Loubière,,,AI for Data Center Management and Cloud Computing,Cloud Resource Management Using Constraints Acquisition and Planning.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3879,https://dblp.org/rec/conf/aaai/NirDL11
67,2011,Jean-Charles Régin,,,Mohamed Rezgui,,,AI for Data Center Management and Cloud Computing,Discussion about Constraint Programming Bin Packing Models.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3817,https://dblp.org/rec/conf/aaai/ReginR11
68,2011,Gordon Rios,,,Doug Judd,,,AI for Data Center Management and Cloud Computing,Load Balancing for Hypertable.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3802,https://dblp.org/rec/conf/aaai/RiosJ11
69,2011,Yang Xu 0003,,,Zhongzhi Shi,,,AI for Data Center Management and Cloud Computing,An Intelligent Load Balancing Algorithm Towards Efficient Cloud Computing.,6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3877,https://dblp.org/rec/conf/aaai/XuWGCYS11
70,2011,Noa Agmon,,,Peter Stone,,,Interactive Decision Theory and Game Theory,Leading Multiple Ad Hoc Teammates in Joint Action Settings.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3805,https://dblp.org/rec/conf/aaai/AgmonS11
71,2011,Asrar Ahmed,,,Kamalakar Karlapalem,,,Interactive Decision Theory and Game Theory,Reciprocal Preference Model for Two Player Dilemma Games.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3977,https://dblp.org/rec/conf/aaai/AhmedK11
72,2011,Amos Azaria,,,Claudia V. Goldman,,,Interactive Decision Theory and Game Theory,Giving Advice to People in Path Selection Problems.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3849,https://dblp.org/rec/conf/aaai/AzariaRKG11a
73,2011,Qing Guo,,,Piotr J. Gmytrasiewicz,,,Interactive Decision Theory and Game Theory,Modeling Bounded Rationality of Agents During Interactions.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3957,https://dblp.org/rec/conf/aaai/GuoG11
74,2011,Greg Hines,,,Kate Larson,,,Interactive Decision Theory and Game Theory,Efficiently Eliciting Preferences from a Group of Users.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3829,https://dblp.org/rec/conf/aaai/HinesL11
75,2011,Michael Kaisers,,,Karl Tuyls,,,Interactive Decision Theory and Game Theory,"FAQ-Learning in Matrix Games - Demonstrating Convergence Near Nash Equilibria, and Bifurcation of Attractors in the Battle of Sexes.",2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3950,https://dblp.org/rec/conf/aaai/KaisersT11
76,2011,Liam MacDermed,,,Lora Weiss,,,Interactive Decision Theory and Game Theory,Markov Games of Incomplete Information for Multi-Agent Reinforcement Learning.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3958,https://dblp.org/rec/conf/aaai/MacDermedIW11
77,2011,Alessandro Panella,,,Piotr J. Gmytrasiewicz,,,Interactive Decision Theory and Game Theory,Interactive First-Order Probabilistic Logic.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3953,https://dblp.org/rec/conf/aaai/PanellaG11
78,2011,Paolo Viappiani,,,Craig Boutilier,,,Interactive Decision Theory and Game Theory,A Bayesian Concept Learning Approach to Crowdsourcing.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3807,https://dblp.org/rec/conf/aaai/ViappianiZHB11
79,2011,Brian Coltin,,,Rodrigo Ventura 0001,,,Automated Action Planning for Autonomous Mobile Robots,Dynamic User Task Scheduling for Mobile Robots.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3855,https://dblp.org/rec/conf/aaai/ColtinVV11
80,2011,John Enright,,,Peter R. Wurman,,,Automated Action Planning for Autonomous Mobile Robots,Optimization and Coordinated Autonomy in Mobile Fulfillment Systems.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3917,https://dblp.org/rec/conf/aaai/EnrightW11
81,2011,Cameron Finucane,,,Hadas Kress-Gazit,,,Automated Action Planning for Autonomous Mobile Robots,Designing Reactive Robot Controllers with LTLMoP.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3982,https://dblp.org/rec/conf/aaai/FinucaneJK11
82,2011,Barbara Frank,,,Wolfram Burgard,,,Automated Action Planning for Autonomous Mobile Robots,Using Gaussian Process Regression for Efficient Motion Planning in Environments with Deformable Objects.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3822,https://dblp.org/rec/conf/aaai/FrankSAB11
83,2011,Mario Gianni,,,Hendrik Zender,,,Automated Action Planning for Autonomous Mobile Robots,A Unified Framework for Planning and Execution-Monitoring of Mobile Robots.,12,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3852,https://dblp.org/rec/conf/aaai/GianniPPLPCZSPKKZ11
84,2011,Moritz Göbelbecker,,,Patric Jensfelt,,,Automated Action Planning for Autonomous Mobile Robots,A Planning Approach to Active Visual Search in Large Environments.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3916,https://dblp.org/rec/conf/aaai/GobelbeckerAPSJ11
85,2011,Michael Misha Novitzky,,,Michael Misha Novitzky,,,Automated Action Planning for Autonomous Mobile Robots,Improvement of Multi-AUV Cooperation through Teammate Verification.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3969,https://dblp.org/rec/conf/aaai/Novitzky11
86,2011,Dominik Off,,,Jianwei Zhang 0001,,,Automated Action Planning for Autonomous Mobile Robots,Continual HTN Robot Task Planning in Open-Ended Domains - A Case Study.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3850,https://dblp.org/rec/conf/aaai/OffZ11
87,2011,Maurice Pagnucco,,,Michael Thielscher,,,Automated Action Planning for Autonomous Mobile Robots,How to Plan When Being Deliberately Misled.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3821,https://dblp.org/rec/conf/aaai/PagnuccoRST11
88,2011,Ezequiel Quintero,,,David Prior,,,Automated Action Planning for Autonomous Mobile Robots,Autonomous Mobile Robot Control and Learning with the PELEA Architecture.,9,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3885,https://dblp.org/rec/conf/aaai/QuinteroABFFOGOP11
89,2011,Zachary Ramaekers,,,Carl A. Nelson,,,Automated Action Planning for Autonomous Mobile Robots,Self-Reconfiguration in Modular Robots Using Coalition Games with Uncertainty.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3810,https://dblp.org/rec/conf/aaai/RamaekersDUHN11
90,2011,Stephanie Rosenthal,,,Anind K. Dey,,,Automated Action Planning for Autonomous Mobile Robots,Task Behavior and Interaction Planning for a Mobile Service Robot that Occasionally Requires Help.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3830,https://dblp.org/rec/conf/aaai/RosenthalVD11a
91,2011,Alexei V. Samsonovich,,,Giorgio A. Ascoli,,,Automated Action Planning for Autonomous Mobile Robots,NeuroNavigator - A Hippocampus-Inspired Cognitive Architecture for Spiking Network Implementation.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3870,https://dblp.org/rec/conf/aaai/SamsonovichA11
92,2011,Tapio Taipalus,,,Tapio Taipalus,,,Automated Action Planning for Autonomous Mobile Robots,Execution and Representation of Actions and Plans in ActionPool Method.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3918,https://dblp.org/rec/conf/aaai/Taipalus11
93,2011,Ugur C. Usug,,,Sanem Sariel Talay,,,Automated Action Planning for Autonomous Mobile Robots,Dynamic Temporal Planning for Multirobot Systems.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3981,https://dblp.org/rec/conf/aaai/UsugS11
94,2011,Shiqi Zhang,,,Mohan Sridharan,,,Automated Action Planning for Autonomous Mobile Robots,Visual Search and Multirobot Collaboration Based on Hierarchical Planning.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3818,https://dblp.org/rec/conf/aaai/ZhangS11
95,2011,Vamshi Ambati,,,Jaime G. Carbonell,,,Human Computation,Towards Task Recommendation in Micro-Task Markets.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/4005,https://dblp.org/rec/conf/aaai/AmbatiVC11
96,2011,Josh Attenberg,,,Foster J. Provost,,,Human Computation,Beat the Machine - Challenging Workers to Find the Unknown Unknowns.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3954,https://dblp.org/rec/conf/aaai/AttenbergIP11
97,2011,David Bermbach,,,Christian Zirpins,,,Human Computation,An Extendable Toolkit for Managing Quality of Human-Based Electronic Services.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3923,https://dblp.org/rec/conf/aaai/BermbachKWRZ11
98,2011,Fatima A. Boujarwah,,,Rosa I. Arriaga,,,Human Computation,Developing Scripts to Teach Social Skills - Can the Crowd Assist the Author?,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3914,https://dblp.org/rec/conf/aaai/BoujarwahKAA11
99,2011,Mark Brozier Cartwright,,,Bryan Pardo,,,Human Computation,Making Searchable Melodies - Human versus Machine.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3887,https://dblp.org/rec/conf/aaai/CartwrightRHP11
