,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Gender,title
39,Zhao Song,Baidu Research,,Lawrence Carin,Duke University,Male,Revisiting the Softmax Bellman Operator: New Benefits and New Perspective
40,Arthur Guez,Google DeepMind,Male ,Tim Lillicrap,Google DeepMind,Male,An Investigation of Model-Free Planning
41,Cédric Colas,Inria,Male ,Mohamed Chetouani,UPMC,Male,CURIOUS: Intrinsically Motivated Modular Multi-Goal Reinforcement Learning
42,Yilun Du,MIT,Male,Karthik Narasimhan,Princeton,Male,Task-Agnostic Dynamics Priors for Deep Reinforcement Learning
43,Justin Fu,"University of California, Berkeley",Male,Sergey Levine,UC Berkeley,Male,Diagnosing Bottlenecks in Deep Q-learning Algorithms
44,Shaw Khadka,Intel AI,Male,Kagan Tumer,Oregon State University US,Male,Collaborative Evolutionary Reinforcement Learning
45,Harry Kim,Seoul National University,Male,Hyun Oh Song,Seoul National University,Male,EMI: Exploration with Mutual Information
46,Yueh-Hua Wu,National Taiwan University / RIKEN,Male ,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Imitation Learning from Imperfect Demonstration
47,Youngjin Kim,NALBI Inc.,,Gunhee Kim,Seoul National University,Male,Curiosity-Bottleneck: Exploration By Distilling Task-Specific Novelty 
48,Axel Abels,Université Libre de Bruxelles,Male ,Denis Steckelmacher,Vrije Universiteit Brussel,Male,Dynamic Weights in Multi-Objective Deep Reinforcement Learning
49,Supratik Paul,University of Oxford,Male ,Shimon Whiteson,University of Oxford,Male,Fingerprint Policy Optimisation for Robust Reinforcement Learning
50,Behrooz Ghorbani,Stanford University,Male ,Ying Xiao,Google Inc,Male,An Investigation into Neural Net Optimization via Hessian Eigenvalue Density
51,Xingyu Xie,Peking Unversity,Male ,Zhouchen Lin,Peking University,Male,Differentiable Linearized ADMM
52,Youhei Akimoto,University of Tsukuba / RIKEN AIP,,Kouhei Nishida,Shinshu University,Male,Adaptive Stochastic Natural Gradient Method for One-Shot Neural Architecture Search
53,YongQiang Cai,National University of Singapore,,Zuowei Shen,National University of Singapore,Male,A Quantitative Analysis of the Effect of Batch Normalization on Gradient Descent
54,Daniel Park,Google Brain,Male ,Samuel Smith,DeepMind,Male,The Effect of Network Width on Stochastic Gradient Descent and Generalization: an Empirical Study
55,Rachel Ward,University of Texas,Female ,Leon Bottou,Facebook,Male,AdaGrad stepsizes: sharp convergence over nonconvex landscapes
56,Anna Choromanska,New York University,Female ,Djallel Bouneffouf,IBM Research,Male,Beyond Backprop: Online Alternating Minimization with Auxiliary Variables
57,Guandao Yang,Cornell University,Male,Christopher De Sa,Cornell,Male,SWALP : Stochastic Weight Averaging in Low Precision Training
58,Alex Beatson,Princeton University,,Ryan P Adams,Princeton University,Male,Efficient optimization of loops and limits with randomized telescoping sums
59,Eliav Buchnik,Google & Tel Aviv University,Male ,Yossi Matias,Google,Male,Self-similar Epochs: Value in arrangement
60,Aleksandar Bojchevski,Technical University of Munich,Male,Stephan Günnemann,Technical University of Munich,Male,Adversarial Attacks on Node Embeddings via Graph Poisoning
61,Carl-Johann Simon-Gabriel,Max-Planck-Institute for Intelligent Systems,Male,David Lopez-Paz,Facebook AI Research,Male,First-Order Adversarial Vulnerability of Neural Networks and Input Dimension
62,Chen Liu,EPFL,Male,Volkan Cevher,EPFL,Male,On Certifying Non-Uniform Bounds against Adversarial Attacks
63,Tianyu Pang,Tsinghua University,Male,Jun Zhu,Tsinghua University,Male,Improving Adversarial Robustness via Promoting Ensemble Diversity
64,Juncheng Li,Carnegie Mellon University,Male,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,Adversarial camera stickers: A physical camera-based attack on deep learning systems
65,Sebastien Bubeck,Microsoft Research,Male,Ilya Razenshteyn,Microsoft Research Redmond,Male,Adversarial examples from computational constraints
66,CHING-YUN KO,The University of Hong Kong,,Dahua Lin,The Chinese University of Hong Kong,Male,POPQORN: Quantifying Robustness of Recurrent Neural Networks
67,Dan Hendrycks,UC Berkeley,Male,Mantas Mazeika,University of Chicago,Male,Using Pre-Training Can Improve Model Robustness and Uncertainty
68,Elvis Dohmatob,Criteo AI Lab,Male,Elvis Dohmatob,Criteo AI Lab,Male,Generalized No Free Lunch Theorem for Adversarial Robustness
69,Lily Weng,MIT,Female,Luca Daniel,Massachusetts Institute of Technology,Male,PROVEN: Verifying Robustness of Neural Networks with a Probabilistic Approach
70,Han Zhao,Carnegie Mellon University,Male,Geoff Gordon,Carnegie Mellon University,Male,On Learning Invariant Representations for Domain Adaptation
71,Mor Shpigel Nacson,Technion,Female,Daniel Soudry,Technion,Male,Lexicographic and Depth-Sensitive Margins in Homogeneous and Non-Homogeneous Deep Models
72,Andres Marafioti,Austrian Academy of Sciences,Male,Piotr Majdak,Acoustics Research Institute,Male,Adversarial Generation of Time-Frequency Features with application in audio synthesis
73,Haggai Maron,Weizmann Institute of Science,Male,Yaron Lipman,Weizmann Institute of Science,Male,On the Universality of Invariant Networks
74,Sanjeev Arora, Princeton University and Institute for Advanced Study,Male,Ruosong Wang,Carnegie Mellon University,Male,Fine-Grained Analysis of Optimization and Generalization for Overparameterized Two-Layer Neural Networks
75,Taco Cohen,Qualcomm AI Research,Male,Max Welling,University of Amsterdam & Qualcomm,Male,Gauge Equivariant Convolutional Networks and the Icosahedral CNN
76,Yiying Li,National University of Defense Technology,,Timothy Hospedales,Samsung AI Centre / University of Edinburgh,Male,Feature-Critic Networks for Heterogeneous Domain Generalization
77,Nichita Diaconu,University of Amsterdam,Male,Daniel E Worrall,University of Amsterdam,Male,Learning to Convolve: A Generalized Weight-Tying Approach
78,Poorya Mianjy,Johns Hopkins University,Male,Raman Arora,Johns Hopkins University,Male,On Dropout and Nuclear Norm Regularization
79,Simon Du,Carnegie Mellon University,Male ,Xiyu Zhai,Massachusetts Institute of Technology,Male,Gradient Descent Finds Global Minima of Deep Neural Networks
80,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Female,Alireza Rezaei,University of Washington,Male,Composable Core-sets for Determinant Maximization: A Simple Near-Optimal Algorithm
81,Yifan Lei,National University of Singapore,,Anthony Tung,NUS,Male,Sublinear Time Nearest Neighbor Search over Generalized Weighted Space
82,Ryan Spring,Rice University,Male,Anshumali Shrivastava,Rice University,Male,Compressing Gradient Optimizers via Count-Sketches
83,Arturs Backurs,Toyota Technological Institute at Chicago (TTIC),Male,Tal Wagner,MIT,Male,Scalable Fair Clustering
84,Alp Yurtsever,EPFL,Male ,Volkan Cevher,EPFL,Male,Conditional Gradient Methods via Stochastic Path-Integrated Differential Estimator
85,Aurick Qiao,"Petuum, Inc. and Carnegie Mellon University",Male,Eric Xing,Petuum Inc. and CMU,Male, Fault Tolerance in Iterative-Convergent Machine Learning
86,Ashish Agarwal,Google Brain,Male,Ashish Agarwal,Google Brain,Male,Static Automatic Batching In TensorFlow
87,Ritchie Zhao,Cornell University,Male,Zhiru Zhang,Cornell Univeristy,Male,Improving Neural Network Quantization without Retraining using Outlier Channel Splitting
88,Albert Gural,Stanford University,Male,Boris Murmann,Stanford University,Male,Memory-Optimal Direct Convolutions for Maximizing Classification Accuracy in Embedded Applications
89,Marc Fischer,ETH Zurich,Male,Martin Vechev,ETH Zurich,Male,DL2: Training and Querying Neural Networks with Logic
90,Songtao Lu,University of Minnesota Twin Cities,Male,Zhengdao Wang,Iowa State University,Male,PA-GD: On the Convergence of Perturbed Alternating Gradient Descent to Second-Order Stationary Points for Structured Nonconvex Optimization
91,Kaiyi Ji,The Ohio State University,Male,Yingbin LIANG,The Ohio State University,Female,Improved Zeroth-Order Variance Reduced Algorithms and Analysis for Nonconvex Optimization
92,Feihu Huang,University of Pittsburgh,Male,Heng Huang,University of Pittsburgh,Male,Faster Stochastic Alternating Direction Method of Multipliers for Nonconvex Optimization
93,Dongruo Zhou,UCLA,Male,Quanquan Gu,"University of California, Los Angeles",Male,Lower Bounds for Smooth Nonconvex Finite-Sum Optimization
94,Samuel Horvath,KAUST,Male,Peter Richtarik,KAUST,Male,Nonconvex Variance Reduced Optimization with Arbitrary Sampling
95,Praneeth Karimireddy,EPFL,Male,Martin Jaggi,EPFL,Male,Error Feedback Fixes SignSGD and other Gradient Compression Schemes
96,Junyu Zhang,"University of Minnesota, Twin Cities",Male,Lin Xiao,Microsoft Research,Male,A Composite Randomized Incremental Gradient Method
97,Yatao Bian,ETH Zürich,Male,Andreas Krause,ETH Zurich,Male,Optimal Continuous DR-Submodular Maximization and Applications to Provable Mean Field Inference
98,Ioannis Panageas,SUTD,Male,xiao wang,Singapore university of technology and design,Male,Multiplicative Weights Updates as a distributed constrained optimization algorithm: Convergence to second-order stationary points almost always
99,Zaiyi Chen,Cainiao AI,,Tianbao Yang,The University of Iowa,Male,Katalyst: Boosting Convex Katayusha for  Non-Convex Problems with a  Large Condition Number
100,Romain Laroche,Microsoft Research,Male,Remi Tachet des Combes,Microsoft Research Montreal,Male,Safe Policy Improvement with Baseline Bootstrapping
101,Borislav Mavrin,University of Alberta,Male,Yaoliang Yu,University of Waterloo,Male,Distributional Reinforcement Learning for Efficient Exploration
102,Matteo Papini,Politecnico di Milano,Male,Marcello Restelli,Politecnico di Milano,Male,Optimistic Policy Optimization via Multiple Importance Sampling
103,zhengyao jiang,University of Liverpool,Male,Shan Luo,University of Liverpool,Male,Neural Logic Reinforcement Learning
104,Goran Radanovic,Harvard University,Male,Adish Singla,Max Planck Institute (MPI-SWS),Male,Learning to Collaborate in Markov Decision Processes
105,Ching-An Cheng,Georgia Tech,Male,Byron Boots,Georgia Tech,Male,Predictor-Corrector Policy Optimization
106,Kelvin Xu,"University of California, Berkeley",Male,Chelsea Finn,"Stanford, Google, UC Berkeley",Female,Learning a Prior over Intent via Meta-Inverse Reinforcement Learning
107,Carles Gelada,Google Brain,Male,Marc Bellemare,Google Brain,Male,DeepMDP: Learning Continuous Latent Space Models for Representation Learning
108,Josiah Hanna,UT Austin,Male,Peter Stone,University of Texas at Austin,Male,Importance Sampling Policy Evaluation with an Estimated Behavior Policy
109,alexis jacq,EPFL,Male,Olivier Pietquin,GOOGLE BRAIN,Male,Learning from a Learner
110,Joshua Romoff,McGill University,Male ,Emma Brunskill,Stanford University,Female,Separable value functions across time-scales
111,Yash Chandak,University of Massachusetts Amherst,Male,Philip Thomas,University of Massachusetts Amherst,Male,Learning Action Representations for Reinforcement Learning
112,Ben London,Amazon,Male,Ted Sandler,Amazon.com,Male,Bayesian Counterfactual Risk Minimization
113,Anna Harutyunyan,DeepMind,Female,Doina Precup,DeepMind,Female,Per-Decision Option Discounting
114,Andrea Zanette,Stanford University,Female,Emma Brunskill,Stanford University,Female,Tighter Problem-Dependent Regret Bounds in Reinforcement Learning without Domain Knowledge using Value Function Bounds
115,Matthieu Geist,Google,Male,Olivier Pietquin,GOOGLE BRAIN,Male,A Theory of Regularized Markov Decision Processes
116,Yuu Jinnai,Brown University,Male,George Konidaris,Brown,Male,Discovering Options for Exploration by Minimizing Cover Time
117,Christoph Dann,Carnegie Mellon University,Male,Emma Brunskill,Stanford University,Female,Policy Certificates: Towards Accountable Reinforcement Learning
118,Robert Dadashi,Google AI Residency Program,Male,Dale Schuurmans,Google / University of Alberta,Male,The Value Function Polytope in Reinforcement Learning
119,Amirata Ghorbani,Stanford,Male,James Zou,Stanford University,Male,Data Shapley:  Equitable Valuation of Data for Machine Learning
120,Sergul Aydore,Stevens Institute of Technology,Female,Gael Varoquaux,Inria,Male,Feature Grouping as a Stochastic Regularizer for High-Dimensional Structured Data
121,Sen Zhao,Google Research,Male,Maya Gupta,Google,Female,Metric-Optimized Example Weights
122,Max Westphal,University of Bremen,Male,Werner Brannath,University of Bremen,Male,Improving Model Selection by Employing the Test Data
123,Karthikeyan Ramamurthy,IBM Research,Male,Krishnan Mody,New York University,Male,Topological Data Analysis of Decision Boundaries with Application to Model Selection
124,Wen Sun,Carnegie Mellon University,Male,Paul Mineiro,Microsoft,Male,Contextual Memory Trees
125,Weiwei Liu,Wuhan University,Male,Xiaobo Shen,Nanjing University of Science and Technology,Male,Sparse Extreme Multi-label Learning with Oracle Property
126,Andrew Cotter,Google AI,Male,Tao Zhu,Google,Male,Shape Constraints for Set Functions
127,Guy Hacohen,Hebrew University of Jerusalem,Male,Daphna Weinshall,"Hebrew University of Jerusalem, Israel",Female,On The Power of Curriculum Learning in Training Deep Networks
128,Vladislav Polianskii,KTH Royal Institute of Technology,Male,Florian T. Pokorny,KTH Royal Institute of Technology,Male,Voronoi Boundary Classification: A High-Dimensional Geometric Approach via Weighted Monte Carlo Integration
129,Hongge Chen,MIT,,Cho-Jui Hsieh,UCLA,Male,Robust Decision Trees Against Adversarial Examples
130,Jacob Whitehill,Worcester Polytechnic Institute,Male,Anand Ramakrishnan,Worcester Polytechnic Institute,Male,Automatic Classifiers as Scientific Instruments: One Step Further Away from Ground-Truth
131,Tahrima Rahman,University of Texas at Dallas,Female,Vibhav Gogate,The University of Texas at Dallas,Male,"Look Ma, No Latent Variables: Accurate Cutset Networks via Compilation"
132,Titouan Vayer,IRISA,Male,Remi Flamary,Université côte d'Azur,Male,Optimal Transport for structured data with application on graphs
133,Matthew Streeter,Google,Male,Matthew Streeter,Google,Male,Learning Optimal Linear Regularizers
134,Nontawat Charoenphakdee,The University of Tokyo / RIKEN,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,On Symmetric Losses for Learning from Corrupted Labels
135,Ross Kleiman,University of Wisconsin-Madison,,University of Wisconsin David Page,"University of Wisconsin, Madison",Male,AUCµ: A Performance Metric for Multi-Class Machine Learning Models
136,Jan Malte Lichtenberg,University of Bath,,Ozgur Simsek,University of Bath,Female,Regularization in directable environments with application to Tetris
137,Chunjiang Zhu,University of Connecticut,Male,Jinbo Bi,University of Connecticut,Female,Improved Dynamic Graph Learning through Fault-Tolerant Sparsification
138,Xi-Zhu Wu,Nanjing University,Male,Zhi-Hua Zhou,Nanjing University,Male,Heterogeneous Model Reuse via Optimizing Multiparty Multiclass Margin
139,Yochai Blau,Technion,Male,Tomer Michaeli,Technion,Male,Rethinking Lossy Compression: The Rate-Distortion-Perception Tradeoff
140,Hanyu Peng,"Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences",,Junzhou Huang,University of Texas at Arlington / Tencent AI Lab,Male,Collaborative Channel Pruning for Deep Networks
141,Eldad Meller,Hailo,,Mark Grobman,Hailo Technologies,Male,"Same, Same But Different: Recovering Neural Network Quantization Error Through Weight Factorization"
142,Mohamed Elfeki,University of Central Florida,Male,Mohamed Elhoseiny,KAUST and Baidu SVAIL,Male,GDPP: Learning Diverse Generations using Determinantal Point Processes
143,Fei Zhang,Xidian University,Female,Guangming Shi,Xidian University,Male,Co-Representation Network for Generalized Zero-Shot Learning
144,Edward Smith,McGill University,Male,David Meger,McGill University,Male,GEOMetrics: Exploiting Geometric Structure for Graph-Encoded Objects
145,Mingxing Tan,Google Brain,Male,Quoc Le,Google Brain,Male,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks
146,Renata Khasanova,Ecole Polytechnique Federale de Lausanne (EPFL),Female,Pascal Frossard,EPFL,Male,Geometry Aware Convolutional Filters for Omnidirectional Images Representation
147,Pablo Barros Barros,University of Hamburg,Male,Stefan Wermter,University of Hamburg,Male,A Personalized Affective Memory Model for Improving Emotion Recognition
148,AJ Piergiovanni,Indiana University,Male,Michael Ryoo,Indiana University / Google Brain,Male,Temporal Gaussian Mixture Layer for Videos
149,Gabriele Farina,Carnegie Mellon University,Male,Tuomas Sandholm,Carnegie Mellon University,Male,Regret Circuits: Composability of Regret Minimizers
150,Arvind Raghunathan,Mitsubishi Electric Research Laboratories,Male,Devesh Jha,Mitsubishi Electric Research Labs,Male,Game Theoretic Optimization via Gradient-based Nikaido-Isoda Function
151,Gabriele Farina,Carnegie Mellon University,Male,Tuomas Sandholm,Carnegie Mellon University,Male,Stable-Predictive Optimistic Counterfactual Regret Minimization
152,Hanrui Zhang,Duke University,Male,Vincent Conitzer,Duke,Male,When Samples Are Strategically Selected
153,Anson Kahng,Carnegie Mellon University,Male,Christos-Alexandros Psomas,Carnegie Mellon University,Male,Statistical Foundations of Virtual Democracy
154,Paul Duetting,London School of Economics,Male,Sai Srivatsa Ravindranath,Harvard University,Male,Optimal Auctions through Deep Learning
155,Weiran Shen,Tsinghua University,Male,Renato Leme,Google Research,Male,Learning to Clear the Market
156,Thomas Nedelec,ENS Paris Saclay - Criteo AI Lab,Male,Vianney Perchet,ENS Paris Saclay & Criteo AI Lab,Male,Learning to bid in revenue-maximizing auctions
157,David Balduzzi,DeepMind,Male,Thore Graepel,DeepMind,Male,Open-ended learning in symmetric zero-sum games
158,Noam Brown,Facebook AI Research,Male,Tuomas Sandholm,Carnegie Mellon University,Male,Deep Counterfactual Regret Minimization
159,Carlo Lucibello,Bocconi University,Male,Yue Lu,"Harvard University, USA",Male,Generalized Approximate Survey Propagation for High-Dimensional Estimation
160,Zac Cranko,ANU,Male,Richard Nock,"Data61, The Australian National University and the University of Sydney",Male,Boosted Density Estimation Remastered
161,Valerii Likhosherstov,Skolkovo Institute of Science and Technology,Male,Misha Chertkov,University of Arizona ,Male,Inference and Sampling of $K_{33}$-free Ising Models
162,Malik TIOMOKO A,Université Paris Sud,,Guillaume GINOLHAC,Université Savoie Mont-Blanc,Male,Random Matrix Improved Covariance Estimation for a Large Class of Metrics
163,Pedro Soto,Florida International University,Male,Xiaodi Fan,Florida International University,Male,Dual Entangled Polynomial Code: Three-Dimensional Coding for Distributed Matrix Multiplication
164,Kristy Choi,Stanford University,Female,Stefano Ermon,Stanford University,Male,Neural Joint Source-Channel Coding
165,Yi Hao,"University of California, San Diego",Male,Alon Orlitsky,UCSD,Male,Doubly-Competitive Distribution Estimation
166,Manolis Tsakiris,Johns Hopkins University,Male,Liangzu Peng,ShanghaiTech University,Male,Homomorphic Sensing
167,Seyedehsara Nayer,Iowa State University,Female,Namrata Vaswani,Iowa State University,Female,Phaseless PCA: Low-Rank Matrix Recovery from Column-wise Phaseless Measurements
168,Weihao Gao,University of Illinois at Urbana-Champaign,Male,Sewoong Oh,University of Washington,Male,Rate Distortion For Model Compression:From Theory To Practice
169,Ardalan Mirshani,The Pennsylvania State University,Male,Aleksandra Slavković,Pennsylvania State University,Female,Formal Privacy for Functional Data with Gaussian Perturbations
170,Ryan McKenna,UMass Amherst,Male,Gerome Miklau,"University of Massachusetts, Amherst",Male,Graphical-model based estimation and inference for differential privacy
171,Alexandre Sablayrolles,Facebook AI Research,Male ,Herve Jegou,Facebook AI Research,Male,White-box vs Black-box: Bayes Optimal Strategies for Membership Inference
172,Touqir Sajed,University of Alberta,Male,Or Sheffet,University of Alberta,Male,An Optimal Private Stochastic-MAB Algorithm based on Optimal Private Stopping Rule
173,Jalaj Upadhyay,Johns Hopkins University,Male,Jalaj Upadhyay,Johns Hopkins University,Male,Sublinear Space Private Algorithms Under the Sliding Window Model
174,Aaron Schein,UMass Amherst,Male,Hanna Wallach,Microsoft Research,Female,Locally Private Bayesian Inference for Count Models
175,Alon Brutzkus,Tel Aviv University,,Oren Elisha,Microsoft,Male,Low Latency Privacy Preserving Inference
176,Jayadev Acharya,Cornell University,Male,Ziteng Sun,Cornell/Google,Male,Communication Complexity in Locally Private Distribution Estimation and Heavy Hitters
177,Yuqing Zhu,UC Santa Barbara,Female,Yu-Xiang Wang,UC Santa Barbara,Male,Poission Subsampled R\'enyi Differential Privacy
178,Jordan Awan,Pennsylvania State University,Male,Aleksandra Slavković,Pennsylvania State University,Female,Benefits and Pitfalls of the Exponential Mechanism with Applications to Hilbert Spaces and Functional PCA
179,Kirill Simonov,University of Bergen,Male ,Fahad Panolan,University of Bergen,Male,Refined Complexity of PCA with Outliers
180,Darren Lin,UC Berkeley,Male,Michael Jordan,UC Berkeley,Male,On Efficient Optimal Transport: An Analysis of Greedy and Accelerated Mirror Descent Algorithms
181,Stefano Sarao Mannelli,Institut de Physique Théorique,Male,Lenka Zdeborova,CNRS,Male,Passed & Spurious: Descent Algorithms and Local Minima in Spiked Matrix-Tensor Models
182,Sanjoy Dasgupta,UC San Diego,Male,Jerry Zhu,University of Wisconsin-Madison,Male,Teaching a black-box learner
183,Abhijin Adiga,University of Virginia,Male,Anil  Vullikanti,"Biocomplexity Institute and Dept of Computer Science, University of Virginia",Male,PAC Learnability of Node Functions in Networked Dynamical Systems
184,Niladri S Chatterji,UC Berkeley,Male,Peter Bartlett,UC Berkeley,Male,Online learning with kernel losses
185,George Chen,Carnegie Mellon University,Male,George Chen,Carnegie Mellon University,Male,Nearest Neighbor and Kernel Survival Analysis: Nonasymptotic Error Bounds and Strong Consistency Rates
186,Henry Reeve,University of Birmingham,Male,Ata Kaban,University of Birmingham,Female,Fast Rates for a kNN Classifier Robust to Unknown Asymmetric Label Noise
187,Jisu Kim,Inria Saclay,,Larry Wasserman,Carnegie Mellon University,Male,Uniform Convergence Rate of the Kernel Density Estimator Adaptive to Intrinsic Volume Dimension
188,Ramya Korlakai Vinayak,University of Washington,Female,Sham Kakade,University of Washington,Male,Maximum Likelihood Estimation for  Learning Populations of Parameters
189,Johann Won,Seoul National University,Male,Kenneth Lange,UCLA,Male,Projection onto Minkowski Sums with Application to Constrained Learning
190,Gábor Braun,Georgia Institute of Technology,,Stephen Wright,University of Wisconsin-Madison,Male,Blended Conditonal Gradients
191,Yanli Liu,UCLA math,Male,Wotao Yin,Alibaba US,Male,Acceleration of SVRG and Katyusha X by Inexact Preconditioning
192,Marten van Dijk,University of Connecticut,Male,Dzung Phan,IBM T.J. Watson Research Center,Male,Characterization of Convex Objective Functions and Optimal Expected Convergence Rates for SGD
193,Alp Yurtsever,EPFL,Male,Volkan Cevher,EPFL,Male,A Conditional-Gradient-Based Augmented Lagrangian Framework
194,Robert M. Gower,Telecom Paristech,Male,Peter Richtarik,KAUST,Male,SGD: General Analysis and Improved Rates
195,Vien Van Mai,KTH Royal Institute of Technology,Male,Mikael Johansson,KTH Royal Institute of Technology,Male,Curvature-Exploiting Acceleration of Elastic Net Computations
196,Anastasia Koloskova,EPFL,Female,Martin Jaggi,EPFL,Male,Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication
197,Eugene Ndiaye,RIKEN AIP,,Ichiro Takeuchi,Nagoya Institute of Technology / RIKEN,Male,Safe Grid Search with Optimal Complexity
198,Xun Qian,KAUST,Male,Peter Richtarik,KAUST,Male,SAGA with Arbitrary Sampling
