,first-author,first-author-affiliation,last-author,last-author-affiliation,title
14,Anqi Wu,Princeton University,Jonathan W Pillow,UT Austin,Sparse Bayesian structure learning with dependent relevance determination prior
15,Qiang Liu,UC Irvine,Alexander Ihler,UC Irvine,"Distributed Estimation, Information Loss and Exponential Families"
16,Shaobo Han,Duke University,Lawrence Carin,Duke University,Dynamic Rank Factor Model for Text Streams
17,Eunho Yang,IBM Research,Pradeep Ravikumar,Carnegie Mellon University,Elementary Estimators for Graphical Models
18,Jason D Lee,Stanford,Jonathan E Taylor,Stanford University,Exact Post Model Selection Inference for Marginal Screening
19,Aaron van den Oord,n/a,Benjamin Schrauwen,Ghent University,Factoring Variations in Natural Images with Deep Gaussian Mixture Models
20,Sebastian Stober,Western University,Jessica A Grahn,None,Using Convolutional Neural Networks to Recognize Rhythm ￼Stimuli from Electroencephalography Recordings
21,Nan Li,Alibaba Group,Zhi-Hua Zhou,Nanjing University,Top Rank Optimization in Linear Time
22,Robert Nishihara,Anyscale,Michael Jordan,UC Berkeley,On the Convergence Rate of Decomposable Submodular Function Minimization
23,Halid Z Yerebakan,IUPUI,Murat Dundar,IUPUI,The Infinite Mixture of Infinite Gaussian Mixtures
24,Prateek Jain,Microsoft Research,Puru Kar,Indian Institute of Technology Kanpur,On Iterative Hard Thresholding Methods for High-dimensional M-Estimation
25,Bo Dai,Google Brain,Le Song,Georgia Institute of Technology,Scalable Kernel Methods via Doubly Stochastic Gradients
26,Yuanjun Xiong,The Chinese University of Hong Kong,Xiaoou Tang,Chinese University of Hong Kong,Zeta Hull Pursuits: Learning Nonconvex Data Hulls
27,Rob A Vandermeulen,TU Kaiserslautern,Clay Scott,University of Michigan,Robust Kernel Density Estimation by Scaling and Projection in Hilbert Space
28,Changyou Chen,University at Buffalo,Xinhua Zhang,University of Illinois at Chicago (UIC),Robust Bayesian Max-Margin Clustering
29,Calvin McCarter,Carnegie Mellon University,Seyoung Kim,CMU,On Sparse Gaussian Chain Graph Models
30,Yuancheng Zhu,University of Chicago,John Lafferty,Yale University,Quantized Estimation of Gaussian Sequence Models in Euclidean Balls
31,Xianghang Liu,NICTA/UNSW,Justin Domke,NICTA,Projecting Markov Random Field Parameters for Fast Mixing
32,Yunpeng Pan,JD.com -- JD X Robotics Research Center,Evangelos Theodorou,Georgia Tech,Probabilistic Differential Dynamic Programming
33,Yingbo Zhou,State University of New York at Buffalo,Venu Govindaraju,SUNY Buffalo,Parallel Feature Selection Inspired by Group Testing
34,Roi Livni,Hebrew University,Ohad Shamir,Weizmann Institute of Science,On the Computational Efficiency of Training Neural Networks
35,Kumar Avinava Dubey,Google Research,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Dependent nonparametric trees for dynamic hierarchical clustering
36,Mehmet Gönen,Oregon Health & Science University,Adam A Margolin,Oregon Health & Science University,Localized Data Fusion for Kernel k-Means Clustering with Application to Cancer Biology
37,Yariv D Mizrahi,University of British Columbia,Nando de Freitas,University of Oxford,Distributed Parameter Estimation in Probabilistic Graphical Models
38,Guy Bresler,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,Structure learning of antiferromagnetic Ising models
39,Siu On Chan,Microsoft Research,Xiaorui Sun,Columbia University,Near-Optimal Density Estimation in Near-Linear Time Using Variable-Width Histograms
40,Karin C Knudson,UT Austin,Jonathan W Pillow,UT Austin,Inferring sparse representations of continuous signals with continuous orthogonal matching pursuit
41,Ian Osband,Stanford,Benjamin Van Roy,Stanford University,Model-based Reinforcement Learning and the Eluder Dimension
42,Abhishek Sharma,University of Maryland,Ming-Yu Liu,MERL,Recursive Context Propagation Network for Semantic Scene Labeling
43,Pedro Felzenszwalb,Brown University,John G Oberlin,Brown University,Multiscale Fields of Patterns
44,Yingzhen Yang,Snap Research,Thomas S Huang,UIUC,On a Theory of Nonparametric Pairwise Similarity for Clustering: Connecting Clustering to Classification
45,Andrew McDonald,University College London,Dimitris Stamos,University College London,Spectral k-Support Norm Regularization
46,Matthias Zöhrer,Graz University of Technology,Franz Pernkopf,"Signal Processing and Speech Communication Laboratory, Graz, Austria",General Stochastic Networks for Classification
47,Ananda Theertha Suresh,"University of California, San Diego",Ashkan Jafarpour,"University of California, San Diego",Near-Optimal-Sample Estimators for Spherical Gaussian Mixtures
48,Shariq A Mobin,UC Berkeley,Fritz Sommer,UC Berkeley,Information-based learning by agents in unbounded state spaces
49,Kenneth W Latimer,UT Austin,Jonathan W Pillow,UT Austin,Inferring synaptic conductances from spike trains with a biophysically inspired point process model
50,Nisheeth Srivastava,University of California San Diego,Paul R Schrater,University of Minnesota,Magnitude-sensitive preference formation`
51,Qian Wang,Tsinghua University,Zheng Zhang,Microsoft Reasearch,Attentional Neural Network: Feature Selection Using Cognitive Feedback
52,Daniel Berend,Ben Gurion University,Aryeh Kontorovich,Ben Gurion University,Consistency of weighted majority votes
53,David I Inouye,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs
54,Kihyuk Sohn,Google,Honglak Lee,U. Michigan,Improved Multimodal Deep Learning with Variation of Information
55,Evan W Archer,Sony AI,Jakob H Macke,University of Tübingen & MPI IS Tübingen,Low-dimensional models of neural population activity in sensory cortical circuits
56,Zhe Liu,University of Chicago,John Lafferty,Yale University,Blossom Tree Graphical Models
57,Aron Yu,University of Texas at Austin,Kristen Grauman,University of Texas at Austin,Predicting Useful Neighborhoods for Lazy Local Learning
58,Luca Pasa,Università degli Studi di Padova,Alessandro Sperduti,Università degli Studi di Padova,Pre-training of Recurrent Neural Networks via Linear Autoencoders
59,Mingyuan Zhou,University of Texas at Austin,Mingyuan Zhou,University of Texas at Austin,Beta-Negative Binomial Process and Exchangeable ￼Random Partitions for Mixed-Membership Modeling
60,Romain Paulus,MetaMind,Chris Manning,Stanford University,Global Belief Recursive Neural Networks
61,Trapit Bansal,University of Massachusetts Amherst,Ravindran Kannan,Indian Institute of Science,A provable SVD-based algorithm for learning topics in dominant admixture corpus
62,Krik Muandet,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Kernel Mean Estimation via Spectral Filtering
63,Tapani Raiko,Apple Inc.,Yoshua Bengio,University of Montreal,Iterative Neural Autoregressive Distribution Estimator NADE-k
64,Jun Zhu,"University of California, Los Angeles",Alan L Yuille,UCLA,Learning From Weakly Supervised Data by The Expectation Loss SVM (e-SVM) algorithm
65,Been Kim,Google Brain,Julie A Shah,MIT,The Bayesian Case Model: A Generative Approach for Case-Based Reasoning and Prototype Classification
66,Takayuki Osogami,IBM Research - Tokyo,Makoto Otsuka,IBM Research - Tokyo,Restricted Boltzmann machines modeling human choice
67,Daniele Calandriello,LCSL IIT/MIT,Marcello Restelli,Politecnico di Milano,Sparse Multi-Task Reinforcement Learning
68,Scott Linderman,Columbia University,Ryan Adams,Princeton University,A framework for studying synaptic plasticity with neural spike train data
69,Wouter M Koolen,Centrum Wiskunde & Informatica,Peter Bartlett,UC Berkeley,Efficient Minimax Strategies for Square Loss Games
70,Xianjie Chen,Facebook,Alan L Yuille,UCLA,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations
71,Aaron Defazio,Ambiata,Simon Lacoste-Julien,Université de Montréal,SAGA: A Fast Incremental Gradient Method With Support for Non-Strongly Convex Composite Objectives
72,Jie Wang,Arizona State University,Jieping Ye,Arizona State University,A Safe Screening Rule for Sparse Logistic Regression
73,Fajwel Fogel,École Polytechnique,Milan Vojnovic,Microsoft Research,SerialRank: Spectral Ranking using Seriation
74,Huahua Wang,"University of Minnesota, Twin Cites",Zhi-Quan Luo,"University of Minnesota, Twin Cites",Parallel Direction Method of Multipliers
75,Sewoong Oh,UIUC,Devavrat Shah,Massachusetts Institute of Technology,Learning Mixed Multinomial Logit Model from Ordinal Data
76,Arun Rajkumar,Indian Institute of Technology Madras,Shivani Agarwal,University of Pennsylvania,Online Decision-Making in General Combinatorial Spaces
77,Yanping Huang,University of Washington,Rajesh PN Rao,University of Washington,Neurons as Monte Carlo Samplers: Bayesian ￼Inference and Learning in Spiking Networks
78,Guillaume Hennequin,University of Cambridge,Mate Lengyel,University of Cambridge,Fast Sampling-Based Inference in Balanced Neuronal Networks
79,Harsh H Pareek,UT Austin,Pradeep Ravikumar,Carnegie Mellon University,A Representation Theory for Ranking Functions
80,Roy Frostig,Google Research,Christopher D Manning,Stanford University,Simple MAP Inference via Low-Rank Relaxations
81,Jason Chang,Google,John Fisher III,MIT,Parallel Sampling of HDPs using Sub-Cluster Splits
82,Wouter M Koolen,Centrum Wiskunde & Informatica,Peter Grünwald,CWI and Leiden University,Learning the Learning Rate for Prediction with Expert Advice
83,Qichao Que,The Ohio State University,Yusu Wang,Ohio State University,Learning with Fredholm Kernels
84,Sung Ju Hwang,Disney Research,Leonid Sigal,University of British Columbia,A Unified Semantic Embedding: Relating Taxonomies and Attributes
85,Viet-An Nguyen,Facebook,Jonathan Chang,Facebook,Learning a Concept Hierarchy from Multi-labeled Documents
86,Yinlam Chow,Google,Mohammad Ghavamzadeh,Facebook AI Research,Algorithms for CVaR Optimization in MDPs
87,Haim Avron,Tel Aviv University,David Woodruff,IBM Research,Subspace Embeddings for the Polynomial Kernel
88,Lionel Ott,University of Sydney,Sanjay Chawla,QCRI,On Integrated Clustering and Outlier Detection
89,Balaji Lakshminarayanan,Google Brain,Yee Whye Teh,"University of Oxford, DeepMind",Mondrian Forests: Efficient Online Random Forests
90,John J Bruer,Caltech,Stephen Becker,University of Colorado,Time--Data Tradeoffs by Aggressive Smoothing
91,Zhaoran Wang,Princeton University,Han Liu,Tencent AI Lab,Tighten after Relax: Minimax-Optimal Sparse PCA in Polynomial Time
92,Ramya Korlakai Vinayak,University of Washington,Babak Hassibi,Caltech,Graph Clustering With Missing Data: Convex Algorithms and Analysis
93,Sarath Chandar Anbil Parthipan,"Mila, Polytechnique Montreal",Amrita Saha,IBM India Research Lab,An Autoencoder Approach to Learning Bilingual Word Representations
94,Rupam Mahmood,University of Alberta,Rich Sutton,"DeepMind, U Alberta",Weighted importance sampling for off-policy learning with linear function approximation
95,Hyun Oh Song,Seoul National University,Trevor Darrell,UC Berkeley,Weakly-supervised Discovery of Visual Pattern Configurations
96,Jingwei Liang,"Normandie University, ENSICAEN, CNRS",Gabriel Peyré,Université Paris Dauphine,Local Linear Convergence of Forward--Backward under Partial Smoothness
97,Dohyung Park,UT Austin,Sujay Sanghavi,UT-Austin,Greedy Subspace Clustering
98,Daniel Soudry,Technion,Ron Meir,Technion,Expectation Backpropagation: Parameter-Free Training of Multilayer Neural Networks with Continuous or Discrete Weights
99,Stefan Wager,Stanford University,Amir Najmi,Google,Feedback Detection for Live Predictors
100,Ohad Shamir,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Fundamental Limits of Online and Distributed Algorithms for Statistical Learning and Estimation
101,Yue Wu,Cambridge,Zoubin Ghahramani,Uber and University of Cambridge,Gaussian Process Volatility Model
102,Puru Kar,Indian Institute of Technology Kanpur,Prateek Jain,Microsoft Research,Online and Stochastic Gradient Methods for Non-decomposable Loss Functions
103,Katerina Fragkiadaki,"University of California, Berkeley",Jitendra Malik,UC Berkeley,Grouping-Based Low-Rank Trajectory Completion and 3D Reconstruction
104,Sanjoy Dasgupta,UC San Diego,Samory Kpotufe,Princeton University,Optimal rates for k-NN density and mode estimation
105,Jean Lafond,Télécom ParisTech,Joseph Salmon,Télécom ParisTech,Probabilistic low-rank matrix completion on finite alphabets
106,Cristina Savin,University of Cambridge,Sophie Denève,"GNT, Ecole Normale Superieure",Spatio-temporal Representations of Uncertainty in Spiking Neural Networks
107,Nan Du,Georgia Tech,Le Song,Georgia Institute of Technology,Learning Time-Varying Coverage Functions
108,Rakesh Shivanna,Google Inc.,Chiranjib Bhattacharyya,Indian Institute of Science,Learning on graphs using Orthonormal Representation is Statistically Consistent
109,Remi Lemonnier,"CMLA - ENS Cachan / 1000mercis, Paris",Nicolas Vayatis,Ecole Normale Supérieure de Cachan,Tight Bounds for Influence in Diffusion Networks and Application to Bond Percolation and Epidemiology
110,Daniel Hernández-lobato,Universidad Autonoma de Madrid,Novi Quadrianto,University of Sussex and HSE,Mind the Nuisance: Gaussian Process Classification using Privileged Noise
111,Rémi Lajugie,Inria/ENS,Sylvain Arlot,University Paris-Saclay and Inria,Metric Learning for Temporal Sequence Alignment
112,Mario Marchand,Université Laval,John Shawe-Taylor,UCL,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks
113,William R Vega-Brown,Massachusetts Institute of Technology,Nicholas Roy,Massachusetts Institute of Technology,Nonparametric Bayesian inference on multivariate exponential families
114,Guido F Montufar,UCLA,Yoshua Bengio,University of Montreal,On the Number of Linear Regions of Deep Neural Networks
115,Jie Shen,Stevens Institute of Technology,Ping Li,Baidu Research USA,Online Optimization for Max-Norm Regularization
116,Agnieszka Grabska-Barwinska,Google DeepMind,Jonathan W Pillow,UT Austin,Optimal prior-dependent neural population codes under shared input noise
117,Alex K Susemihl,Berlin Institute of Technology,Manfred Opper,TU Berlin,Optimal Neural Codes for Control and Estimation
118,Ian Goodfellow,Google,Yoshua Bengio,University of Montreal,Generative Adversarial Nets
119,Guangcan Liu,NUIST,Ping Li,Baidu Research USA,Recovery of Coherent Data via Low-Rank Dictionary Pursuit
120,Danfeng Qin,"Computer Vision Lab, ETH Zurich",Luc V Gool,"Computer Vision Lab, ETH Zurich",Quantized Kernel Learning for Feature Matching
121,Kai Zhong,Amazon,Pradeep Ravikumar,Carnegie Mellon University,Proximal Quasi-Newton for Computationally Intensive L1-regularized M-estimators
122,Hyokun Yun,Amazon,S. Vishwanathan,Purdue University,Ranking via Robust Binary Classification
123,M. Pawan Kumar,Ecole Centrale Paris,M. Pawan Kumar,Ecole Centrale Paris,Rounding-based Moves for Metric Labeling
124,Quanquan Gu,University of Virginia,Jiawei Han,University of Illinois at Urbana-Champaign,Robust Tensor Decomposition with Gross Corruption
125,Alekh Agarwal,Microsoft Research,Matus J Telgarsky,University of Michigan,Scalable Non-linear Learning with Adaptive Polynomial Expansions
126,Mehrdad Farajtabar,Georgia Tech,Le Song,Georgia Institute of Technology,Shaping Social Activity by Incentivizing Users
127,Kamalika Chaudhuri,UCSD,Shuang Song,UC San Diego,The Large Margin Mechanism for Differentially Private Maximization
128,Emile Richard,Amazon,Jean-Philippe Vert,Google,Tight convex relaxations for sparse matrix factorization
129,David Carlson,Duke University,Lawrence Carin,Duke University,On the relations of LFPs & Neural Spike Trains
130,Joon Hee Choi,Purdue University,S. Vishwanathan,Purdue University,DFacTo: Distributed Factorization of Tensors
131,Omar Besbes,Columbia University,Assaf Zeevi,Columbia University,Stochastic Multi-Armed-Bandit Problem with Non-stationary Rewards
132,Alexandra Carpentier,StatsLab Cambridge,Michal Valko,DeepMind Paris and Inria Lille - Nord Europe,Extreme bandits
133,Deanna Needell,Claremont McKenna College,Nati Srebro,TTI-Chicago,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm"
134,Balázs Szörényi,The Technion / University of Szeged,Remi Munos,Google DeepMind,Optimistic Planning in Markov Decision Processes Using a Generative Model
135,José Miguel Hernández-Lobato,University of Cambridge,Zoubin Ghahramani,Uber and University of Cambridge,Predictive Entropy Search for Efficient Global Optimization of Black-box Functions
136,Qing Qu,Columbia University,John Wright,Columbia University,Finding a sparse vector in a subspace: Linear sparsity using alternating directions
137,Judy Hoffman,UC Berkeley,Kate Saenko,UMass Lowell,LSDA: Large Scale Detection through Adaptation
138,Moritz Hardt,UC Berkeley,Eric Price,The University of Texas at Austin,The Noisy Power Method: A Meta Algorithm with Applications
139,Weijie Su,Stanford University,Emmanuel Candes,Stanford University,A Differential Equation for Modeling Nesterov’s Accelerated Gradient Method: Theory and Insights
140,Jianbo Yang,Duke University,Lawrence Carin,Duke University,Compressive Sensing of Signals from a GMM with Sparse Precision Matrices
141,Lars Buesing,Columbia University,Liam Paninski,Columbia University,Clustered factor analysis of multineuronal spike data
142,Julien Mairal,Inria,Cordelia Schmid,Inria / Google,Convolutional Kernel Networks
143,Kim Stachenfeld,DeepMind,Samuel J Gershman,Harvard University,Design Principles of the Hippocampal Cognitive Map
144,Andrew Wilson,University of Cambridge,Arye Nehorai,Washington University in St. Louis,Fast Kernel Learning for Multidimensional Pattern Extrapolation
145,Wei Liu,Tencent AI Lab,Shih-Fu Chang,Columbia University,Discrete Graph Hashing
146,Jon L Long,UC Berkeley,Trevor Darrell,UC Berkeley,Do Convnets Learn Correspondence?
147,Hasta P Vanchinathan,1plusX,Andreas Krause,ETH Zurich,Efficient Partial Monitoring with Prior Information
148,Jie Wang,Arizona State University,Jieping Ye,Arizona State University,Two-Layer Feature Reduction for Sparse-Group Lasso via Decomposition of Convex Sets
149,Karen Simonyan,Google DeepMind,Andrew Zisserman,DeepMind & University of Oxford,Two-Stream Convolutional Networks for Action Recognition in Videos
150,Adarsh Prasad,UT Austin,Dhruv Batra,Georgia Tech / Facebook AI Research (FAIR),Submodular meets Structured: Finding Diverse Subsets in Exponentially-Large Structured Item Sets
151,Weizhu Chen,Microsoft Dynamics 365 AI,Jingren Zhou,Microsoft,Large-scale L-BFGS using MapReduce
152,Robert Gens,University of Washington,Pedro Domingos,University of Washington,Deep Symmetry Networks
153,Vivek Srikumar,University of Utah,Christopher D Manning,Stanford University,Learning Distributed Representations for Structured Output Prediction
154,Wojciech Zaremba,OpenAI,Rob Fergus,DeepMind / NYU,Learning to Discover Efficient Mathematical Identities
155,Elad Hazan,Technion,Kfir Y. Levy,Technion,Bandit Convex Optimization: Towards Tight Bounds
156,Srikanth Jagabathula,NYU,Ashwin Venkataraman,New York University,Reputation-based Worker Filtering in Crowdsourcing
157,Woonhyun Nam,StradVision,Joon Hee Han,POSTECH,Local Decorrelation For Improved Pedestrian Detection
158,Sina Tootoonian,University of Cambridge,Mate Lengyel,University of Cambridge,A Dual Algorithm for Olfactory Computation in the Locust Brain
159,Mateusz Malinowski,DeepMind,Mario Fritz,CISPA Helmholtz Center i.G.,A Multi-World Approach to Question Answering about Real-World Scenes based on Uncertain Input
160,Charles Kervrann,Inria,Charles Kervrann,Inria,PEWA: Patch-based Exponentially Weighted Aggregation for image denoising
161,Renato Negrinho,Carnegie Mellon University,Andre Martins,CMU,Orbit Regularization
162,Anshumali Shrivastava,Rice University,Ping Li,Baidu Research USA,Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS)
163,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Scott Yang,D. E. Shaw & Co.,Conditional Swap Regret and Conditional Correlated Equilibrium
164,Yu Xin,Massachusetts Institute of Technology,Tommi Jaakkola,MIT,Controlling privacy in recommender systems
165,Daniel Bartz,TU Berlin,Klaus-Robert Müller,TU Berlin,Covariance shrinkage for autocorrelated data
166,Yash Deshpande,Massachusetts Institute of Technology,Andrea Montanari,Stanford,Sparse PCA via Covariance Thresholding
167,Waleed Ammar,CMU,Noah A Smith,Carnegie Mellon University,Conditional Random Field Autoencoders for Unsupervised Structured Prediction
168,Bolei Zhou,Massachusetts Institute of Technology,Aude Oliva,MIT,Learning Deep Features for Scene Recognition using Places Database
169,Matthew Lawlor,Yale University,Steven W Zucker,Yale University,Feedforward Learning of Mixture Models
170,Peter Sadowski,University of Hawai‘i,Pierre Baldi,UC Irvine,Searching for Higgs Boson Decay Modes with Deep Learning
171,Ferran Diego Andilla,Telefonica R&D,Fred Hamprecht,Heidelberg University,Sparse Space-Time Deconvolution for Calcium Image Analysis
172,Shubhendu Trivedi,Toyota Technological Institute at Chicago,Greg Shakhnarovich,TTI-Chicago,Discriminative Metric Learning by Neighborhood Gerrymandering
173,Gergely Neu,Universitat Pompeu Fabra,Michal Valko,DeepMind Paris and Inria Lille - Nord Europe,Online combinatorial optimization with stochastic decision sets and adversarial losses
174,Cem Tekin,UCLA,Mihaela van der Schaar,"University of California, Los Angeles","Discovering, Learning and Exploiting Relevance"
175,Bruno Conejo,Ecole des Ponts ParisTech,Jean Philippe Avouac,Caltech,Inference by Learning: Speeding-up Graphical Model Optimization via a Coarse-to-Fine Cascade of Pruning Classifiers
176,Allie Fletcher,UCLA,Sundeep Rangan,NYU,Scalable Inference for Neuronal Connectivity from Calcium Imaging
177,Austin Benson,Cornell University,David F Gleich,Purdue University,Scalable Methods for Nonnegative Matrix Factorizations of Near-separable Tall-and-skinny Matrices
178,Diederik Kingma,Google,Max Welling,University of Amsterdam / Qualcomm AI Research,Semi-supervised Learning with Deep Generative Models
179,Xiangyu Wang,Google Inc.,David B Dunson,Duke University,Median Selection Subset Aggregation for Parallel Inference
180,Deeparnab Chakrabarty,Microsoft,Pravesh Kothari,UT Austin,Provable Submodular Minimization using Wolfe's Algorithm
181,Dylan Festa,University of Cambridge,Mate Lengyel,University of Cambridge,Analog Memories in a Balanced Rate-Based Network of E-I Neurons
182,Roger Frigola,University of Cambridge,Carl Edward Rasmussen,University of Cambridge,Variational Gaussian Process State-Space Models
183,Charlie Tang,Apple Inc.,Russ Salakhutdinov,Carnegie Mellon University,Learning Generative Models with Visual Attention
184,Ilya Sutskever,Google,Quoc V Le,Google,Sequence to Sequence Learning with Neural Networks
185,Patrick Putzky,Max Planck Institute for Biological Cybernetics,Jakob H Macke,University of Tübingen & MPI IS Tübingen,A Bayesian model for identifying hierarchically organised states in neural population activity
186,Guy Bresler,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,A Latent Source Model for Online Collaborative Filtering
187,Boqing Gong,University of Southern California (USC),Fei Sha,University of Southern California (USC),Diverse Sequential Subset Selection for Supervised Video Summarization
188,Jamie Kiros,Google Brain,Russ Salakhutdinov,Carnegie Mellon University,A Multiplicative Model for Learning Distributed Text-Based Attribute Representations
189,Yuanyuan Mi,Weizmann Institute of Science,Si Wu,Beijing Normal University,A Synaptical Story of Persistent Activity with Graded Lifetime in a Neural System
190,Shiau-Hong Lim,National University of Singapore,Huan Xu,National University of Singapore,Clustering from Labels and Time-Varying Graphs
191,Qihang Lin,University of Iowa,Lin Xiao,Facebook AI Research,An Accelerated Proximal Coordinate Gradient Method
192,Trung V Nguyen,ANU; NICTA,Edwin Bonilla,CSIRO's Data61,Automated Variational Inference for Gaussian Process Models
193,Sebastian Tschiatschek,Graz University of Technology,Jeff A Bilmes,"University of Washington, Seattle",Learning Mixtures of Submodular Functions for Image Collection Summarization
194,Prem Gopalan,The Voleon Group,David Blei,Columbia University,Content-based recommendations with Poisson factorization
195,Xiaoxiao Guo,"University of Michigan, Ann Arbor",Xiaoshi Wang,University of Michigan,Deep Learning for Real-Time Atari Game Play Using Offline Monte-Carlo Tree Search Planning
196,Cong Xie,Shanghai Jiao Tong University,Zhihua Zhang,Shanghai Jiao Tong University,Distributed Power-law Graph Computing: Theoretical and Empirical Analysis
197,Bruce Hajek,None,Jiaming Xu,University of Illinois at Urbana Champaign,Minimax-optimal Inference from Partial Rankings
198,Yi Sun,The Chinese University of Hong Kong,Xiaoou Tang,Chinese University of Hong Kong,Deep Learning Face Representation by Joint Identification-Verification
199,Pritish Mohapatra,"International Institute of Information Technology, Hyderabad",M. Pawan Kumar,Ecole Centrale Paris,Efficient Optimization for Average Precision SVM
200,Peter Kairouz,Google,Pramod Viswanath,UIUC,Extremal Mechanisms for Local Differential Privacy
201,João Henriques,University of Oxford,Jorge Batista,University of Coimbra,Fast Training of Pose Detectors in the Fourier Domain
202,Harikrishna Narasimhan,Google AI,Shivani Agarwal,University of Pennsylvania,On the Statistical Consistency of Plug-in Classifiers for Non-decomposable Performance Measures
203,Happy Mittal,IIT Delhi,Parag Singla,Indian Institute of Technology Delhi,New Rules for Domain Independent Lifted MAP Inference
204,Odalric-Ambrym Maillard,INRIA,Shie Mannor,Technion,"""How hard is my MDP?"" The distribution-norm to the rescue"
205,Maria-Florina F Balcan,Georgia Tech,Le Song,Georgia Institute of Technology,Active Learning and Best-Response Dynamics
206,Sivan Sabato,Ben Gurion University,Remi Munos,Google DeepMind,Active Regression by Stratification
207,Yuanyuan Liu,The Chinese University of Hong Kong,Hong Cheng,The Chinese University of Hong Kong,Generalized Higher-Order Orthogonal Iteration for Tensor Decomposition and Completion
208,Stefan Wager,Stanford University,Percy Liang,Stanford University,Altitude Training: Strong Bounds for Single-Layer Dropout
209,Giorgio Patrini,Australian National University / NICTA,Paul Rivera,None,(Almost) No Label No Cry
210,Lee-Ad Gottlieb,Ariel University,Pinhas Nisnevitch,Ariel University,Near-optimal sample compression for nearest neighbors
211,Tor Lattimore,DeepMind,Remi Munos,Google DeepMind,Bounded Regret for Finite-Armed Structured Bandits
212,Omer Levy,Facebook AI Research,Yoav Goldberg,Bar-Ilan University,Neural Word Embedding as Implicit Matrix Factorization
213,Michalis Titsias,DeepMind,Christopher Yau,University of Oxford,Hamming Ball Auxiliary Sampling for Factorial Hidden Markov Models
214,Somdeb Sarkhel,University of Texas at Dallas,Vibhav Gogate,UT Dallas,An Integer Polynomial Programming Based Framework for Lifted MAP Inference
215,Kevin Moon,Utah State University,Alfred Hero,University of Michigan,Multivariate f-divergence Estimation With Confidence
216,Brian McWilliams,ETH Zurich,Joachim M Buhmann,ETH Zurich,Fast and Robust Least Squares Estimation in Corrupted Linear Models
217,Daniel M Steinberg,Data61,Edwin Bonilla,CSIRO's Data61,Extended and Unscented Gaussian Processes
218,Pranjal Awasthi,Princeton,Aravindan Vijayaraghavan,Carnegie Mellon University,Learning Mixtures of Ranking Models
219,Rashish Tandon,The University of Texas at Austin,Alex Dimakis,"University of Texas, Austin",On the Information Theoretic Limits of Learning Ising Models
220,Khaled Refaat,Waymo,Adnan Darwiche,UCLA,Decomposing Parameter Estimation Problems
