,first-author,first-author-affiliation,last-author,last-author-affiliation,title
127,Sara Hooker,Google Brain,Been Kim,Google,A Benchmark for Interpretability Methods in Deep Neural Networks
128,Wieland Brendel,"AG Bethge, University of Tübingen",Matthias Bethge,University of Tübingen,"Accurate, reliable and fast robustness evaluation"
129,Ke Li,UC Berkeley,Jitendra Malik,University of California at Berkley,Approximate Feature Collisions in Neural Nets
130,Matthew Sotoudeh,"University of California, Davis",Aditya V Thakur,"University of California, Davis",Computing Linear Restrictions of Neural Networks
131,Patrick Schwab,ETH Zurich / Roche,Walter Karlen,ETH Zurich,CXPlain: Causal Explanations for Model Interpretation under Uncertainty
132,Pei Wang,UC San Diego,Nuno Nvasconcelos,UC San Diego,Deliberative Explanations: visualizing network insecurities
133,Ann-Kathrin Dombrowski,TU Berlin,Pan Kessel,TU Berlin,Explanations can be manipulated and geometry is to blame
134,Lukas Hoyer,Bosch Center for Artificial Intelligence,Volker Fischer,"Robert Bosch GmbH, Bosch Center for Artificial Intelligence",Grid Saliency for Context Explanations of Semantic Segmentation
135,Alessio Ansuini,International School for Advanced Studies (SISSA),Davide Zoccolan,"Visual Neuroscience Lab, International School for Advanced Studies (SISSA)",Intrinsic dimension of data representations in deep neural networks
136,Ari Morcos,Facebook AI Research,Yuandong Tian,Facebook AI Research,One ticket to win them all: generalizing lottery ticket initializations across datasets and optimizers
137,Emily Reif,Google,Been Kim,Google,Visualizing and Measuring the Geometry of BERT
138,Scott Gigante,Yale University,Gal Mishne,UC San Diego,Visualizing the PHATE of Neural Networks
139,Nathaniel Lahn,Virginia Tech,Sharath Raghvendra,Virginia Tech,A Graph Theoretic Additive Approximation of Optimal Transport
140,Maxime Gasse,Polytechnique Montréal,Andrea Lodi,École Polytechnique Montréal,Exact Combinatorial Optimization with Graph Convolutional Neural Networks
141,Xinyun Chen,UC Berkeley,Yuandong Tian,Facebook AI Research,Learning to Perform Local Rewriting for Combinatorial Optimization
142,Claudia Shi,Columbia University,Victor Veitch,Columbia University,Adapting Neural Networks for the Estimation of Treatment Effects
143,Dominik Janzing,Amazon,Dominik Janzing,Amazon,Causal Regularization
144,Murat Kocaoglu,"MIT-IBM Watson AI Lab IBM Research, MA",Elias Bareinboim,Columbia University,Characterization and Learning of Causal Graphs with Latent Variables from Soft Interventions
145,Kolyan Ray,King's College London,Botond Szabo,Leiden University,Debiased Bayesian inference for average treatment effects
146,Andrew Bennett,Cornell University,Tobias Schnabel,Microsoft Research,Deep Generalized Method of Moments for Instrumental Variable Analysis
147,Daniel Kumor,Purdue University,Elias Bareinboim,Columbia University,Efficient Identification in Linear Structural Causal Models with Instrumental Cutsets
148,Vasilis Syrgkanis,Microsoft Research,Greg Lewis,Microsoft Research,Machine Learning Estimation of Heterogeneous Treatment Effects with Instruments
149,Amin Jaber,Purdue University,Elias Bareinboim,Columbia University,Identification of Conditional Causal Effects under Markov Equivalence
150,Shangtong Zhang,University of Oxford,Shimon Whiteson,University of Oxford, Generalized Off-Policy Actor-Critic
151,Sebastian Tschiatschek,Microsoft Research,Adish Singla,MPI-SWS,Learner-aware Teaching: Inverse Reinforcement Learning with Preferences and Constraints
152,Naman Agarwal,Google,Karan Singh,Princeton University,Logarithmic Regret for Online Control
153,Xingyu Lin,Carnegie Mellon University,David Held,CMU,Adaptive Auxiliary Task Weighting for Reinforcement Learning
154,Andrea Zanette,Stanford University,Emma Brunskill,Stanford University,Limiting Extrapolation in Linear Approximate Value Iteration
155,Alberto Maria Metelli,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Propagating Uncertainty in Reinforcement Learning via Wasserstein Barycenters
156,Yu Bai,Salesforce Research,Yu-Xiang Wang,UC Santa Barbara,Provably Efficient Q-Learning with Low Switching Cost
157,David Janz,University of Cambridge,Sebastian Tschiatschek,Microsoft Research,Successor Uncertainties: Exploration and Uncertainty in Temporal Difference Learning
158,Yingdong Lu,IBM Research,Chai Wah Wu,IBM,A Family of Robust Stochastic Operators for Reinforcement Learning
159,Felix Leibfried,PROWLER.io,Jordi Grau-Moya,PROWLER.io,A Unified Bellman Optimality Principle Combining Reward Maximization and Empowerment
160,Shaofeng Zou,"University at Buffalo, the State University of New York",Yingbin Liang,The Ohio State University,Finite-Sample Analysis for SARSA with Linear Function Approximation
161,Falcon Dai,TTI-Chicago,Matthew Walter,TTI-Chicago,Maximum Expected Hitting Cost of a Markov Decision Process and Informativeness of Rewards
162,Max Simchowitz,Berkeley,Kevin Jamieson,U Washington,Non-Asymptotic Gap-Dependent Regret Bounds for Tabular MDPs
163,Wang Chi Cheung,"Department of Industrial Systems Engineering and Management, National University of Singapore",Wang Chi Cheung,"Department of Industrial Systems Engineering and Management, National University of Singapore",Regret Minimization for Reinforcement Learning with Vectorial Feedback and Complex Objectives
164,Hao(Jackson) Cui,Google,Roni Khardon,"Indiana University, Bloomington",Sampling Networks and Aggregate Simulation for Online POMDP Planning
165,Tengyu Xu,The Ohio State University,Yingbin Liang,The Ohio State University,Two Time-scale Off-Policy TD Learning: Non-asymptotic Analysis over Markovian Samples
166,Amir-massoud Farahmand,Vector Institute and University of Toronto,Amir-massoud Farahmand,Vector Institute and University of Toronto,Value Function in Frequency Domain and the Characteristic Value Iteration Algorithm
167,Himanshu Sahni,Georgia Institute of Technology,Ilya Kuzovkin,OffWorld,Addressing Sample Complexity in Visual Tasks Using HER and Hallucinatory GANs
168,Peter Anderson,Georgia Tech,Stefan Lee,Oregon State University,Chasing Ghosts: Instruction Following as Bayesian State Tracking
169,Boaz Barak,Harvard University,Yueqi Sheng,Harvard University ,(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs
170,Eduard Eiben,"Royal Holloway, University of London",Stefan Szeider,Vienna University of Technology,The Parameterized Complexity of Cascading Portfolio Scheduling
171,Jinjin Tian,Carnegie Mellon University,Aaditya Ramdas,Carnegie Mellon University,ADDIS: an adaptive discarding algorithm for online FDR control with conservative nulls
172,Ryan Tibshirani,Carnegie Mellon University,Aaditya Ramdas,CMU,Conformal Prediction Under Covariate Shift
173,Ryoma Sato,Kyoto University,Hisashi Kashima,Kyoto University/RIKEN Center for AIP,Approximation Ratios of Graph Neural Networks for Combinatorial Problems
174,Boris Hanin,Texas A&M,David Rolnick,UPenn,Deep ReLU Networks Have Surprisingly Few Activation Patterns
175,Minshuo Chen,Georgia Tech,Tuo Zhao,Georgia Tech,Efficient Approximation of Deep ReLU Networks for Functions on Low Dimensional Manifolds
176,Shirin Jalali,Nokia Bell Labs,Iraj Saniee,Nokia Bell Labs,Efficient Deep Approximation of GMMs
177,Nicolas Keriven,Ecole Normale Supérieure,Gabriel Peyré,CNRS and ENS,Universal Invariant and Equivariant Graph Neural Networks
178,Fengxiang He,The University of Sydney,Dacheng Tao,University of Sydney,Control Batch Size and Learning Rate to Generalize Well: Theoretical and Empirical Evidence
179,Colin Wei,Stanford University,Tengyu Ma,Stanford University,Data-dependent Sample Complexity of Deep Neural Networks via Lipschitz Augmentation
180,Kevin Bello,Purdue University,Jean Honorio,Purdue University,Exact inference in structured prediction
181,Bryon Aragam,University of Chicago,Qing Zhou,UCLA,Globally optimal score-based learning of directed acyclic graphs in high-dimensions
182,Sushrut Karmalkar,The University of Texas at Austin,Pravesh Kothari,Princeton University and Institute for Advanced Study,List-decodable Linear Regression
183,Pascale Gourdeau,University of Oxford,James Worrell,University of Oxford,On the Hardness of Robust Classification
184,Matthew Holland,Osaka University,Matthew Holland,Osaka University,PAC-Bayes under potentially heavy tails
185,Yihe Dong,Microsoft,Jerry Li,Microsoft,Quantum Entropy Scoring for Fast Robust Mean Estimation and Improved Outlier Detection
186,Muhan Zhang,Washington University; Facebook (now),Yixin Chen,Washington University in St. Louis,D-VAE: A Variational Autoencoder for Directed Acyclic Graphs
187,Jianlong Chang,"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",Chunhong Pan,"Institute of Automation, Chinese Academy of Sciences",DATA: Differentiable ArchiTecture Approximation
188,Yukang Chen,"Institute of Automation, Chinese Academy of Sciences",Jian Sun,"Megvii, Face++",DetNAS: Backbone Search for Object Detection
189,Mitchell Wortsman,"University of Washington, Allen Institute for Artificial Intelligence",Mohammad Rastegari,XNOR.AI- AI2,Discovering Neural Wirings
190,Sungbin Lim,Korea University,Sungwoong  Kim,Kakao Brain,Fast AutoAugment
191,Aaron Klein,AWS Berlin,Javier González,Amazon.com,Meta-Surrogate Benchmarking for Hyperparameter Optimization
192,Xuanyi Dong,University of Technology Sydney,Yi Yang,UTS,Network Pruning via Transformable Architecture Search
193,David Eriksson,Uber AI,Matthias Poloczek,Uber AI,Scalable Global Optimization via Local Bayesian Optimization
194,Niv Nayman,Alibaba Group,Lihi Zelnik,Alibaba,XNAS: Neural Architecture Search with Expert Advice
195,Sayak Ray Chowdhury,Indian Institute of Science,Aditya Gopalan,Indian Institute of Science,Bayesian Optimization under Heavy-tailed Payoffs
196,Julian Zimmert,University of Copenhagen,Tor Lattimore,DeepMind,"Connections Between Mirror Descent, Thompson Sampling and the Information Ratio"
197,Yogev Bar-On,Tel-Aviv University,Yishay Mansour,Tel Aviv University / Google,Individual Regret in Cooperative Nonstochastic Multi-Armed Bandits
198,Sanae Amani,University of California Santa Barbara,Christos Thrampoulidis,UCSB,Linear Stochastic Bandits Under Safety Constraints
199,Nima Hamidi,Stanford University,Kapil Gupta,Airbnb,Personalizing Many Decisions with High-Dimensional Covariates
200,Rémy Degenne,"Centrum Wiskunde & Informatica, Amsterdam",Pierre Ménard,Institut de Mathématiques de Toulouse,Non-Asymptotic Pure Exploration by Solving Games
201,Ilai Bistritz,Stanford,Jose Blanchet,Stanford University,Online EXP3 Learning in Adversarial Bandits with Delayed Feedback
202,Vrettos Moulos,UC Berkeley,Vrettos Moulos,UC Berkeley,Optimal Best Markovian Arm Identification with Fixed Confidence
203,Shinji Ito,NEC Corporation,Ken-Ichi Kawarabayashi,National Institute of Informatics,Oracle-Efficient Algorithms for Online Linear Optimization with Bandit Feedback
204,Young H Jung,University of Michigan,Ambuj Tewari,University of Michigan,Regret Bounds for Thompson Sampling in Episodic Restless Bandit Problems
205,Chao Tao,Indiana University Bloomington,Yuan Zhou,UIUC,Thresholding Bandit with Optimal Aggregate Regret
206,Sulaiman Alghunaim,UCLA,Ali H Sayed,Ecole Polytechnique Fédérale de Lausanne,A Linearly Convergent Proximal Gradient Algorithm for Decentralized  Optimization
207,Edgar Dobriban,University of Pennsylvania,Sophia Liu,Stanford University,Asymptotics for Sketching in Least Squares Regression
208,Shashank Rajput,University of Wisconsin - Madison,Dimitrios Papailiopoulos,University of Wisconsin-Madison,DETOX: A Redundancy-based Framework for Faster and More Robust Gradient Aggregation
209,Cheng Meng,University of Georgia,Ping Ma,University of Georgia,Large-scale optimal transport map estimation using projection pursuit
210,Jason Altschuler,MIT,Jon Niles-Weed,NYU,Massively scalable Sinkhorn distances via the Nyström method
211,Belhal Karimi,Ecole Polytechnique,Marc Lavielle,Inria & Ecole Polytechnique,On the Global Convergence of (Fast) Incremental Expectation Maximization Methods
212,zengfeng Huang,Fudan University,Ke Yi,""" Hong Kong University of Science and Technology, Hong Kong""",Optimal Sparsity-Sensitive Bounds for  Distributed Mean Estimation
213,Xiaoyun Li,Rutgers University,Ping Li,Baidu Research USA,Random Projections with Asymmetric Quantization
