MLHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,year,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2017,Albert Haque,Male,Stanford University,Li Fei-Fei 0001,Female,Stanford University,MLHC,Towards Vision-Based Smart Hospitals - A System for Tracking and Monitoring Hand Hygiene Compliance.,13,http://proceedings.mlr.press/v68/haque17a.html,https://dblp.org/rec/conf/mlhc/HaqueGAYLRJDBSP17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2017,Kazi T. Islam,Male,University of California,Randall C. Wetzel,Male,Childrens Hospital,MLHC,Marked Point Process for Severity of Illness Assessment.,4,http://proceedings.mlr.press/v68/islam17a.html,https://dblp.org/rec/conf/mlhc/IslamSCW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2017,Maria Jahja,Female,North Carolina State University,Daniel J. Lizotte,Male,University of Western Ontario,MLHC,Visualizing Clinical Significance with Prediction and Tolerance Regions.,2,http://proceedings.mlr.press/v68/jahja17a.html,https://dblp.org/rec/conf/mlhc/JahjaL17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2017,Ronnachai Jaroensri,Male,"Massachusetts Institute of Technology, Cambridge, USA",John V. Guttag,Male,Massachusetts Institute of Technology,MLHC,A Video-Based Method for Automatically Rating Ataxia.,7,http://proceedings.mlr.press/v68/jaroensri17a.html,https://dblp.org/rec/conf/mlhc/JaroensriZBLSDG17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017,Alistair E. W. Johnson,Male,Massachussetts Institute of Technology,Roger G. Mark,Male,Massachussetts Institute of Technology,MLHC,Reproducibility in critical care - a mortality prediction case study.,3,http://proceedings.mlr.press/v68/johnson17a.html,https://dblp.org/rec/conf/mlhc/JohnsonPM17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2017,Hei Law,Male,University of Michigan,Jia Deng 0001,Male,University of Michigan,MLHC,Surgeon Technical Skill Assessment using Computer Vision based Analysis.,3,http://proceedings.mlr.press/v68/law17a.html,https://dblp.org/rec/conf/mlhc/LawGD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2017,Yuan Ling,Female,Philips Research North America,Oladimeji Farri,Male,Philips Research North America,MLHC,Diagnostic Inferencing via Improving Clinical Concept Extraction with Deep Reinforcement Learning - A Preliminary Study.,7,http://proceedings.mlr.press/v68/ling17a.html,https://dblp.org/rec/conf/mlhc/LingHDQLLF17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2017,Elizabeth C. Lorenzi,Female,Duke University,Katherine A. Heller,Female,Duke University,MLHC,Predictive Hierarchical Clustering - Learning clusters of CPT codes for improving surgical outcomes.,4,http://proceedings.mlr.press/v68/lorenzi17a.html,https://dblp.org/rec/conf/mlhc/LorenziBSH17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2017,Nathan H. Ng,Male,University of California,Zachary C. Lipton,Male,University of California,MLHC,Predicting Surgery Duration with Neural Heteroscedastic Regression.,5,http://proceedings.mlr.press/v68/ng17a.html,https://dblp.org/rec/conf/mlhc/NgGMEL17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2017,Arya A. Pourzanjani,Male,University of California,Linda R. Petzold,Female,University of California,MLHC,Understanding Coagulopathy using Multi-view Data in the Presence of Sub-Cohorts - A Hierarchical Subspace Approach.,5,http://proceedings.mlr.press/v68/pourzanjani17a.html,https://dblp.org/rec/conf/mlhc/PourzanjaniWJCP17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2017,Aniruddh Raghu,Male,Massachussetts Institute of Technology,Marzyeh Ghassemi,Female,Massachusetts Institute of Technology,MLHC,Continuous State-Space Models for Optimal Sepsis Treatment - a Deep Reinforcement Learning Approach.,5,http://proceedings.mlr.press/v68/raghu17a.html,https://dblp.org/rec/conf/mlhc/RaghuKCSG17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2017,Matteo Ruffini,Male,Universitat PolitЏcnica de Catalunya,Esther Limon,Female,Institut Catal€ de la Salut,MLHC,Clustering Patients with Tensor Decomposition.,3,http://proceedings.mlr.press/v68/ruffini17a.html,https://dblp.org/rec/conf/mlhc/RuffiniGL17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2017,Harini Suresh,Female,Massachussetts Institute of Technology,Marzyeh Ghassemi,Female,Massachusetts Institute of Technology,MLHC,Clinical Intervention Prediction and Understanding with Deep Neural Networks.,6,http://proceedings.mlr.press/v68/suresh17a.html,https://dblp.org/rec/conf/mlhc/SureshHJCSG17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2017,Zihan Wang,Male,University of Toronto,Orion J. Buske,Male,Hospital for Sick Children,MLHC,Towards a Directory of Rare Disease Specialists - Identifying Experts from Publication History.,3,http://proceedings.mlr.press/v68/wang17a.html,https://dblp.org/rec/conf/mlhc/WangBB17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2017,Jeremy C. Weiss,Male,Carnegie Mellon University,Jeremy C. Weiss,Male,Carnegie Mellon University,MLHC,Piecewise-constant parametric approximations for survival learning.,1,http://proceedings.mlr.press/v68/weiss17a.html,https://dblp.org/rec/conf/mlhc/Weiss17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2017,Yinchong Yang,Male,Ludwig Maximilians University Munich,Volker Tresp,Male,Ludwig Maximilians University Munich,MLHC,Modeling Progression Free Survival in Breast Cancer with Tensorized Recurrent Neural Networks and Accelerated Failure Time Models.,3,http://proceedings.mlr.press/v68/yang17a.html,https://dblp.org/rec/conf/mlhc/YangFT17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2017,Finale Doshi-Velez,Female,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",Jenna Wiens,Female,University of Michigan,MLHC,"Proceedings of the Machine Learning for Health Care Conference, MLHC 2017, Boston, Massachusetts, USA, 18-19 August 2017",6,http://proceedings.mlr.press/v68/,https://dblp.org/rec/conf/mlhc/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2016,Bilal Ahmed,Male,Tufts University,Carla E. Brodley,Female,Northeastern University,MLHC,Multi-task Learning with Weak Class Labels - Leveraging iEEG to Detect Cortical Lesions in Cryptogenic Epilepsy.,7,http://proceedings.mlr.press/v56/Ahmed16.html,https://dblp.org/rec/conf/mlhc/AhmedTBKDDB16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2016,Edward Choi,Male,Georgia Institute of Technology,Jimeng Sun,Male,Georgia Institute of Technology,MLHC,Doctor AI - Predicting Clinical Events via Recurrent Neural Networks.,5,http://proceedings.mlr.press/v56/Choi16.html,https://dblp.org/rec/conf/mlhc/ChoiBSSS16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2016,Joseph Futoma 0001,Male,Duke University,Katherine A. Heller,Female,Duke University,MLHC,Predicting Disease Progression with a Model for Multivariate Longitudinal Clinical Data.,4,http://proceedings.mlr.press/v56/Futoma16.html,https://dblp.org/rec/conf/mlhc/FutomaSCH16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2016,Konstantinos Georgatzis,Male,University of Edinburgh,Christopher Hawthorne,Male,University of Edinburgh,MLHC,Input-Output Non-Linear Dynamical Systems applied to Physiological Condition Monitoring.,3,http://proceedings.mlr.press/v56/Georgatzis16.html,https://dblp.org/rec/conf/mlhc/GeorgatzisWH16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2016,Marzyeh Ghassemi,Female,Massachussetts Institute of Technology,John V. Guttag,Male,Massachusetts Institute of Technology,MLHC,Uncovering Voice Misuse Using Symbolic Mismatch.,6,http://proceedings.mlr.press/v56/Ghassemi16.html,https://dblp.org/rec/conf/mlhc/GhassemiSMSHG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2016,Yoni Halpern,Male,New York University,David A. Sontag,Male,New York University,MLHC,Clinical Tagging with Joint Probabilistic Models.,3,http://proceedings.mlr.press/v56/Halpern16.html,https://dblp.org/rec/conf/mlhc/HalpernHS16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
