,first-author,first-author-affiliation,last-author,last-author-affiliation,title
92,Matthew B Blaschko,KU Leuven,Andreas Bartels,Centre for Integrative Neuroscience,MOReL: Model-Based Offline Reinforcement Learning
93,Wolf Vanpaemel,KULeuven,Wolf Vanpaemel,KULeuven,Variance-Reduced Off-Policy TDC Learning: Non-Asymptotic Convergence Analysis
94,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,Independent Policy Gradient Methods for Competitive Reinforcement Learning
95,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",Provably Good Batch Reinforcement Learning Without Great Exploration
96,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,(De)Randomized Smoothing for Certifiable Defense against Patch Attacks
97,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Contrastive Learning with Adversarial Examples 
98,Vijay Desai,None,Ciamac C Moallemi,Columbia University,CoADNet: Collaborative Aggregation-and-Distribution Networks for Co-Salient Object Detection
99,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search
100,Rob Nowak,Wisconsin,Rob Nowak,Wisconsin,The Cone of Silence: Speech Separation by Localization
101,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis
102,Russ Salakhutdinov,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellon University,Swapping Autoencoder for Deep Image Manipulation
103,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,LAPAR: Linearly-Assembled Pixel-Adaptive Regression Network for Single Image Super-resolution and Beyond
104,Ilya Sutskever,OpenAI,Josh Tenenbaum,MIT,Domain Generalization via Entropy Regularization
105,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Self-Supervised Few-Shot Learning on Point Clouds
106,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,DeepSVG: A Hierarchical Generative Network for Vector Graphics Animation
107,Xiaolin Yang,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,CLEARER: Multi-Scale Neural Architecture Search for Image Restoration
108,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Language and Visual Entity Relationship Graph for Agent Navigation
109,HongJing Lu,UCLA,Alan L Yuille,UCLA,Fast Fourier Convolution
110,Arthur Choi,UCLA,Adnan Darwiche,UCLA,Simulating a Primary Visual Cortex at the Front of CNNs Improves Robustness to Image Perturbations
111,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,The Devil is in the Detail: A Framework for Macroscopic Prediction via Microscopic Models
112,HongJing Lu,UCLA,Alan L Yuille,UCLA,When and How to Lift the Lockdown? Global COVID-19 Scenario Analysis and Policy Assessment using Compartmental Gaussian Processes
113,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Reinforced Molecular Optimization with Neighborhood-Controlled Grammars
114,Robert C Wilson,Princeton University,Leif Finkel,None,Multi-Task Temporal Shift Attention Networks for On-Device Contactless Vitals Measurement
115,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,MRI Banding Removal via Adversarial Training
116,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Learning to Select Best Forecast Tasks for Clinical Outcome Prediction
117,Jon McAuliffe,UC Berkeley and Voleon,Jon McAuliffe,UC Berkeley and Voleon,Interpretable Sequence Learning for Covid-19 Forecasting
118,Bill Triggs,CNRS,Bill Triggs,CNRS,Adversarial Attacks on Deep Graph Matching
119,Tetsuro Morimura,IBM,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Adversarial Sparse Transformer for Time Series Forecasting
120,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,Diversity can be Transferred: Output Diversification for White- and Black-box Attacks
121,Jonathan W Pillow,UT Austin,Jonathan W Pillow,UT Austin,Input-Aware Dynamic Backdoor Attack
122,Bill Triggs,CNRS,Bill Triggs,CNRS,Understanding Global Feature Contributions With Additive Importance Measures
123,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Improving Policy-Constrained Kidney Exchange via Pre-Screening
124,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Learning Black-Box Attackers with Transferable Priors and Query Feedback
125,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,De-Anonymizing Text by Fingerprinting Language Generation
126,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Beta Embeddings for Multi-Hop Logical Reasoning in Knowledge Graphs
127,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Design Space for Graph Neural Networks
128,Wolf Vanpaemel,KULeuven,Wolf Vanpaemel,KULeuven,Learning Physical Graph Representations from Visual Scenes
129,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Equivariant Networks for Hierarchical Structures
130,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",ARMA Nets: Expanding Receptive Field for Dense Prediction
131,Nir Ailon,Technion,Claire Monteleoni,University of Colorado Boulder,Storage Efficient and Dynamic Flexible Runtime Channel Pruning via Deep Reinforcement Learning
132,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",How to Characterize The Landscape of Overparameterized Convolutional Neural Networks
133,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Towards Learning Convolutions from Scratch
134,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Bayesian Attention Modules
135,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Kalman Filtering Attention for User Behavior Modeling in CTR Prediction
136,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Understanding and Exploring the Network with Stochastic Architectures
137,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Neuron Merging: Compensating for Pruned Neurons
138,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Position-based Scaled Gradient for Model Quantization and Pruning
139,Charles Kemp,Carnegie Mellon University,Alan Jern,Rose-Hulman Institute of Technology,ShiftAddNet: A Hardware-Inspired Deep Network
140,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,Pruning neural networks without any data by iteratively conserving synaptic flow
141,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Attribution Preservation in Network Compression for Reliable Network Interpretation
142,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Language as a Cognitive Tool to Imagine Goals in Curiosity Driven Exploration
143,Bharath Sriperumbudur,The Pennsylvania State University,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",An Efficient Asynchronous Method for Integrating Evolutionary and Gradient-based Policy Search
144,Kate Saenko,UMass Lowell,Trevor Darrell,UC Berkeley,Model-based Reinforcement Learning for Semi-Markov Decision Processes with Neural ODEs
145,Chun-Nan Hsu,USC,Yuh-Jye Lee,National Taiwan University of Science and Technology,Refactoring Policy for Compositional Generalizability using Self-Supervised Object Proposals
146,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,Cooperative Heterogeneous Deep Reinforcement Learning
147,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,The Mean-Squared Error of Double Q-Learning
148,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Novelty Search in Representational Space for Sample Efficient Exploration
149,HongJing Lu,UCLA,Alan L Yuille,UCLA,Learning Implicit Credit Assignment for Cooperative Multi-Agent Reinforcement Learning
150,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Decentralized TD Tracking with Linear Function Approximation and its Finite-Time Analysis
151,Peter Sollich,King's College London,Camille Coti,INRIA Saclay-Île de France,Robust Multi-Agent Reinforcement Learning with Model Uncertainty
152,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,Bayesian Multi-type Mean Field Multi-agent Imitation Learning
153,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design
154,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Inverse Rational Control with Partially Observable Continuous Nonlinear Dynamics
155,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Safe Reinforcement Learning via Curriculum Induction
156,M. Pawan Kumar,Stanford University,Daphne Koller,insitro,On the Stability and Convergence of Robust Adversarial Reinforcement Learning: A Case Study on Linear Quadratic Systems
157,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Sample Complexity of Asynchronous Q-Learning: Sharper Analysis and Variance Reduction
158,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Off-Policy Evaluation via the Regularized Lagrangian
159,Jonathan Chang,Facebook,David Blei,Columbia University,Dynamic Regret of Policy Optimization in Non-Stationary Environments
160,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,Constrained episodic reinforcement learning in concave-convex and knapsack settings
161,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,CoinDICE: Off-Policy Confidence Interval Estimation
162,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Risk-Sensitive Reinforcement Learning: Near-Optimal Risk-Sample Tradeoff in Regret
163,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Reinforcement Learning with General Value Function Approximation: Provably Efficient Approach via Bounded Eluder Dimension
164,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Task-agnostic Exploration in Reinforcement Learning
165,Laura Dietz,"University of Massachusetts, Amherst",Tobias Scheffer,Universität Potsdam,Provably Efficient Exploration for Reinforcement Learning Using Unsupervised Learning
166,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,On Function Approximation in Reinforcement Learning: Optimism in the Face of Large State Spaces
167,Gideon S Mann,Google Inc.,Dan Walker,None,Upper Confidence Primal-Dual Reinforcement Learning for CMDP with Adversarial Loss
168,Aurelie C Lozano,IBM Research,Naoki Abe,None,Minimax Value Interval for Off-Policy Evaluation and Policy Optimization
169,Marek Petrik,IBM,Shlomo Zilberstein,Univ of Mass,Logarithmic Regret Bound in Partially Observable Linear Dynamical Systems
170,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,The Power of Predictions in Online Control
171,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Information Theoretic Regret Bounds for Online Nonlinear Control
172,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Latent Template Induction with Gumbel-CRFs
173,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,Federated Principal Component Analysis
174,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Learning Differential Equations that are Easy to Solve
175,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Learning Rich Rankings
176,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Self-supervised Co-Training for Video Representation Learning
177,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,Prophet Attention: Predicting Attention with Future Attention
178,Andrea Montanari,Stanford,José Bento,Boston College,Audeo: Audio Generation for a Silent Performance Video
179,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,Cascaded Text Generation with Markov Transformers
180,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,All Word Embeddings from One Embedding
181,Arthur Choi,UCLA,Adnan Darwiche,UCLA,Data Diversification: A Simple Strategy For Neural Machine Translation
182,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Learning Sparse Prototypes for Text Generation
183,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,A Discrete Variational Recurrent Topic Model without the Reparametrization Trick
184,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",AViD Dataset: Anonymized Videos from Diverse Countries
185,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Convolutional Tensor-Train LSTM for Spatio-Temporal Learning
186,Garvesh Raskutti,SAMSI,Bin Yu,None,End-to-End Learning and Intervention in Games
187,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Cross-validation Confidence Intervals for Test Error
188,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Learning Robust Decision Policies from Observational Data
189,Emanuel Todorov,University of Washington,Emanuel Todorov,University of Washington,Improved Sample Complexity for Incremental Autonomous Exploration in MDPs
190,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Self-Imitation Learning via Generalized Lower Bound Q-learning
191,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,An Improved Analysis of  (Variance-Reduced) Policy Gradient and Natural Policy Gradient Methods
192,Volkan Cevher,EPFL,Volkan Cevher,EPFL,One Solution is Not All You Need: Few-Shot Extrapolation via Structured MaxEnt RL
193,Kamalika Chaudhuri,UCSD,Daniel Hsu,Columbia University,An operator view of policy gradient methods
194,Mladen Kolar,University of Chicago,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Robust Reinforcement Learning via Adversarial training with Langevin Dynamics
195,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Improving Sample Complexity Bounds for (Natural) Actor-Critic Algorithms
196,Novi Quadrianto,University of Sussex and HSE,Dale Schuurmans,Google Brain & University of Alberta,How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization
197,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,The Value Equivalence Principle for Model-Based Reinforcement Learning
198,Tetsuro Morimura,IBM,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Doubly Robust Off-Policy Value and Gradient Estimation for Deterministic Policies
199,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Neurosymbolic Reinforcement Learning with Formally Verified Exploration
200,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Near-Optimal Reinforcement Learning with Self-Play
201,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,Variational Policy Gradient Method for Reinforcement Learning with General Utilities
202,Dilip Krishnan,NYU,Rob Fergus,DeepMind / NYU,PC-PG: Policy Cover Directed Exploration for Provable Policy Gradient Learning
203,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Deep Multimodal Fusion by Channel  Exchanging
204,Dilip Krishnan,NYU,Rob Fergus,DeepMind / NYU,Learning Representations from Audio-Visual Spatial Alignment
205,Arno Onken,University of Glasgow,Klaus H Obermayer,Technical University of Berlin,Knowledge Augmented Deep Neural Networks for Joint Facial Expression and Action Unit Recognition
206,Tetsuro Morimura,IBM,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Causal Intervention for Weakly-Supervised Semantic Segmentation
207,Han Liu,Carnegie Mellon University,Xi Chen,NYU,Generative View Synthesis: From Single-view Semantics to Novel-view Images
208,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,Labelling unlabelled videos from scratch with multi-modal self-supervision
209,Kai Yu,Baidu,Yihong Gong,None,Unfolding the Alternating Optimization for Blind Super Resolution
210,Samy Bengio,Apple,Dennis Strelow,None,Video Frame Interpolation without Temporal Priors
211,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Delving into the Cyclic Mechanism in Semi-supervised Video Object Segmentation
212,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,Color Visual Illusions: A Statistics-based Computational Model
213,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection"
214,Robert C Wilson,Princeton University,Leif Finkel,None,Make One-Shot Video Object Segmentation Efficient Again
