,Unnamed: 0,first-author-affiliation,last-author-affiliation,title
26,26,Carnegie Mellon University,Petuum Inc. /  Carnegie Mellon University,adaptive multi-task lasso: with application to eqtl detection.
27,27,NEC Labs,None,on the theory of learnining with privileged information.
28,28,Northwestern University,None,mixture of time-warped trajectory models for movement decoding.
29,29,University of Michigan,Google Brain,repeated games against budgeted adversaries.
30,30,Carnegie Mellon University,Carnegie Mellon University,stability approach to regularization selection (stars) for high  dimensional graphical models.
31,31,University of Alberta,University of Alberta,interval estimation for reinforcement-learning algorithms in continuous-state domains.
32,32,Michigan State University,Michigan State University,multi-label multiple kernel learning by stochastic approximation: application to visual object recognition.
33,33,University of Michigan,University of Michigan,reward design via online gradient ascent.
34,34,"IQ Engines, Inc.",Redwood Center/UC Berkeley,group sparse coding with a laplacian scale mixture prior.
35,35,University of Washington,Washington University School of Medicine,decoding ipsilateral finger movements from ecog signals in humans.
36,36,DeepMind,University of Edinburgh,hallucinations in charles bonnet syndrome induced by homeostasis: a deep boltzmann machine model.
37,37,University of British Columbia,University of British Columbia,bayesian action-graph games.
38,38,University Wisconsin-Madison,Arizona State University,multi-stage dantzig selector.
39,39,Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max Planck Society,Universität Bremen,spike timing-dependent plasticity as dynamic filter.
40,40,UMass Amherst,Auburn University,basis construction from power series expansions of value functions.
41,41,TTI-Chicago,Bar-Ilan University,direct loss minimization for structured prediction.
42,42,University of Potsdam,Universität Potsdam,active estimation of f-measures.
43,43,self,Yahoo! Labs,optimal web-scale tiering as a flow problem.
44,44,NICTA,NICTA Canberra,reverse multi-label learning.
45,45,University of Edinburgh,University of Edinburgh,an approximate inference approach to temporal optimization in optimal control.
46,46,Imperial College London,DeepMind / University of Alberta,parametric bandits: the generalized linear case.
47,47,INRIA,Google DeepMind,scrambled objects for least-squares regression.
48,48,Columbia University,Carnegie Mellon University,empirical risk minimization with approximations of probabilistic grammars.
49,49,Carnegie Mellon University,University of Washington,inference with multivariate heavy-tails in linear models.
50,50,Indian Institute of Science,None,efficient algorithms for learning kernels from multiple similarity matrices with general convex loss functions.
51,51,Amazon,UC Berkeley,heavy-tailed process priors for selective shrinkage.
52,52,Universita' di Genova,Politecnico di Milano,spectral regularization  for  support estimation.
53,53,Carnegie Mellon University,Google AI,efficient relational learning with hidden variable detection.
54,54,University College London,University College London,generalized roof duality and bisubmodular functions.
55,55,IBM Research,Google,block variable selection in multivariate regression and high-dimensional causal inference.
56,56,Snap Inc.,Boston University,learning from candidate labeling sets.
57,57,Simon Fraser University,Borealis AI,beyond actions: discriminative models for contextual group activities.
58,58,Chinese Academy of Sciences,,two-layer generalization analysis for ranking using rademacher average.
59,59,University of Maryland,Georgetown University,a bayesian approach to concept drift.
60,60,University of Edinburgh,University of Edinburgh,sparse instrumental variables (spiv) for genome-wide studies.
61,61,Microsoft Research,ByteDance Inc.,fast large-scale mixture modeling with component-specific data partitions.
62,62,Stanford University,Stanford University,object bank: a high-level image representation for scene classification & semantic feature sparsification.
63,63,University of Pennsylvania,University of Washington,sidestepping intractable inference with structured ensemble cascades.
64,64,Microsoft Research,Istituto Italiano di Tecnologia,structural epitome: a way to summarize one’s visual experience.
65,65,Google Research,UC Berkeley,random conic pursuit for semidefinite programming.
66,66,The University of Tokyo,The University of Tokyo / RIKEN BSI,switching state space model for simultaneously estimating state transitions and nonstationary firing rates.
67,67,University of Maryland CP,UC Santa Cruz,computing marginal distributions over continuous markov networks for statistical relational learning.
68,68,Google,DeepMind / University of Alberta,estimation of renyi entropy and mutual information based on generalized nearest-neighbor graphs.
69,69,University of Washington,MSR Montréal & CMU,predictive state temporal difference learning.
70,70,University of Wisconsin–Milwaukee,UW Milwaukee,auto-regressive hmm inference with incomplete data for short-horizon wind forecasting.
71,71,Microsoft,Oregon State University,batch bayesian optimization via simulation matching.
72,72,MPI Informatics,UC Berkeley,size matters: metric visual search constraints from monocular metadata.
73,73,Carnegie Mellon University,Carnegie Mellon University,cross species expression analysis using a dirichlet process mixture model with latent matchings.
74,74,Harvard,MIT,nonparametric bayesian policy priors for reinforcement learning.
75,75,Florida State University,University of Waterloo,towards property-based classification of clustering paradigms.
76,76,Stanford University,UC Berkeley,cur from a sparse optimization viewpoint.
77,77,Twenty Billion Neurons Inc.,ETH Zurich,gated softmax classification.
78,78,Hanyang University,Cornell Tech,generative local metric learning for nearest neighbor classification.
79,79,University of Adelaide,University of Adelaide,why are some word orders more common than others? a uniform information density account.
80,80,Google,MIcrosoft Research,non-stochastic bandit slate problems.
81,81,"UC, Los Angeles",UCLA,occlusion detection and motion estimation with convex optimization.
82,82,Baidu Research USA,None,b-bit minwise hashing for estimating three-way  similarities.
83,83,CMU,Carnegie Mellon University,multiparty differential privacy via aggregation of locally trained classifiers.
84,84,Universität Heidelberg,Kirchhoff-Institut für Physik,a vlsi implementation of the adaptive exponential integrate-and-fire neuron model.
85,85,Google,Institut Curie,fast detection of multiple change-points shared by many signals using group lars.
86,86,McGill University,McGill University,pac-bayesian model selection for reinforcement learning.
87,87,Yahoo Labs,Tencent,agnostic active learning without constraints.
88,88,Aix-Marseille Université,"LIF, IUF, Aix-Marseille University, CNRS",empirical bernstein inequalities for u-statistics.
89,89,UCLA,UCLA,a unified model of short-range and long-range motion perception.
90,90,Google,Facebook AI Research and New York University,regularized estimation of image statistics by score matching.
91,91,University of Bonn,Lund University/Google,convex multiple-instance learning by estimating likelihood ratio.
92,92,CMU,Carnegie Mellon University,inference and communication in the game of password.
93,93,"Google, Inc",End Cue,near-optimal bayesian active learning with noisy observations.
94,94,Toyota Technological Institute at Chicago,UCLA,gaussian sampling by local perturbations.
95,95,Harvard University,Princeton University,the neural costs of optimal control.
96,96,CSIRO's Data61,University of Toronto,gaussian process preference elicitation.
97,97,Rochester Institute of Technology,Rochester Institute of Technology,implicit differentiation by perturbation.
98,98,"University of Wisconsin, Madison",Princeton,learning invariant features using the transformed indian buffet process.
99,99,Columbia University,Columbia University,identifying dendritic processing.
100,100,RPI,RPI,permutation complexity bound on out-sample error.
101,101,University at Albany SUNY,University at Albany SUNY,divisive normalization: justification and effectiveness as efficient coding transform.
102,102,Cornell University,Cornell University,towards holistic scene understanding: feedback enabled cascaded classification models.
103,103,Arcode Corporation,Wisconsin,transduction with matrix completion: three birds with one stone.
104,104,Janelia Farm Research Campus,HHMI,over-complete representations on recurrent neural networks can support persistent percepts.
105,105,Alibaba Group,UC Berkeley,factorized latent spaces with structured sparsity.
106,106,Caltech,California Institute of Technology,discriminative clustering by regularized information maximization.
107,107,Macquarie University,University Edinburgh / Macquarie University,synergies in learning words and their referents.
108,108,Sichuan University,University of Georgia,individualized roi optimization via maximization of group-wise consistency of structural and functional profiles.
109,109,Stanford,Caltech,practical large-scale optimization for max-norm regularization.
110,110,Radboud University Nijmegen,Radboud University Nijmegen,causal discovery in multiple models from different experiments.
111,111,EPFL/Idiap,University of Geneva,joint cascade optimization using a product of boosted classifiers.
112,112,Amazon,"University of Oxford, DeepMind",improvements to the sequence memoizer.
113,113,NEC Labs America,Baidu,deep coding network.
114,114,UC San Diego,UC San Diego,latent variable models for predicting file dependencies in large-scale software development.
115,115,University at Buffalo,University at Buffalo,evaluation of rarity of fingerprints in forensics.
116,116,National Taiwan University of Science and Technology,UC Berkeley,an analysis on negative curvature induced by singularity in multi-layer neural-network learning.
117,117,Inria,INRIA - Ecole Normale Superieure,network flow algorithms for structured sparsity.
118,118,DeepMind,Facebook AI Research and New York University,learning convolutional feature hierarchies for visual recognition.
119,119,"Univ. of California, Irvine",UC Irvine,learning concept graphs from text with stick-breaking priors.
120,120,Microsoft Research,Microsoft Research,probabilistic inference and differential privacy.
121,121,Carnegie Mellon University,CMU,trading off mistakes and don't-know predictions.
122,122,Princeton University,MIcrosoft Research,a theory of multiclass boosting.
123,123,University of Pennsylvania,University of Michigan,"online learning: random averages, combinatorial parameters, and learnability."
124,124,Intel Labs,University of Washington,kernel descriptors for visual recognition.
125,125,LISV,"Universite Paris-Sud, CNRS","spikeants, a spiking neuron network modelling the emergence of organization in a complex system."
126,126,UBC,UC Berkeley,variational inference over combinatorial spaces.
127,127,Microsoft Research,UC Berkeley,fast global convergence rates of gradient methods for high-dimensional   statistical recovery.
128,128,Stanford University,University of Washington,extended bayesian information criteria for gaussian graphical models.
129,129,IBM T.J. Watson Research,Rensselaer Polytechnic Institute,random projections for $k$-means clustering.
130,130,"University of Maryland, College Park",University of Maryland College Park,large-scale matrix factorization with missing data under additional constraints.
131,131,TTI Chicago,University of Toronto,implicitly constrained gaussian process regression for monocular non-rigid pose estimation.
132,132,Tel Aviv University,Tel Aviv University,decomposing isotonic regression for efficiently solving large problems.
133,133,Hong Kong Baptist University,Hong Kong University of Science and Technology,probabilistic multi-task feature selection.
134,134,Technion,University of Toronto,a primal-dual message-passing algorithm for approximated large scale structured prediction.
135,135,UCSC,Microsoft Research India,multiple kernel learning and the smo algorithm.
136,136,Duke University,Duke University,joint analysis of time-evolving binary matrices and associated documents.
137,137,California Institute of Technology,ETH Zurich,efficient minimization of decomposable submodular functions.
138,138,IIIA-CSIC,IIIA-CSIC,worst-case bounds on the quality of max-product fixed-points.
139,139,Tsinghua University,Petuum Inc. /  Carnegie Mellon University,predictive subspace learning for multi-view data: a large margin approach.
140,140,Duke University,Columbia University,nonparametric density estimation for stochastic optimization with an observable state variable.
141,141,University of Washington,University of Washington,lifted inference seen from the other side : the tractable features.
142,142,Google,DeepLearning.AI,tiled convolutional neural networks.
143,143,University of Padova,University of Padova,learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors.
144,144,"Brain & Cognitive Sciences, University of Rochester",University Tübingen,evaluating neuronal codes for inference using fisher information.
145,145,University Paris-Saclay,Weierstrass Institute Berlin,optimal learning rates for kernel conjugate gradient regression.
146,146,Microsoft Research,UT Austin & Amazon,inductive regularized learning of kernel functions.
147,147,University of Cambridge,Uber and University of Cambridge,copula processes.
148,148,University of Pennsylvania,University of Washington,semi-supervised learning with adversarially  missing label information.
149,149,Brain Mind Institute,EPFL,"rescaling, thinning or complementing? on goodness-of-fit procedures for point process models and generalized linear models."
150,150,Nanjing University,Nanjing University,multi-view active learning in the non-realizable case.
151,151,Biomathematics & Statistics Scotland,"LSIIT - UMR 7005, University of Strasbourg",inter-time segment information sharing for non-homogeneous dynamic bayesian networks.
152,152,University of Southern California,UC Berkeley,unsupervised kernel dimension reduction.
153,153,University of Oregon,University of Washington,approximate inference by compilation to arithmetic circuits.
154,154,"Statistical Visual Computing Lab, UC San Diego",UC San Diego,a biologically plausible network for the computation of orientation dominance.
155,155,Princeton University,Hebrew University and Harvard University,inferring stimulus selectivity from the spatial structure of neural network dynamics.
156,156,University of Cambridge,TU Darmstadt & MPI Intelligent Systems,movement extraction by detecting dynamics switches and repetitions.
157,157,Facebook,Brown University,global seismic monitoring as probabilistic inference.
158,158,Google Research and U. Colorado Boulder,Indiana University,improving human judgments by decontaminating sequential dependencies.
159,159,Amazon,Ecole Normale Supérieure de Cachan,link discovery using graph feature tracking.
160,160,University of Zurich,University of Zurich,sodium entry efficiency during action potentials: a novel single-parameter family of hodgkin-huxley models.
161,161,University of Tokyo,Kyoto University,minimum average cost clustering.
162,162,"University of California, San Diego",UC San Diego,a rational decision making framework for inhibitory control.
163,163,Rutgers University,Rutgers University,a bayesian framework for figure-ground interpretation.
164,164,Duke University,UMass Amherst,constructing skill trees for reinforcement learning agents from demonstration trajectories.
165,165,King's College London,King's College London,exact learning curves for gaussian process regression on large random graphs.
166,166,University of Texas at Austin,University of Texas at Austin,a dirty model for multi-task learning.
167,167,DeepMind,University of British Columbia,probabilistic deterministic infinite automata.
168,168,Dartmouth College,Dartmouth College,exploiting weakly-labeled web images to improve object classification: a domain adaptation approach.
169,169,University of Adelaide,University of Adelaide,learning the context of a category.
170,170,Ecole Normale Superieure,Ecole Normale Supérieure,learning to localise sounds with spiking neural networks.
171,171,Oregon State University,Oregon State University,(rf)^2 -- random forest random field.
172,172,Yandex,DeepMind & University of Oxford,learning to count objects in images.
173,173,IDSIA,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",improving the asymptotic performance of markov chain monte-carlo by inserting vortices.
174,174,IIT Bombay,IIT Bombay,map estimation in binary mrfs via bipartite multi-cuts.
175,175,"University of California, San Diego",UC San Diego,variable margin losses for classifier design.
176,176,The Hong Kong University of Science and Technology,Beijing Normal University,attractor dynamics with synaptic depression.
177,177,"University of California, San Diego",Washington University in St. Louis,large margin multi-task metric learning.
178,178,Massachusetts Institute of Technology,Massachusetts Institute of Technology,categories and functional units: an infinite hierarchical model for brain activations.
179,179,Google Research,Google Research & Courant Institute of Mathematical Sciences,learning bounds for importance weighting.
180,180,Cornell University,Cornell University,static analysis of binary executables using structural svms.
181,181,Chinese Academy of Sciences,Chinese Academy of Sciences,avoiding false positive in multi-instance learning.
182,182,Microsoft Research,University of Texas at Austin,hashing hyperplane queries to near points  with applications to large-scale active learning.
183,183,Stanford University,insitro,self-paced learning for latent variable models.
184,184,Facebook AI Research,Google DeepMind,lstd with random projections.
185,185,National University of Singapore,UT-Austin,robust pca via outlier pursuit.
186,186,INRIA - Ecole Normale Superieure,INRIA - Ecole Normale Superieure,structured sparsity-inducing norms through submodular functions.
187,187,University of Guelph,New York University,pose-sensitive embedding by nonlinear nca regression.
188,188,University of Waterloo,Google Brain & University of Alberta,relaxed clipping: a global training method for robust regression and classification.
189,189,Massachusetts Institute of Technology,Harvard University,subgraph detection using eigenvector l1 norms.
190,190,Massachusetts Institute of Technology,Massachusetts Institute of Technology,active learning applied to patient-adaptive heartbeat classification.
191,191,TTI-Chicago,University of Michigan,"smoothness, low noise and fast rates."
192,192,Tsinghua University,Petuum Inc. /  Carnegie Mellon University,large margin learning of upstream scene understanding models.
193,193,Universita' di Genova,University of Genova- MIT - IIT,a primal-dual algorithm for group sparse regularization with overlapping groups.
194,194,CRICM (CNRS / Inserm),Université Pierre et Marie Curie (UPMC),spatial and anatomical regularization of svm for brain image analysis.
195,195,Centrum Wiskunde Informatica,Centrum Wiskunde Informatica,fractionally predictive spiking neurons.
196,196,Carnegie Mellon University,TTI-Chicago,collaborative filtering in a non-uniform world: learning  with the weighted trace norm.
197,197,UC Berkeley,UC Berkeley & Covariant,on a connection between importance sampling and the likelihood ratio   policy gradient.
198,198,Universitat Pompeu Fabra,MTA SZTAKI Institute for Computer Science and Control,online markov decision processes under bandit feedback.
199,199,"University of California, Irvine",University of Amsterdam / Qualcomm AI Research,on herding and the perceptron cycling theorem.
200,200,MIT,"Tel Aviv University, Google",more data means less inference: a pseudo-max approach to structured learning.
201,201,University of Edinburgh,Princeton University,slice sampling covariance hyperparameters of latent gaussian models.
202,202,UT Dallas,University of Washington,learning efficient markov networks.
203,203,LORIA --- Université de Nancy,LORIA,a pomdp extension with belief-dependent rewards.
204,204,CNRS,University of Toronto,optimal bayesian recommendation sets and myopically optimal choice query sets.
205,205,Carnegie Mellon University,Carnegie Mellon University,graph-valued regression.
206,206,Technion,"NVIDIA, BIU",online learning in the manifold of low-rank matrices.
207,207,Tata Institute of Fundamental Research,University of Pennsylvania,random walk approach to regret minimization.
208,208,Technische Universität Berlin,Microsoft Research Cambridge,global analytic solution for variational bayesian matrix factorization.
209,209,stanford university,University of Illinois at Urbana-Champaign,efficient optimization for discriminative latent class models.
210,210,NICTA,Yahoo,word features for latent dirichlet allocation.
211,211,University of Maryland,University of Utah,learning multiple tasks using manifold regularization.
212,212,University of Manchester,Amazon,switched latent force models for movement segmentation.
213,213,Tata Institute of Fundamental Research,Massachusetts Institute of Technology,sample complexity of testing the manifold hypothesis.
214,214,New York University,FlatIron Institute / New York University,implicit encoding of prior probabilities in optimal neural populations.
215,215,Tokyo Institute of Technology,Tokyo Institute of Technology,natural policy gradient methods with parameter-based exploration for control tasks.
216,216,University of Bayreuth,University of Stuttgart,universal kernels on non-standard input spaces.
217,217,Carnegie Mellon University,University of Washington,evidence-specific structures for rich tractable crfs.
218,218,Ecole Normale Superieure,Ecole Normale Superieure,linear readout from a neural population with partial correlation data.
219,219,University of Pennsylvania,MIcrosoft Research,a reduction from apprenticeship learning to classification.
220,220,Boston College,Stanford,learning networks of stochastic differential equations.
221,221,Stanford University,Stanford University/Pinterest,on the convexity of latent social network inference.
222,222,University of Wisconsin-Madison,None,"humans learn using manifolds, reluctantly."
223,223,University of Illinois at Chicago (UIC),UCSC,lower bounds on rate of convergence of cutting plane methods.
224,224,RIKEN,Google,variational bounds for mixed-data factor analysis.
225,225,Technische Universitaet Berlin,University of Edinburgh,approximate inference in continuous time gaussian-jump processes.
226,226,Microsoft Research,Microsoft Research,exact inference and learning for cumulative distribution functions on loopy graphs.
227,227,Boston University,Technion,new adaptive algorithms for online classification.
228,228,University of Texas Arlington,University of Texas at Arlington,"efficient and robust feature selection via joint ℓ2,1-norms minimization."
229,229,Radboud University Nijmegen,"MPI for Intelligent Systems, Tübingen",probabilistic latent variable models for distinguishing between cause and effect.
230,230,INRIA,INRIA,brain covariance selection: better individual functional connectivity models using population prior.
231,231,University of Washington,University of Michigan,penalized principal component regression on graphs for analysis of subnetworks.
232,232,Carnegie Mellon University,Carnegie Mellon University,accounting for network effects in neuronal responses using l1 regularized point process models.
233,233,Apple,NEC Labs America,label embedding trees for large multi-class tasks.
234,234,Caltech,California Institute of Technology,the multidimensional wisdom of crowds.
235,235,Facebook AI Research,Google & University of Toronto,generating more realistic images using gated mrf's.
236,236,USI/SUPSI,USI/SUPSI,universal consistency of multi-class support vector classiﬁcation.
237,237,Medical University of Vienna,Massachusetts Institute of Technology,functional geometry alignment and localization of brain areas.
238,238,Massachusetts Institute of Technology,MIT,construction of dependent dirichlet processes based on poisson processes.
239,239,University of Manitoba,Borealis AI,a discriminative latent model of image region and object tag correspondence.
240,240,Carleton University,Carleton University,active instance sampling via matrix partition.
241,241,Stanford University,Stanford,the lasso risk: asymptotic results and real world examples.
242,242,Princeton University,Indian Institute of Technology Kanpur,random projection trees revisited.
243,243,oregon state university,Oregon State University,segmentation as maximum-weight independent set.
244,244,University of Wisconsin Madison,UW-Madison,epitome driven 3-d diffusion tensor image segmentation: on extracting specific structures.
245,245,UC Berkeley,Adobe Research,feature construction for inverse reinforcement learning.
246,246,JST,The University of Tokyo / RIKEN BSI,effects of synaptic weight diffusion  on learning in decision making networks.
247,247,Google,UCSC,t-logistic regression.
248,248,Hebrew University,Hebrew University,copula bayesian networks.
249,249,Technion,Cornell Tech,learning via gaussian herding.
250,250,US Government,Duke University,linear complementarity for regularized policy evaluation and improvement.
251,251,Technion - Israel Institute of Technology,Technion,online classification with specificity constraints.
252,252,Bar Ilan University,Brown University,sphere embedding: an application to part-of-speech induction.
253,253,Carnegie Mellon University,NYU,multivariate dyadic regression trees for sparse learning problems.
254,254,National University of Singapore,Technion,distributionally robust markov decision processes.
255,255,Technical University of Denmark,Technical University of Denmark,infinite relational modeling of functional connectivity in resting state fmri.
256,256,Boston College,Boston College,"feature transitions with saccadic search: size, color, and orientation are not alike."
257,257,NTT Communication Science Laboratories,MIT,dynamic infinite relational model for time-varying relational data analysis.
258,258,UCSD,UC San Diego,rates of convergence for the cluster tree.
259,259,TTI-Chicago,University of Toronto,sparse coding for learning interpretable spatio-temporal primitives.
260,260,UC Berkeley,UC Berkeley,distributed dual averaging in networks.
261,261,Heinrich-Heine-Universität Düsseldorf,"MPI for Intelligent Systems, Tübingen",space-variant single-image blind deconvolution for removing camera shake.
262,262,"University of Michigan, Ann Arbor",University of Michigan,extensions of generalized binary search to group identification and exponential costs.
263,263,Google,INRIA - Ecole Normale Superieure,online learning for latent dirichlet allocation.
264,264,Princeton,Matroid,supervised clustering.
265,265,University of Florida,University of Florida,a novel kernel for learning a neuron model from spike train data.
266,266,Google,University of Washington,structured determinantal point processes.
267,267,Weizmann Institute of Science,Weizmann Institute of Science,using body-anchored priors for identifying actions in single images.
268,268,University of Michigan,Massachusetts Institute of Technology,identifying patients at risk of major adverse cardiovascular events using symbolic mismatch.
269,269,Carnegie Mellon University,CMU,learning multiple tasks with a sparse matrix-normal penalty.
270,270,Twitter,Google & University of Toronto,learning to combine foveal glimpses with a third-order boltzmann machine.
271,271,University of Washington,University of Washington,shadow dirichlet for restricted probability modeling.
272,272,University of Washington,University of Washington,policy gradients in linearly-solvable mdps.
273,273,Princeton University,UC Berkeley,tree-structured stick breaking for hierarchical data.
274,274,Hong Kong Baptist University,Hong Kong University of Science and Technology,worst-case linear discriminant analysis.
275,275,University of Potsdam,Universität Potsdam,throttling poisson processes.
276,276,Ben Gurion University,The Hebrew University Jerusalem,tight sample complexity of large-margin learning.
277,277,Carnegie Mellon University,Carnegie Mellon University,estimating spatial layout of rooms using volumetric reasoning about objects and surfaces.
278,278,Siemens Corporate Research,Arizona State University,moreau-yosida regularization for grouped tree structure learning.
279,279,Baidu AI Lab,National University of Singapore,robust clustering as ensembles of affinity relations.
280,280,UC San Diego,CMU,identifying graph-structured activation patterns in networks.
281,281,University of Tübingen,Saarland University,an inverse power method for nonlinear eigenproblems with applications in 1-spectral clustering and sparse pca.
282,282,City Univ. of Hong Kong,IIT & UCL,a family of penalty functions for structured sparsity.
283,283,National Tsing Hua University,National Tsing Hua University,a log-domain implementation of the diffusion network in very large scale integration.
284,284,KU Leuven,DeepMind & University of Oxford,simultaneous object detection and ranking with weak supervision.
285,285,Microsoft Research,UT Austin & Amazon,guaranteed rank minimization via singular value projection.
286,286,Nanjing University,Nanjing University,active learning by querying informative and representative examples.
287,287,Facebook,Microsoft Research,learning from logged implicit exploration data.
288,288,NEC Labs America,NEC Laboratories America,feature set embedding for incomplete data.
289,289,UC Berkeley,UC Berkeley,deciphering subsampled data: adaptive compressive sampling as a principle of brain communication.
290,290,University of Florida,University of Florida at Gainesville,a novel family of non-parametric cumulative based divergences for point processes.
291,291,Universiteit Gent,UGent,phoneme recognition with large hierarchical reservoirs.
292,0,University of Cambridge,University of Cambridge,active dendrites: adaptation to spike-based communication.
293,1,Rice University,Rice University,sparcs: recovering low-rank and sparse matrices from compressive measurements.
294,2,University of Toronto,University of Cambridge,additive gaussian processes.
295,3,University of Maryland,University of Maryland College Park,manifold precis: an annealing technique for diverse sampling of manifolds.
296,4,The University of Adelaide,The University of Adelaide,simultaneous sampling and multi-structure fitting with adaptive reversible jump mcmc.
297,5,Tokyo Institute of Technology,RIKEN / University of Tokyo,analysis and improvement of policy gradient estimation.
298,6,INRIA - Ecole Normale Superieure,INRIA - Ecole Normale Superieure,shaping level sets with submodular functions.
299,7,University of Basel,University of Basel,bayesian partitioning of large-scale distance data.
300,8,IDIAP,University of Geneva,boosting with maximum adaptive sampling.
301,9,Baidu Research,DeepLearning.AI,selecting receptive fields in deep networks.
302,10,Radboud University Nijmegen,"MPI for Intelligent Systems, Tübingen",causal discovery with cyclic additive noise models.
303,11,Universidad Autonoma de Madrid,Louvain University,robust multi-class gaussian process classification.
304,12,University of Massachusetts Amherst,University of Massachusetts,clustering via dirichlet process mixture models for portable skill discovery.
305,13,Amazon Inc.,Google Research,co-training for domain adaptation.
306,14,Technion,Technion,committing bandits.
307,15,NYU,UC Berkeley,regularized laplacian estimation and fast eigenvector approximation.
308,16,Carnegie Mellon University,Harvard University,confidence sets for network structure.
309,17,IBM Research,Siemens Medical Solutions,ranking annotators for crowdsourced labeling tasks.
310,18,University of Edinburgh,Google,quasi-newton methods for markov chain monte carlo.
311,19,University of Cambridge,"Gatsby Unit, UCL",probabilistic amplitude and frequency demodulation.
312,20,Computer Vision Center,Computer Vision Center,portmanteau vocabularies for multi-cue image representation.
313,21,Dartmouth College,Microsoft Research,picodes: learning a compact code for novel-category recognition.
314,22,University of Michigan Ann Arbor,University of Michigan,efficient anomaly detection using bipartite k-nn graphs.
315,23,Stanford University,TTI-Chicago,learning with the weighted trace-norm under arbitrary sampling distributions.
316,24,Stanford University,DeepLearning.AI,unsupervised learning models of primary cortical receptive fields and receptive field plasticity.
317,25,Athens University of Economics and Business,Universidad Carlos III de Madrid,spike and slab variational inference for multi-task and multiple kernel learning.
318,26,Microsoft Research,Weizmann Institute of Science,efficient learning of generalized linear and single index models with isotonic regression.
319,27,"Instituto Superior Técnico, 501 507 930 TU Lisbon","Instituto Superior Técnico, TU Lisbon",efficient offline communication policies for factored multiagent pomdps.
320,28,University of Tübingen and MPI Tübingen,University of Tübingen and MPI Tübingen,optimal reinforcement learning for gaussian systems.
321,29,LMU Munich,University of Sussex,energetically optimal action potentials.
322,30,Ritsumeikan University,Kyoto University,estimating time-varying input signals and ion channel states from a single voltage trace of a neuron.
323,31,Universite de Montreal,University of Montreal,on tracking the partition function.
324,32,Google,IBM Research,non-parametric group orthogonal matching pursuit for sparse learning with multiple kernels.
325,33,NICTA,NICTA Canberra,submodular multi-label learning.
326,34,Brigham Young University,Purdue University,nonstandard interpretations of probabilistic programs for efficient inference.
327,35,Kindred,Huawei France,algorithms for hyper-parameter optimization.
328,36,McGill University,KTH,a global structural em algorithm for a model of cancer progression.
329,37,University of Massachusetts Amherst,University of Massachusetts Amherst,policy gradient coagent networks.
330,38,Stanford University,Adobe Research,nonlinear inverse reinforcement learning with gaussian processes.
331,39,Berlin Institute of Technology,TU Berlin,analytical results for the error in filtering of gaussian processes.
332,40,UJF,"Institute for Control Sciences, RAS Moscow",on the accuracy of l1-filtering of signals with block-sparse structure.
333,41,University of Liege,Stanford University,a brain-machine interface operating with a real-time spiking neural network control algorithm.
334,42,CMU,CMU,active learning with a drifting distribution.
